T	Origin	Destination	Distance	TripTime
35	0	0	1	1
35	0	1	1	2
35	0	2	1	8
35	0	3	1	1
35	0	4	1	2
35	1	0	1	2
35	1	1	1	1
35	1	2	1	7
35	1	3	1	1
35	1	4	1	2
35	2	0	1	8
35	2	1	1	7
35	2	2	1	1
35	2	3	1	6
35	2	4	1	4
35	3	0	1	1
35	3	1	1	1
35	3	2	1	6
35	3	3	1	1
35	3	4	1	2
35	4	0	1	2
35	4	1	1	2
35	4	2	1	4
35	4	3	1	2
35	4	4	1	1
34	0	0	1	1
34	0	1	1	2
34	0	2	1	8
34	0	3	1	1
34	0	4	1	2
34	1	0	1	2
34	1	1	1	1
34	1	2	1	7
34	1	3	1	1
34	1	4	1	2
34	2	0	1	8
34	2	1	1	7
34	2	2	1	1
34	2	3	1	6
34	2	4	1	4
34	3	0	1	1
34	3	1	1	1
34	3	2	1	6
34	3	3	1	1
34	3	4	1	2
34	4	0	1	2
34	4	1	1	2
34	4	2	1	4
34	4	3	1	2
34	4	4	1	1
33	0	0	1	1
33	0	1	1	2
33	0	2	1	8
33	0	3	1	1
33	0	4	1	2
33	1	0	1	2
33	1	1	1	1
33	1	2	1	7
33	1	3	1	1
33	1	4	1	2
33	2	0	1	8
33	2	1	1	7
33	2	2	1	1
33	2	3	1	6
33	2	4	1	4
33	3	0	1	1
33	3	1	1	1
33	3	2	1	6
33	3	3	1	1
33	3	4	1	2
33	4	0	1	2
33	4	1	1	2
33	4	2	1	4
33	4	3	1	2
33	4	4	1	1
32	0	0	1	1
32	0	1	1	2
32	0	2	1	8
32	0	3	1	1
32	0	4	1	2
32	1	0	1	2
32	1	1	1	1
32	1	2	1	7
32	1	3	1	1
32	1	4	1	2
32	2	0	1	8
32	2	1	1	7
32	2	2	1	1
32	2	3	1	6
32	2	4	1	4
32	3	0	1	1
32	3	1	1	1
32	3	2	1	6
32	3	3	1	1
32	3	4	1	2
32	4	0	1	2
32	4	1	1	2
32	4	2	1	4
32	4	3	1	2
32	4	4	1	1
31	0	0	1	1
31	0	1	1	2
31	0	2	1	8
31	0	3	1	1
31	0	4	1	2
31	1	0	1	2
31	1	1	1	1
31	1	2	1	7
31	1	3	1	1
31	1	4	1	2
31	2	0	1	8
31	2	1	1	7
31	2	2	1	1
31	2	3	1	6
31	2	4	1	4
31	3	0	1	1
31	3	1	1	1
31	3	2	1	6
31	3	3	1	1
31	3	4	1	2
31	4	0	1	2
31	4	1	1	2
31	4	2	1	4
31	4	3	1	2
31	4	4	1	1
30	0	0	1	1
30	0	1	1	2
30	0	2	1	8
30	0	3	1	1
30	0	4	1	2
30	1	0	1	2
30	1	1	1	1
30	1	2	1	7
30	1	3	1	1
30	1	4	1	2
30	2	0	1	8
30	2	1	1	7
30	2	2	1	1
30	2	3	1	6
30	2	4	1	4
30	3	0	1	1
30	3	1	1	1
30	3	2	1	6
30	3	3	1	1
30	3	4	1	2
30	4	0	1	2
30	4	1	1	2
30	4	2	1	4
30	4	3	1	2
30	4	4	1	1
29	0	0	1	1
29	0	1	1	2
29	0	2	1	8
29	0	3	1	1
29	0	4	1	2
29	1	0	1	2
29	1	1	1	1
29	1	2	1	7
29	1	3	1	1
29	1	4	1	2
29	2	0	1	8
29	2	1	1	7
29	2	2	1	1
29	2	3	1	6
29	2	4	1	4
29	3	0	1	1
29	3	1	1	1
29	3	2	1	6
29	3	3	1	1
29	3	4	1	2
29	4	0	1	2
29	4	1	1	2
29	4	2	1	4
29	4	3	1	2
29	4	4	1	1
28	0	0	1	1
28	0	1	1	2
28	0	2	1	8
28	0	3	1	1
28	0	4	1	2
28	1	0	1	2
28	1	1	1	1
28	1	2	1	7
28	1	3	1	1
28	1	4	1	2
28	2	0	1	8
28	2	1	1	7
28	2	2	1	1
28	2	3	1	6
28	2	4	1	4
28	3	0	1	1
28	3	1	1	1
28	3	2	1	6
28	3	3	1	1
28	3	4	1	2
28	4	0	1	2
28	4	1	1	2
28	4	2	1	4
28	4	3	1	2
28	4	4	1	1
27	0	0	1	1
27	0	1	1	2
27	0	2	1	8
27	0	3	1	1
27	0	4	1	2
27	1	0	1	2
27	1	1	1	1
27	1	2	1	7
27	1	3	1	1
27	1	4	1	2
27	2	0	1	8
27	2	1	1	7
