T	Origin	Destination	TripTime	Distance
0	0	0	1	4
0	2	1	1	3
0	1	3	1	3
0	2	2	0	1
0	2	3	1	6
0	3	0	3	20
0	3	1	1	3
0	3	2	1	5
0	1	2	1	3
0	3	3	0	1
0	1	1	0	1
0	1	0	2	17
0	0	3	3	22
0	0	2	2	20
0	2	0	2	18
0	0	1	2	18
1	1	3	1	3
1	0	0	1	4
1	0	1	2	18
1	0	2	2	20
1	0	3	3	22
1	1	0	2	17
1	1	1	0	1
1	1	2	1	3
1	2	0	2	18
1	2	2	0	1
1	2	3	1	6
1	3	0	3	20
1	3	1	1	3
1	3	2	1	5
1	3	3	0	1
1	2	1	1	3
2	2	3	1	6
2	2	2	0	1
2	1	1	0	1
2	1	2	1	3
2	3	1	1	3
2	1	3	1	3
2	3	2	1	5
2	3	0	3	20
2	2	0	2	18
2	1	0	2	17
2	2	1	1	3
2	3	3	0	1
2	0	3	3	22
2	0	2	2	20
2	0	1	2	18
2	0	0	1	4
3	2	1	1	3
3	0	0	1	4
3	1	3	1	3
3	1	1	0	1
3	1	2	1	3
3	0	1	2	18
3	3	1	1	3
3	3	2	1	5
3	0	2	2	20
3	2	3	1	6
3	0	3	3	22
3	3	0	3	20
3	3	3	0	1
3	1	0	2	17
3	2	2	0	1
3	2	0	2	18
4	3	0	2	21
4	2	2	0	1
4	1	3	1	4
4	2	1	1	3
4	1	2	1	3
4	0	0	1	3
4	2	3	1	6
4	1	1	1	2
4	0	3	2	20
4	0	2	2	18
4	0	1	2	18
4	2	0	2	18
4	1	0	2	18
4	3	3	0	1
5	0	0	1	3
5	3	0	2	21
5	2	3	1	6
5	2	1	1	3
5	2	0	2	18
5	1	2	1	3
5	1	1	1	2
5	1	0	2	18
5	0	3	2	20
5	0	2	2	18
5	0	1	2	18
5	1	3	1	4
5	3	3	0	1
5	2	2	0	1
6	1	3	1	4
6	0	1	2	18
6	2	2	0	1
6	1	1	1	2
6	3	0	2	21
6	1	2	1	3
6	0	3	2	20
6	0	2	2	18
6	2	3	1	6
6	2	1	1	3
6	2	0	2	18
6	3	3	0	1
6	1	0	2	18
6	0	0	1	3
7	2	3	1	6
7	1	1	1	2
7	0	2	2	18
7	2	1	1	3
7	0	1	2	18
7	0	0	1	3
7	3	0	2	21
7	3	3	0	1
7	2	2	0	1
7	0	3	2	20
7	2	0	2	18
7	1	3	1	4
7	1	0	2	18
7	1	2	1	3
8	3	2	2	6
8	0	1	2	18
8	3	1	1	4
8	3	3	0	1
8	2	3	1	8
8	0	2	2	18
8	1	1	1	1
8	1	2	1	3
8	3	0	2	20
8	1	0	2	18
8	2	1	1	3
8	2	0	2	18
8	1	3	1	3
8	2	2	0	1
8	0	0	1	4
8	0	3	2	21
9	3	3	0	1
9	3	2	2	6
9	0	3	2	21
9	1	2	1	3
9	1	3	1	3
9	2	2	0	1
9	0	0	1	4
9	2	1	1	3
9	0	1	2	18
9	3	1	1	4
9	2	3	1	8
9	0	2	2	18
9	1	1	1	1
9	1	0	2	18
9	2	0	2	18
9	3	0	2	20
10	2	1	1	3
10	1	0	2	18
10	0	0	1	4
10	2	2	0	1
10	2	3	1	8
10	1	2	1	3
10	3	1	1	4
10	2	0	2	18
10	0	1	2	18
10	3	2	2	6
10	3	3	0	1
10	0	3	2	21
10	1	1	1	1
10	1	3	1	3
10	3	0	2	20
10	0	2	2	18
11	2	2	0	1
11	0	3	2	21
11	3	2	2	6
11	1	0	2	18
11	0	0	1	4
11	1	2	1	3
11	3	0	2	20
11	1	1	1	1
11	2	3	1	8
11	2	1	1	3
11	3	3	0	1
11	2	0	2	18
11	3	1	1	4
11	1	3	1	3
11	0	1	2	18
11	0	2	2	18
12	2	2	0	0
12	2	3	1	6
12	3	0	3	21
12	1	0	2	19
12	2	1	1	3
12	0	1	3	18
12	1	1	0	1
12	2	0	2	18
12	0	2	3	19
12	3	3	0	1
12	0	0	1	3
12	1	3	1	3
12	0	3	2	21
12	1	2	1	3
12	3	2	1	5
12	3	1	1	3
13	0	1	3	18
13	3	1	1	3
13	0	0	1	3
13	2	2	0	0
13	2	1	1	3
13	2	3	1	6
13	2	0	2	18
13	3	0	3	21
13	1	1	0	1
13	1	0	2	19
13	0	3	2	21
13	0	2	3	19
13	3	2	1	5
13	1	2	1	3
13	3	3	0	1
13	1	3	1	3
14	0	2	3	19
14	1	0	2	19
14	0	3	2	21
14	2	3	1	6
14	1	1	0	1
14	1	2	1	3
14	1	3	1	3
14	0	0	1	3
14	2	0	2	18
14	2	1	1	3
14	2	2	0	0
14	3	0	3	21
14	3	1	1	3
14	3	2	1	5
14	3	3	0	1
