T	Origin	Destination	Distance	TripTime
49	0	0	5	5
49	0	1	5	5
49	1	0	5	5
49	1	1	5	5
49	0	0	5	5
49	0	1	5	5
49	1	0	5	5
49	1	1	5	5
48	0	0	5	5
48	0	1	5	5
48	1	0	5	5
48	1	1	5	5
48	0	0	5	5
48	0	1	5	5
48	1	0	5	5
48	1	1	5	5
47	0	0	5	5
47	0	1	5	5
47	1	0	5	5
47	1	1	5	5
47	0	0	5	5
47	0	1	5	5
47	1	0	5	5
47	1	1	5	5
46	0	0	5	5
46	0	1	5	5
46	1	0	5	5
46	1	1	5	5
46	0	0	5	5
46	0	1	5	5
46	1	0	5	5
46	1	1	5	5
45	0	0	5	5
45	0	1	5	5
45	1	0	5	5
45	1	1	5	5
45	0	0	5	5
45	0	1	5	5
45	1	0	5	5
45	1	1	5	5
44	0	0	5	5
44	0	1	5	5
44	1	0	5	5
44	1	1	5	5
44	0	0	5	5
44	0	1	5	5
44	1	0	5	5
44	1	1	5	5
43	0	0	5	5
43	0	1	5	5
43	1	0	5	5
43	1	1	5	5
43	0	0	5	5
43	0	1	5	5
43	1	0	5	5
43	1	1	5	5
42	0	0	5	5
42	0	1	5	5
42	1	0	5	5
42	1	1	5	5
42	0	0	5	5
42	0	1	5	5
42	1	0	5	5
42	1	1	5	5
41	0	0	5	5
41	0	1	5	5
41	1	0	5	5
41	1	1	5	5
41	0	0	5	5
41	0	1	5	5
41	1	0	5	5
41	1	1	5	5
40	0	0	5	5
40	0	1	5	5
40	1	0	5	5
40	1	1	5	5
40	0	0	5	5
40	0	1	5	5
40	1	0	5	5
40	1	1	5	5
39	0	0	5	5
39	0	1	5	5
39	1	0	5	5
39	1	1	5	5
39	0	0	5	5
39	0	1	5	5
39	1	0	5	5
39	1	1	5	5
38	0	0	5	5
38	0	1	5	5
38	1	0	5	5
38	1	1	5	5
38	0	0	5	5
38	0	1	5	5
38	1	0	5	5
38	1	1	5	5
37	0	0	5	5
37	0	1	5	5
37	1	0	5	5
37	1	1	5	5
37	0	0	5	5
37	0	1	5	5
37	1	0	5	5
37	1	1	5	5
36	0	0	5	5
36	0	1	5	5
36	1	0	5	5
36	1	1	5	5
36	0	0	5	5
36	0	1	5	5
36	1	0	5	5
36	1	1	5	5
35	0	0	5	5
35	0	1	5	5
35	1	0	5	5
35	1	1	5	5
35	0	0	5	5
35	0	1	5	5
35	1	0	5	5
35	1	1	5	5
34	0	0	5	5
34	0	1	5	5
34	1	0	5	5
34	1	1	5	5
34	0	0	5	5
34	0	1	5	5
34	1	0	5	5
34	1	1	5	5
33	0	0	5	5
33	0	1	5	5
33	1	0	5	5
33	1	1	5	5
33	0	0	5	5
33	0	1	5	5
33	1	0	5	5
33	1	1	5	5
32	0	0	5	5
32	0	1	5	5
32	1	0	5	5
32	1	1	5	5
32	0	0	5	5
32	0	1	5	5
32	1	0	5	5
32	1	1	5	5
31	0	0	5	5
31	0	1	5	5
31	1	0	5	5
31	1	1	5	5
31	0	0	5	5
31	0	1	5	5
31	1	0	5	5
31	1	1	5	5
