T	Origin	Destination	TripTime	Distance
0	0	0	2	3
0	11	5	3	4
0	11	6	4	8
0	11	7	4	5
0	11	8	4	6
0	11	9	3	6
0	11	10	2	3
0	11	11	1	1
0	11	12	2	2
0	11	13	2	2
0	11	14	3	4
0	11	4	2	3
0	12	0	7	18
0	12	2	3	4
0	12	3	3	4
0	12	4	2	1
0	12	5	2	2
0	12	6	4	5
0	12	7	3	3
0	2	1	2	3
0	12	8	3	4
0	12	9	4	8
0	12	10	3	5
0	12	1	3	7
0	11	3	2	2
0	11	2	2	2
0	11	1	2	5
0	9	9	1	1
0	9	10	3	4
0	9	11	3	6
0	9	12	4	9
0	9	13	4	8
0	9	14	4	10
0	10	0	7	18
0	10	1	2	2
0	10	2	2	1
0	10	3	2	2
0	10	4	4	6
0	10	5	4	7
0	10	6	5	10
0	10	7	4	8
0	10	8	4	8
0	10	9	3	4
0	10	10	2	1
0	10	11	2	2
0	10	12	3	5
0	10	13	2	3
0	10	14	3	6
0	2	2	1	1
0	11	0	8	19
0	12	11	2	2
0	12	12	1	1
0	12	13	2	3
0	12	14	2	2
0	14	11	3	4
0	14	12	2	2
0	14	13	2	2
0	14	14	1	1
0	1	14	4	9
0	1	13	3	7
0	1	12	3	7
0	1	11	3	5
0	1	10	2	2
0	1	9	2	2
0	1	8	5	10
0	1	7	5	11
0	1	6	5	12
0	1	5	4	9
0	1	4	4	8
0	2	9	3	5
0	1	3	3	6
0	1	2	2	3
0	1	1	1	1
0	1	0	6	20
0	0	14	6	18
0	0	13	7	19
0	0	12	8	19
0	14	10	3	6
0	9	8	5	11
0	14	9	4	9
0	14	7	2	3
0	13	0	7	19
0	13	1	3	7
0	13	2	3	3
0	13	3	1	1
0	13	4	2	2
0	13	5	3	3
0	13	6	3	6
0	13	7	3	5
0	13	8	2	4
0	13	9	4	8
0	13	10	2	3
0	13	11	2	2
0	13	12	2	2
0	13	13	1	1
0	13	14	2	2
0	2	0	8	18
0	14	0	6	16
0	14	1	4	8
0	14	2	4	6
0	14	3	3	4
0	14	4	2	1
0	14	5	2	2
0	14	6	3	4
0	14	8	2	2
0	9	7	5	11
0	2	3	3	3
0	9	6	5	12
0	4	7	2	3
0	4	8	2	3
0	4	9	4	9
0	4	10	3	6
0	4	11	2	3
0	4	12	2	1
0	2	6	5	9
0	4	13	2	2
0	4	14	2	1
0	5	0	8	18
0	5	1	4	8
0	5	2	4	6
0	5	3	3	5
0	5	4	2	2
0	5	5	1	1
0	5	6	3	3
0	5	7	2	2
0	5	8	2	2
0	5	9	5	10
0	5	10	4	7
0	5	11	3	4
0	5	12	2	2
0	5	13	3	4
0	4	6	3	4
0	5	14	2	2
0	4	5	2	2
0	4	3	3	3
0	2	10	2	2
0	2	11	2	2
0	2	12	3	4
0	2	13	3	4
0	2	14	4	7
0	3	1	3	5
0	3	2	2	3
0	3	3	1	1
0	3	4	3	3
0	2	7	4	8
0	3	5	4	5
0	3	6	4	8
0	3	7	4	7
0	3	8	3	6
0	3	9	3	6
0	3	10	2	2
0	3	11	1	2
0	3	12	3	4
0	3	13	2	2
0	3	14	2	4
0	4	0	7	18
0	4	1	4	8
0	4	2	3	5
0	4	4	1	1
0	0	11	8	21
0	6	0	7	19
0	6	2	5	10
0	2	4	4	5
0	7	14	2	3
0	8	0	5	17
0	8	1	5	10
0	8	2	5	8
0	8	3	3	6
0	8	4	2	3
0	8	5	2	2
0	8	6	2	2
0	8	7	2	1
0	8	8	1	1
0	8	9	5	11
0	8	10	4	8
0	8	11	4	6
0	8	12	3	4
0	8	13	3	4
0	8	14	2	2
0	9	0	7	21
0	9	1	2	2
0	9	2	3	4
0	9	3	3	7
0	9	4	4	9
0	9	5	5	10
0	7	13	4	5
0	6	1	5	12
0	7	12	3	3
0	7	10	5	8
0	6	3	4	8
0	6	4	3	4
0	6	5	3	3
0	2	5	4	6
0	6	6	2	1
0	6	7	2	2
0	6	8	2	2
0	6	9	6	13
0	6	10	5	10
0	6	11	5	7
0	6	12	4	5
0	6	13	4	7
0	6	14	3	4
0	7	0	9	19
0	7	1	5	10
0	7	2	4	7
0	7	3	4	6
0	7	4	3	3
0	7	5	2	2
0	7	6	2	2
0	7	7	1	1
0	7	8	2	2
0	7	9	5	11
0	7	11	4	5
0	0	10	7	19
0	2	8	5	8
0	0	9	7	22
0	0	1	7	21
0	0	2	7	20
0	0	3	7	20
0	0	4	7	18
0	0	5	7	18
0	0	6	7	21
0	0	7	7	20
0	0	8	6	19
1	10	2	2	1
1	10	1	2	2
1	10	0	7	18
1	9	14	4	10
