T	Origin	Destination	TripTime	Distance
0	0	0	2	3.0093548387096773
0	1	1	3	1.3784126984126985
0	2	0	9	18.2552
0	2	1	4	2.925975609756098
0	2	2	3	1.5933333333333333
0	2	3	5	6.3116666666666665
0	3	0	10	21.07842105263158
0	3	1	3	2.6065079365079367
0	3	2	7	7.5725
0	3	3	2	1.09625
0	1	0	11	18.626
0	0	3	13	20.3775
0	1	3	3	3.3357894736842106
0	0	2	11	18.987692307692306
0	1	2	4	2.7600000000000002
0	0	1	14	18.67530864197531
1	3	0	10	21.07842105263158
1	3	3	2	1.09625
1	3	2	7	7.5725
1	3	1	3	2.6065079365079367
1	2	3	5	6.3116666666666665
1	2	2	3	1.5933333333333333
1	2	1	4	2.925975609756098
1	2	0	9	18.2552
1	1	3	3	3.3357894736842106
1	1	1	3	1.3784126984126985
1	1	0	11	18.626
1	0	3	13	20.3775
1	0	2	11	18.987692307692306
1	0	1	14	18.67530864197531
1	0	0	2	3.0093548387096773
1	1	2	4	2.7600000000000002
2	0	0	2	3.0093548387096773
2	0	2	11	18.987692307692306
2	0	3	13	20.3775
2	3	3	2	1.09625
2	3	2	7	7.5725
2	0	1	14	18.67530864197531
2	3	1	3	2.6065079365079367
2	3	0	10	21.07842105263158
2	2	3	5	6.3116666666666665
2	2	2	3	1.5933333333333333
2	2	1	4	2.925975609756098
2	2	0	9	18.2552
2	1	3	3	3.3357894736842106
2	1	2	4	2.7600000000000002
2	1	1	3	1.3784126984126985
2	1	0	11	18.626
3	1	2	4	2.7600000000000002
3	1	3	3	3.3357894736842106
3	2	1	4	2.925975609756098
3	2	3	5	6.3116666666666665
3	2	2	3	1.5933333333333333
3	3	0	10	21.07842105263158
3	3	3	2	1.09625
3	1	1	3	1.3784126984126985
3	3	2	7	7.5725
3	0	0	2	3.0093548387096773
3	0	3	13	20.3775
3	0	2	11	18.987692307692306
3	1	0	11	18.626
3	3	1	3	2.6065079365079367
3	0	1	14	18.67530864197531
3	2	0	9	18.2552
4	1	2	4	2.7600000000000002
4	3	2	7	7.5725
4	3	1	3	2.6065079365079367
4	3	0	10	21.07842105263158
4	2	3	5	6.3116666666666665
4	2	2	3	1.5933333333333333
4	2	1	4	2.925975609756098
4	2	0	9	18.2552
4	1	3	3	3.3357894736842106
4	1	1	3	1.3784126984126985
4	1	0	11	18.626
4	0	3	13	20.3775
4	0	2	11	18.987692307692306
4	0	1	14	18.67530864197531
4	0	0	2	3.0093548387096773
4	3	3	2	1.09625
5	1	3	3	3.3357894736842106
5	2	1	4	2.925975609756098
5	2	0	9	18.2552
5	2	3	5	6.3116666666666665
5	3	0	10	21.07842105263158
5	1	2	4	2.7600000000000002
5	3	1	3	2.6065079365079367
5	2	2	3	1.5933333333333333
5	1	0	11	18.626
5	0	3	13	20.3775
5	1	1	3	1.3784126984126985
5	0	2	11	18.987692307692306
5	3	3	2	1.09625
5	0	1	14	18.67530864197531
5	0	0	2	3.0093548387096773
5	3	2	7	7.5725
6	3	0	10	21.07842105263158
6	1	2	4	2.7600000000000002
6	1	0	11	18.626
6	3	1	3	2.6065079365079367
6	1	1	3	1.3784126984126985
6	3	2	7	7.5725
6	2	0	9	18.2552
6	2	3	5	6.3116666666666665
6	1	3	3	3.3357894736842106
6	3	3	2	1.09625
6	0	3	13	20.3775
6	0	2	11	18.987692307692306
6	0	1	14	18.67530864197531
6	0	0	2	3.0093548387096773
6	2	1	4	2.925975609756098
6	2	2	3	1.5933333333333333
7	1	2	4	2.7600000000000002
7	1	0	11	18.626
7	3	0	10	21.07842105263158
7	2	1	4	2.925975609756098
7	2	3	5	6.3116666666666665
7	0	1	14	18.67530864197531
7	3	1	3	2.6065079365079367
7	0	2	11	18.987692307692306
7	2	2	3	1.5933333333333333
7	0	3	13	20.3775
7	0	0	2	3.0093548387096773
7	2	0	9	18.2552
7	3	2	7	7.5725
7	1	3	3	3.3357894736842106
7	3	3	2	1.09625
7	1	1	3	1.3784126984126985
8	0	3	13	20.3775
8	1	2	4	2.7600000000000002
8	1	3	3	3.3357894736842106
8	0	0	2	3.0093548387096773
8	2	3	5	6.3116666666666665
8	0	2	11	18.987692307692306
8	3	0	10	21.07842105263158
8	0	1	14	18.67530864197531
8	2	0	9	18.2552
8	1	0	11	18.626
8	2	1	4	2.925975609756098
8	3	1	3	2.6065079365079367
8	3	3	2	1.09625
8	3	2	7	7.5725
8	1	1	3	1.3784126984126985
8	2	2	3	1.5933333333333333
9	1	0	11	18.626
9	2	0	9	18.2552
9	1	2	4	2.7600000000000002
9	0	3	13	20.3775
9	2	1	4	2.925975609756098
9	1	1	3	1.3784126984126985
9	3	2	7	7.5725
9	0	2	11	18.987692307692306
9	2	2	3	1.5933333333333333
9	2	3	5	6.3116666666666665
9	0	1	14	18.67530864197531
9	3	3	2	1.09625
9	0	0	2	3.0093548387096773
9	3	0	10	21.07842105263158
9	3	1	3	2.6065079365079367
9	1	3	3	3.3357894736842106
10	3	3	2	1.09625
10	3	2	7	7.5725
10	3	1	3	2.6065079365079367
10	1	2	4	2.7600000000000002
10	2	2	3	1.5933333333333333
10	0	0	2	3.0093548387096773
10	2	3	5	6.3116666666666665
10	0	1	14	18.67530864197531
10	0	2	11	18.987692307692306
10	3	0	10	21.07842105263158
10	2	1	4	2.925975609756098
10	1	3	3	3.3357894736842106
10	0	3	13	20.3775
10	1	1	3	1.3784126984126985
10	2	0	9	18.2552
10	1	0	11	18.626
11	1	1	3	1.3784126984126985
11	3	1	3	2.6065079365079367
11	1	0	11	18.626
11	0	2	11	18.987692307692306
11	2	3	5	6.3116666666666665
11	3	3	2	1.09625
11	2	1	4	2.925975609756098
11	2	2	3	1.5933333333333333
11	3	2	7	7.5725
11	1	2	4	2.7600000000000002
11	3	0	10	21.07842105263158
11	1	3	3	3.3357894736842106
11	0	3	13	20.3775
11	0	0	2	3.0093548387096773
11	2	0	9	18.2552
11	0	1	14	18.67530864197531
12	0	2	11	19.37909090909091
12	0	0	2	2.8313684210526318
12	2	1	5	2.994
12	3	1	4	2.915631067961165
12	0	3	12	21.128
12	3	2	6	6.616
12	2	2	1	0.8106666666666666
12	1	0	11	18.41139534883721
12	0	1	13	18.803974358974358
12	3	3	2	1.376388888888889
12	1	2	5	3.066
12	3	0	10	21.940833333333334
12	2	3	6	6.981111111111111
12	1	3	3	2.9172727272727275
12	2	0	9	18.5584
12	1	1	3	2.187037037037037
