T	Origin	Destination	TripTime	Distance
0	0	0	7	1
0	7	3	9	2
0	7	2	16	4
0	7	1	21	7
0	7	0	23	9
0	6	9	17	4
0	6	8	13	3
0	6	7	9	2
0	6	6	7	1
0	6	5	9	2
0	6	4	10	2
0	6	3	8	1
0	6	2	12	3
0	6	1	17	5
0	6	0	20	8
0	0	6	19	8
0	5	9	12	3
0	5	8	9	2
0	5	7	9	2
0	5	6	9	2
0	7	4	15	4
0	7	5	10	2
0	7	6	9	2
0	7	7	7	1
0	1	0	11	3
0	9	5	12	4
0	9	4	18	7
0	9	3	18	5
0	9	2	23	7
0	9	1	24	10
0	9	0	27	12
0	8	9	10	2
0	8	8	8	1
0	5	5	6	1
0	8	7	10	2
0	8	5	9	2
0	8	4	16	5
0	8	3	15	3
0	0	5	21	10
0	8	2	21	6
0	8	1	23	8
0	8	0	25	11
0	7	9	14	3
0	7	8	10	2
0	8	6	13	3
0	9	6	17	4
0	5	4	10	3
0	5	2	16	4
0	2	8	20	6
0	2	7	16	4
0	2	6	12	3
0	2	5	17	4
0	2	4	11	2
0	2	3	9	2
0	2	2	6	1
0	2	1	11	3
0	2	0	13	5
0	1	9	23	10
0	1	8	20	8
0	1	7	20	7
0	1	6	20	5
0	1	5	18	6
0	0	8	24	11
0	1	4	10	2
0	1	3	16	5
0	1	2	10	2
0	1	1	8	1
0	2	9	22	8
0	3	0	17	7
0	3	1	16	5
0	3	2	8	2
0	5	1	18	7
0	5	0	21	9
0	4	9	17	7
0	4	8	15	4
0	4	7	15	4
0	4	6	10	2
0	4	5	10	3
0	4	4	6	1
0	4	3	12	3
0	5	3	12	2
0	4	2	10	2
0	4	0	17	7
0	3	9	19	5
0	3	8	15	4
0	0	7	22	9
0	3	7	9	2
0	3	6	8	1
0	3	5	13	2
0	3	4	13	3
0	3	3	7	1
0	4	1	10	3
0	0	4	16	7
0	0	9	25	12
0	0	2	15	6
0	0	1	11	3
0	9	8	9	2
0	0	3	17	8
0	9	9	8	1
0	9	7	13	3
1	2	8	20	6
1	2	9	22	8
1	3	0	17	7
1	3	1	16	5
1	3	2	8	2
1	3	3	7	1
1	3	4	13	3
1	8	9	10	2
1	3	6	8	1
1	3	7	9	2
1	3	8	15	4
1	3	9	19	5
1	4	0	17	7
1	0	1	11	3
1	4	1	10	3
1	4	2	10	2
1	4	3	12	3
1	4	4	6	1
1	4	5	10	3
1	2	7	16	4
1	3	5	13	2
1	2	5	17	4
1	2	4	11	2
1	0	2	15	6
1	0	3	17	8
1	0	4	16	7
1	0	5	21	10
1	0	6	19	8
1	0	7	22	9
1	0	8	24	11
1	0	9	25	12
1	1	0	11	3
1	1	1	8	1
1	2	6	12	3
1	1	2	10	2
1	1	4	10	2
1	1	5	18	6
1	1	6	20	5
1	1	7	20	7
1	1	8	20	8
1	1	9	23	10
1	2	0	13	5
1	2	1	11	3
1	2	2	6	1
1	2	3	9	2
1	1	3	16	5
1	4	6	10	2
1	4	7	15	4
1	4	8	15	4
1	7	5	10	2
1	7	6	9	2
1	7	7	7	1
1	7	8	10	2
1	7	9	14	3
1	8	0	25	11
1	8	1	23	8
1	8	2	21	6
1	8	3	15	3
1	8	4	16	5
1	7	4	15	4
1	9	9	8	1
1	9	7	13	3
1	9	6	17	4
1	9	5	12	4
1	9	4	18	7
1	9	3	18	5
1	8	5	9	2
1	9	1	24	10
1	8	6	13	3
1	8	7	10	2
1	9	0	27	12
1	9	8	9	2
1	8	8	8	1
1	7	3	9	2
1	7	1	21	7
1	4	9	17	7
1	5	0	21	9
1	5	1	18	7
1	5	2	16	4
1	5	3	12	2
1	5	4	10	3
1	5	5	6	1
1	5	6	9	2
1	5	7	9	2
1	5	8	9	2
1	7	2	16	4
1	5	9	12	3
1	6	1	17	5
1	6	2	12	3
1	6	3	8	1
1	6	4	10	2
1	6	5	9	2
1	6	6	7	1
1	6	7	9	2
1	6	8	13	3
1	6	9	17	4
1	7	0	23	9
1	6	0	20	8
1	9	2	23	7
1	0	0	7	1
2	7	4	15	4
2	7	2	16	4
2	7	1	21	7
2	7	0	23	9
2	6	9	17	4
2	6	8	13	3
2	6	7	9	2
2	6	6	7	1
2	6	5	9	2
2	6	4	10	2
2	6	3	8	1
2	6	2	12	3
2	6	1	17	5
2	5	9	12	3
2	5	8	9	2
2	5	7	9	2
2	5	6	9	2
2	5	5	6	1
2	5	4	10	3
2	5	3	12	2
2	5	2	16	4
2	5	1	18	7
2	7	3	9	2
2	7	5	10	2
2	7	6	9	2
2	7	7	7	1
2	9	9	8	1
2	9	8	9	2
2	9	7	13	3
2	9	6	17	4
2	9	5	12	4
2	9	4	18	7
2	9	3	18	5
2	9	2	23	7
2	9	1	24	10
2	9	0	27	12
2	5	0	21	9
2	8	9	10	2
2	8	7	10	2
2	8	6	13	3
2	8	5	9	2
2	8	4	16	5
2	8	3	15	3
2	8	2	21	6
2	8	1	23	8
2	8	0	25	11
2	7	9	14	3
2	7	8	10	2
2	8	8	8	1
2	4	9	17	7
2	6	0	20	8
2	4	7	15	4
2	2	1	11	3
2	2	0	13	5
2	1	9	23	10
2	1	8	20	8
2	1	7	20	7
2	1	6	20	5
2	1	5	18	6
2	1	4	10	2
2	4	8	15	4
2	1	2	10	2
2	2	2	6	1
2	1	1	8	1
2	0	9	25	12
2	0	8	24	11
2	0	7	22	9
2	0	6	19	8
2	0	5	21	10
2	0	4	16	7
2	0	3	17	8
2	0	2	15	6
2	0	1	11	3
