T	Origin	Destination	Distance	TripTime
47	0	0	0	0
47	0	1	1	1
47	0	2	2	2
47	0	3	3	3
47	1	0	1	1
47	1	1	0	0
47	1	2	1	1
47	1	3	1	1
47	2	0	2	2
47	2	1	1	1
47	2	2	0	0
47	2	3	1	1
47	3	0	3	3
47	3	1	1	1
47	3	2	1	1
47	3	3	0	0
46	0	0	0	0
46	0	1	1	1
46	0	2	2	2
46	0	3	3	3
46	1	0	1	1
46	1	1	0	0
46	1	2	1	1
46	1	3	1	1
46	2	0	2	2
46	2	1	1	1
46	2	2	0	0
46	2	3	1	1
46	3	0	3	3
46	3	1	1	1
46	3	2	1	1
46	3	3	0	0
45	0	0	0	0
45	0	1	1	1
45	0	2	2	2
45	0	3	3	3
45	1	0	1	1
45	1	1	0	0
45	1	2	1	1
45	1	3	1	1
45	2	0	2	2
45	2	1	1	1
45	2	2	0	0
45	2	3	1	1
45	3	0	3	3
45	3	1	1	1
45	3	2	1	1
45	3	3	0	0
44	0	0	0	0
44	0	1	1	1
44	0	2	2	2
44	0	3	3	3
44	1	0	1	1
44	1	1	0	0
44	1	2	1	1
44	1	3	1	1
44	2	0	2	2
44	2	1	1	1
44	2	2	0	0
44	2	3	1	1
44	3	0	3	3
44	3	1	1	1
44	3	2	1	1
44	3	3	0	0
43	0	0	0	0
43	0	1	1	1
43	0	2	2	2
43	0	3	3	3
43	1	0	1	1
43	1	1	0	0
43	1	2	1	1
43	1	3	1	1
43	2	0	2	2
43	2	1	1	1
43	2	2	0	0
43	2	3	1	1
43	3	0	3	3
43	3	1	1	1
43	3	2	1	1
43	3	3	0	0
42	0	0	0	0
42	0	1	1	1
42	0	2	2	2
42	0	3	3	3
42	1	0	1	1
42	1	1	0	0
42	1	2	1	1
42	1	3	1	1
42	2	0	2	2
42	2	1	1	1
42	2	2	0	0
42	2	3	1	1
42	3	0	3	3
42	3	1	1	1
42	3	2	1	1
42	3	3	0	0
41	0	0	0	0
41	0	1	1	1
41	0	2	2	2
41	0	3	3	3
41	1	0	1	1
41	1	1	0	0
41	1	2	1	1
41	1	3	1	1
41	2	0	2	2
41	2	1	1	1
