T	Origin	Destination	Payoff	Type	Pickup	Region	Rate
0	0	0	13.555698924731184	Travel	1		
0	1	1	12.791590413943355	Travel	1		
0	2	0	79.1124	Travel	1		
0	2	1	32.40025	Travel	1		
0	2	2	23.333666666666666	Travel	1		
0	2	3	40.809	Travel	1		
0	3	0	86.28285714285714	Travel	1		
0	3	1	27.142664714494874	Travel	1		
0	3	2	55.69166666666667	Travel	1		
0	3	3	17.647193877551018	Travel	1		
0	1	0	76.29016666666666	Travel	1		
0	0	3	75.6707142857143	Travel	1		
0	1	3	18.941159420289857	Travel	1		
0	0	2	65.37115384615385	Travel	1		
0	1	2	20.090555555555554	Travel	1		
0	0	1	74.29027777777777	Travel	1		
1	3	2	55.69166666666667	Travel	1		
1	3	1	27.142664714494874	Travel	1		
1	3	0	86.28285714285714	Travel	1		
1	2	2	23.333666666666666	Travel	1		
1	2	1	32.40025	Travel	1		
1	2	0	79.1124	Travel	1		
1	3	3	17.647193877551018	Travel	1		
1	2	3	40.809	Travel	1		
1	1	1	12.791590413943355	Travel	1		
1	1	0	76.29016666666666	Travel	1		
1	0	3	75.6707142857143	Travel	1		
1	0	2	65.37115384615385	Travel	1		
1	0	1	74.29027777777777	Travel	1		
1	0	0	13.555698924731184	Travel	1		
1	1	2	20.090555555555554	Travel	1		
1	1	3	18.941159420289857	Travel	1		
2	3	3	17.647193877551018	Travel	1		
2	0	2	65.37115384615385	Travel	1		
2	3	2	55.69166666666667	Travel	1		
2	3	1	27.142664714494874	Travel	1		
2	3	0	86.28285714285714	Travel	1		
2	0	0	13.555698924731184	Travel	1		
2	2	2	23.333666666666666	Travel	1		
2	2	1	32.40025	Travel	1		
2	2	0	79.1124	Travel	1		
2	1	3	18.941159420289857	Travel	1		
2	2	3	40.809	Travel	1		
2	1	2	20.090555555555554	Travel	1		
2	0	3	75.6707142857143	Travel	1		
2	1	0	76.29016666666666	Travel	1		
2	1	1	12.791590413943355	Travel	1		
2	0	1	74.29027777777777	Travel	1		
3	0	2	65.37115384615385	Travel	1		
3	0	1	74.29027777777777	Travel	1		
3	3	2	55.69166666666667	Travel	1		
3	3	3	17.647193877551018	Travel	1		
3	3	1	27.142664714494874	Travel	1		
3	1	0	76.29016666666666	Travel	1		
3	1	1	12.791590413943355	Travel	1		
3	1	2	20.090555555555554	Travel	1		
3	1	3	18.941159420289857	Travel	1		
3	2	0	79.1124	Travel	1		
3	2	1	32.40025	Travel	1		
3	2	2	23.333666666666666	Travel	1		
3	2	3	40.809	Travel	1		
3	0	0	13.555698924731184	Travel	1		
3	0	3	75.6707142857143	Travel	1		
3	3	0	86.28285714285714	Travel	1		
4	3	1	23.51221122112211	Travel	1		
4	2	0	64.96300000000001	Travel	1		
4	2	1	24.8165306122449	Travel	1		
4	1	3	18.894040404040403	Travel	1		
4	1	1	14.3589417989418	Travel	1		
4	0	0	11.769473684210526	Travel	1		
4	0	3	74.51117647058824	Travel	1		
4	2	2	10.317333333333332	Travel	1		
4	1	0	72.74309392265194	Travel	1		
4	2	3	34.81466666666667	Travel	1		
4	0	2	65.44318181818181	Travel	1		
4	3	3	12.719822222222222	Travel	1		
4	0	1	70.89892561983471	Travel	1		
4	3	2	33.78214285714286	Travel	1		
4	3	0	73.54493333333333	Travel	1		
4	1	2	26.31952380952381	Travel	1		
5	1	2	26.31952380952381	Travel	1		
5	3	0	73.54493333333333	Travel	1		
5	0	0	11.769473684210526	Travel	1		
5	3	1	23.51221122112211	Travel	1		
5	2	3	34.81466666666667	Travel	1		
