T	Origin	Destination	Payoff	Type	Pickup	Region	Rate
0	0	0	14.394666666666666	Travel	1		
0	0	3	70.99885572139304	Travel	1		
0	0	4	65.84692098092643	Travel	1		
0	1	0	55.81884615384615	Travel	1		
0	1	1	12.45147266313933	Travel	1		
0	1	2	15.160153922542204	Travel	1		
0	1	3	12.617769092002405	Travel	1		
0	1	4	13.86571371927042	Travel	1		
0	2	0	73.09400000000001	Travel	1		
0	2	1	15.214976476738107	Travel	1		
0	2	2	11.448898233809924	Travel	1		
0	2	3	19.653420245398774	Travel	1		
0	3	0	57.1	Travel	1		
0	3	1	12.068357810413886	Travel	1		
0	3	2	19.561010452961675	Travel	1		
0	3	3	11.493049792531119	Travel	1		
0	3	4	14.922610229276897	Travel	1		
0	4	0	44.42714285714286	Travel	1		
0	4	1	13.615072463768115	Travel	1		
0	4	2	15.112078431372549	Travel	1		
0	4	3	14.948718446601942	Travel	1		
0	4	4	11.081325196163906	Travel	1		
0	0	2	68.17569811320755	Travel	1		
0	0	1	67.27459793814432	Travel	1		
0	2	4	17.473134073441503	Travel	1		
1	3	2	19.561010452961675	Travel	1		
1	4	3	14.948718446601942	Travel	1		
1	1	3	12.617769092002405	Travel	1		
1	0	1	67.27459793814432	Travel	1		
1	1	4	13.86571371927042	Travel	1		
1	1	1	12.45147266313933	Travel	1		
1	4	2	15.112078431372549	Travel	1		
1	0	2	68.17569811320755	Travel	1		
1	2	0	73.09400000000001	Travel	1		
1	4	4	11.081325196163906	Travel	1		
1	0	0	14.394666666666666	Travel	1		
1	2	1	15.214976476738107	Travel	1		
1	4	1	13.615072463768115	Travel	1		
1	2	2	11.448898233809924	Travel	1		
1	0	3	70.99885572139304	Travel	1		
1	4	0	44.42714285714286	Travel	1		
1	1	0	55.81884615384615	Travel	1		
1	1	2	15.160153922542204	Travel	1		
1	3	4	14.922610229276897	Travel	1		
1	2	4	17.473134073441503	Travel	1		
1	3	1	12.068357810413886	Travel	1		
1	3	3	11.493049792531119	Travel	1		
1	3	0	57.1	Travel	1		
1	2	3	19.653420245398774	Travel	1		
1	0	4	65.84692098092643	Travel	1		
2	0	3	70.99885572139304	Travel	1		
2	3	3	11.493049792531119	Travel	1		
2	1	2	15.160153922542204	Travel	1		
2	2	1	15.214976476738107	Travel	1		
2	1	1	12.45147266313933	Travel	1		
2	1	4	13.86571371927042	Travel	1		
2	3	2	19.561010452961675	Travel	1		
2	4	0	44.42714285714286	Travel	1		
2	4	2	15.112078431372549	Travel	1		
2	1	0	55.81884615384615	Travel	1		
2	3	4	14.922610229276897	Travel	1		
2	1	3	12.617769092002405	Travel	1		
2	3	1	12.068357810413886	Travel	1		
2	3	0	57.1	Travel	1		
2	0	4	65.84692098092643	Travel	1		
2	2	0	73.09400000000001	Travel	1		
2	2	3	19.653420245398774	Travel	1		
2	4	4	11.081325196163906	Travel	1		
2	4	3	14.948718446601942	Travel	1		
2	0	2	68.17569811320755	Travel	1		
2	0	0	14.394666666666666	Travel	1		
2	4	1	13.615072463768115	Travel	1		
2	2	2	11.448898233809924	Travel	1		
2	2	4	17.473134073441503	Travel	1		
2	0	1	67.27459793814432	Travel	1		
3	3	4	14.922610229276897	Travel	1		
3	4	4	11.081325196163906	Travel	1		
3	0	2	68.17569811320755	Travel	1		
3	2	2	11.448898233809924	Travel	1		
3	3	0	57.1	Travel	1		
3	1	0	55.81884615384615	Travel	1		
3	3	3	11.493049792531119	Travel	1		
3	0	4	65.84692098092643	Travel	1		
3	3	2	19.561010452961675	Travel	1		
3	3	1	12.068357810413886	Travel	1		
3	2	3	19.653420245398774	Travel	1		
3	2	4	17.473134073441503	Travel	1		
3	0	3	70.99885572139304	Travel	1		
3	4	3	14.948718446601942	Travel	1		
3	0	1	67.27459793814432	Travel	1		
3	4	0	44.42714285714286	Travel	1		
3	2	1	15.214976476738107	Travel	1		
3	4	1	13.615072463768115	Travel	1		
3	0	0	14.394666666666666	Travel	1		
3	4	2	15.112078431372549	Travel	1		
3	1	4	13.86571371927042	Travel	1		
3	2	0	73.09400000000001	Travel	1		
3	1	1	12.45147266313933	Travel	1		
3	1	2	15.160153922542204	Travel	1		
3	1	3	12.617769092002405	Travel	1		
4	1	3	12.617769092002405	Travel	1		
4	2	1	15.214976476738107	Travel	1		
4	0	2	68.17569811320755	Travel	1		
4	2	2	11.448898233809924	Travel	1		
4	3	0	57.1	Travel	1		
4	0	1	67.27459793814432	Travel	1		
4	1	4	13.86571371927042	Travel	1		
4	2	3	19.653420245398774	Travel	1		
4	3	1	12.068357810413886	Travel	1		
4	2	4	17.473134073441503	Travel	1		
4	4	1	13.615072463768115	Travel	1		
4	0	0	14.394666666666666	Travel	1		
4	1	1	12.45147266313933	Travel	1		
4	1	2	15.160153922542204	Travel	1		
4	1	0	55.81884615384615	Travel	1		
4	4	4	11.081325196163906	Travel	1		
4	2	0	73.09400000000001	Travel	1		
4	4	0	44.42714285714286	Travel	1		
4	0	4	65.84692098092643	Travel	1		
4	4	3	14.948718446601942	Travel	1		
4	3	3	11.493049792531119	Travel	1		
4	4	2	15.112078431372549	Travel	1		
4	3	2	19.561010452961675	Travel	1		
4	0	3	70.99885572139304	Travel	1		
4	3	4	14.922610229276897	Travel	1		
5	4	3	14.948718446601942	Travel	1		
5	0	0	14.394666666666666	Travel	1		
5	0	1	67.27459793814432	Travel	1		
5	3	0	57.1	Travel	1		
5	4	2	15.112078431372549	Travel	1		
5	3	1	12.068357810413886	Travel	1		
5	4	1	13.615072463768115	Travel	1		
5	3	2	19.561010452961675	Travel	1		
5	4	0	44.42714285714286	Travel	1		
5	3	3	11.493049792531119	Travel	1		
5	3	4	14.922610229276897	Travel	1		
5	2	4	17.473134073441503	Travel	1		
5	2	2	11.448898233809924	Travel	1		
5	1	1	12.45147266313933	Travel	1		
5	2	3	19.653420245398774	Travel	1		
5	0	3	70.99885572139304	Travel	1		
5	0	2	68.17569811320755	Travel	1		
5	1	0	55.81884615384615	Travel	1		
5	1	2	15.160153922542204	Travel	1		
5	2	1	15.214976476738107	Travel	1		
5	4	4	11.081325196163906	Travel	1		
5	2	0	73.09400000000001	Travel	1		
5	0	4	65.84692098092643	Travel	1		
5	1	4	13.86571371927042	Travel	1		
5	1	3	12.617769092002405	Travel	1		
6	1	3	12.617769092002405	Travel	1		
6	3	1	12.068357810413886	Travel	1		
6	1	4	13.86571371927042	Travel	1		
6	0	1	67.27459793814432	Travel	1		
6	0	2	68.17569811320755	Travel	1		
6	0	3	70.99885572139304	Travel	1		
6	2	0	73.09400000000001	Travel	1		
