T	Type	Pickup	Origin	Destination	Region	Rate	Payoff
0	Travel	1.0	0.0	0.0			1.0
0	Travel	0.0	0.0	0.0			1.0
0	Travel	1.0	0.0	1.0			1.0
0	Travel	0.0	0.0	1.0			1.0
0	Travel	1.0	0.0	2.0			1.0
0	Travel	0.0	0.0	2.0			1.0
0	Travel	1.0	0.0	3.0			1.0
0	Travel	0.0	0.0	3.0			1.0
0	Travel	1.0	0.0	4.0			1.0
0	Travel	0.0	0.0	4.0			1.0
0	Travel	1.0	1.0	0.0			1.0
0	Travel	0.0	1.0	0.0			1.0
0	Travel	1.0	1.0	1.0			1.0
0	Travel	0.0	1.0	1.0			1.0
0	Travel	1.0	1.0	2.0			1.0
0	Travel	0.0	1.0	2.0			1.0
0	Travel	1.0	1.0	3.0			1.0
0	Travel	0.0	1.0	3.0			1.0
0	Travel	1.0	1.0	4.0			1.0
0	Travel	0.0	1.0	4.0			1.0
0	Travel	1.0	2.0	0.0			1.0
0	Travel	0.0	2.0	0.0			1.0
0	Travel	1.0	2.0	1.0			1.0
0	Travel	0.0	2.0	1.0			1.0
0	Travel	1.0	2.0	2.0			1.0
0	Travel	0.0	2.0	2.0			1.0
0	Travel	1.0	2.0	3.0			1.0
0	Travel	0.0	2.0	3.0			1.0
0	Travel	1.0	2.0	4.0			1.0
0	Travel	0.0	2.0	4.0			1.0
0	Travel	1.0	3.0	0.0			1.0
0	Travel	0.0	3.0	0.0			1.0
0	Travel	1.0	3.0	1.0			1.0
0	Travel	0.0	3.0	1.0			1.0
0	Travel	1.0	3.0	2.0			1.0
0	Travel	0.0	3.0	2.0			1.0
0	Travel	1.0	3.0	3.0			1.0
0	Travel	0.0	3.0	3.0			1.0
0	Travel	1.0	3.0	4.0			1.0
0	Travel	0.0	3.0	4.0			1.0
0	Travel	1.0	4.0	0.0			1.0
0	Travel	0.0	4.0	0.0			1.0
0	Travel	1.0	4.0	1.0			1.0
0	Travel	0.0	4.0	1.0			1.0
0	Travel	1.0	4.0	2.0			1.0
0	Travel	0.0	4.0	2.0			1.0
0	Travel	1.0	4.0	3.0			1.0
0	Travel	0.0	4.0	3.0			1.0
0	Travel	1.0	4.0	4.0			1.0
0	Travel	0.0	4.0	4.0			1.0
0	Travel				0.0	2.0	-0.5
1	Travel	1.0	0.0	0.0			1.0
1	Travel	0.0	0.0	0.0			1.0
1	Travel	1.0	0.0	1.0			1.0
1	Travel	0.0	0.0	1.0			1.0
1	Travel	1.0	0.0	2.0			1.0
1	Travel	0.0	0.0	2.0			1.0
1	Travel	1.0	0.0	3.0			1.0
1	Travel	0.0	0.0	3.0			1.0
1	Travel	1.0	0.0	4.0			1.0
1	Travel	0.0	0.0	4.0			1.0
1	Travel	1.0	1.0	0.0			1.0
1	Travel	0.0	1.0	0.0			1.0
1	Travel	1.0	1.0	1.0			1.0
1	Travel	0.0	1.0	1.0			1.0
1	Travel	1.0	1.0	2.0			1.0
1	Travel	0.0	1.0	2.0			1.0
1	Travel	1.0	1.0	3.0			1.0
1	Travel	0.0	1.0	3.0			1.0
1	Travel	1.0	1.0	4.0			1.0
1	Travel	0.0	1.0	4.0			1.0
1	Travel	1.0	2.0	0.0			1.0
1	Travel	0.0	2.0	0.0			1.0
1	Travel	1.0	2.0	1.0			1.0
1	Travel	0.0	2.0	1.0			1.0
1	Travel	1.0	2.0	2.0			1.0
1	Travel	0.0	2.0	2.0			1.0
1	Travel	1.0	2.0	3.0			1.0
1	Travel	0.0	2.0	3.0			1.0
1	Travel	1.0	2.0	4.0			1.0
1	Travel	0.0	2.0	4.0			1.0
1	Travel	1.0	3.0	0.0			1.0
1	Travel	0.0	3.0	0.0			1.0
1	Travel	1.0	3.0	1.0			1.0
1	Travel	0.0	3.0	1.0			1.0
