T	Origin	Destination	Payoff	Type	Pickup	Region	Rate
0	0	0	14.394647887323943	Travel	1		
0	2	1	17.21875	Travel	1		
0	1	3	18.063333333333333	Travel	1		
0	2	2	10.36725	Travel	1		
0	2	3	26.221666666666668	Travel	1		
0	3	0	60.400000000000006	Travel	1		
0	3	1	18.52	Travel	1		
0	3	2	23.98	Travel	1		
0	1	2	14.56076923076923	Travel	1		
0	3	3	9.296666666666667	Travel	1		
0	1	1	9.915555555555557	Travel	1		
0	1	0	56.31333333333333	Travel	1		
0	0	3	63.75599999999999	Travel	1		
0	0	2	57.985	Travel	1		
0	2	0	56.303333333333335	Travel	1		
0	0	1	53.300000000000004	Travel	1		
1	1	3	18.063333333333333	Travel	1		
1	0	0	14.394647887323943	Travel	1		
1	0	1	53.300000000000004	Travel	1		
1	0	2	57.985	Travel	1		
1	0	3	63.75599999999999	Travel	1		
1	1	0	56.31333333333333	Travel	1		
1	1	1	9.915555555555557	Travel	1		
1	1	2	14.56076923076923	Travel	1		
1	2	0	56.303333333333335	Travel	1		
1	2	2	10.36725	Travel	1		
1	2	3	26.221666666666668	Travel	1		
1	3	0	60.400000000000006	Travel	1		
1	3	1	18.52	Travel	1		
1	3	2	23.98	Travel	1		
1	3	3	9.296666666666667	Travel	1		
1	2	1	17.21875	Travel	1		
2	2	3	26.221666666666668	Travel	1		
2	2	2	10.36725	Travel	1		
2	1	1	9.915555555555557	Travel	1		
2	1	2	14.56076923076923	Travel	1		
2	3	1	18.52	Travel	1		
2	1	3	18.063333333333333	Travel	1		
2	3	2	23.98	Travel	1		
2	3	0	60.400000000000006	Travel	1		
2	2	0	56.303333333333335	Travel	1		
2	1	0	56.31333333333333	Travel	1		
2	2	1	17.21875	Travel	1		
2	3	3	9.296666666666667	Travel	1		
2	0	3	63.75599999999999	Travel	1		
2	0	2	57.985	Travel	1		
2	0	1	53.300000000000004	Travel	1		
2	0	0	14.394647887323943	Travel	1		
3	2	1	17.21875	Travel	1		
3	0	0	14.394647887323943	Travel	1		
3	1	3	18.063333333333333	Travel	1		
3	1	1	9.915555555555557	Travel	1		
3	1	2	14.56076923076923	Travel	1		
3	0	1	53.300000000000004	Travel	1		
3	3	1	18.52	Travel	1		
3	3	2	23.98	Travel	1		
3	0	2	57.985	Travel	1		
3	2	3	26.221666666666668	Travel	1		
3	0	3	63.75599999999999	Travel	1		
3	3	0	60.400000000000006	Travel	1		
3	3	3	9.296666666666667	Travel	1		
3	1	0	56.31333333333333	Travel	1		
3	2	2	10.36725	Travel	1		
3	2	0	56.303333333333335	Travel	1		
4	3	0	58.1675	Travel	1		
4	2	2	11.030555555555557	Travel	1		
4	1	3	17.295	Travel	1		
4	2	1	17.2275	Travel	1		
4	1	2	14.866666666666667	Travel	1		
4	0	0	13.483461538461539	Travel	1		
4	2	3	24.3025	Travel	1		
4	1	1	18.202	Travel	1		
4	0	3	69.9	Travel	1		
4	0	2	52.65833333333333	Travel	1		
4	0	1	55.02	Travel	1		
4	2	0	51.72625	Travel	1		
4	1	0	77.306	Travel	1		
4	3	3	11.216	Travel	1		
5	0	0	13.483461538461539	Travel	1		
5	3	0	58.1675	Travel	1		
5	2	3	24.3025	Travel	1		
5	2	1	17.2275	Travel	1		
5	2	0	51.72625	Travel	1		
5	1	2	14.866666666666667	Travel	1		
5	1	1	18.202	Travel	1		
5	1	0	77.306	Travel	1		
5	0	3	69.9	Travel	1		
5	0	2	52.65833333333333	Travel	1		
5	0	1	55.02	Travel	1		
5	1	3	17.295	Travel	1		
5	3	3	11.216	Travel	1		
5	2	2	11.030555555555557	Travel	1		
6	1	3	17.295	Travel	1		
6	0	1	55.02	Travel	1		
6	2	2	11.030555555555557	Travel	1		
6	1	1	18.202	Travel	1		
6	3	0	58.1675	Travel	1		
6	1	2	14.866666666666667	Travel	1		
6	0	3	69.9	Travel	1		
6	0	2	52.65833333333333	Travel	1		
6	2	3	24.3025	Travel	1		
6	2	1	17.2275	Travel	1		
6	2	0	51.72625	Travel	1		
6	3	3	11.216	Travel	1		
6	1	0	77.306	Travel	1		
6	0	0	13.483461538461539	Travel	1		
7	2	3	24.3025	Travel	1		
7	1	1	18.202	Travel	1		
7	0	2	52.65833333333333	Travel	1		
7	2	1	17.2275	Travel	1		
7	0	1	55.02	Travel	1		
7	0	0	13.483461538461539	Travel	1		
7	3	0	58.1675	Travel	1		
7	3	3	11.216	Travel	1		
7	2	2	11.030555555555557	Travel	1		
7	0	3	69.9	Travel	1		
7	2	0	51.72625	Travel	1		
7	1	3	17.295	Travel	1		
7	1	0	77.306	Travel	1		
7	1	2	14.866666666666667	Travel	1		
8	3	2	28.7	Travel	1		
8	0	1	55.971666666666664	Travel	1		
8	3	1	16.776666666666667	Travel	1		
8	3	3	13.33	Travel	1		
8	2	3	36.94	Travel	1		
8	0	2	49.699999999999996	Travel	1		
8	1	1	16.46	Travel	1		
8	1	2	17.121052631578948	Travel	1		
8	3	0	72.22972972972973	Travel	1		
8	1	0	70.57933333333334	Travel	1		
8	2	1	17.98	Travel	1		
8	2	0	61.02375	Travel	1		
