T	Origin	Destination	Payoff	Type	Pickup	Region	Rate
0	0	0	14.394666666666666	Travel	1		
0	1	1	14.603461538461538	Travel	1		
0	1	2	16.375	Travel	1		
0	1	3	15.674074074074074	Travel	1		
0	2	0	44.47	Travel	1		
0	2	1	18.61	Travel	1		
0	2	2	9.446363636363635	Travel	1		
0	2	3	28.645999999999997	Travel	1		
0	3	0	51.91	Travel	1		
0	3	1	23.21	Travel	1		
0	3	2	30.95	Travel	1		
0	3	3	10.134	Travel	1		
0	0	2	66.89465753424658	Travel	1		
0	1	0	50.03	Travel	1		
0	0	1	69.0651282051282	Travel	1		
0	0	3	73.675	Travel	1		
1	2	1	18.61	Travel	1		
1	3	1	23.21	Travel	1		
1	3	0	51.91	Travel	1		
1	2	3	28.645999999999997	Travel	1		
1	2	2	9.446363636363635	Travel	1		
1	2	0	44.47	Travel	1		
1	3	2	30.95	Travel	1		
1	1	3	15.674074074074074	Travel	1		
1	1	1	14.603461538461538	Travel	1		
1	1	0	50.03	Travel	1		
1	0	3	73.675	Travel	1		
1	0	2	66.89465753424658	Travel	1		
1	0	1	69.0651282051282	Travel	1		
1	0	0	14.394666666666666	Travel	1		
1	1	2	16.375	Travel	1		
1	3	3	10.134	Travel	1		
2	3	3	10.134	Travel	1		
2	3	2	30.95	Travel	1		
2	0	1	69.0651282051282	Travel	1		
2	3	1	23.21	Travel	1		
2	0	0	14.394666666666666	Travel	1		
2	3	0	51.91	Travel	1		
2	2	3	28.645999999999997	Travel	1		
2	2	2	9.446363636363635	Travel	1		
2	2	1	18.61	Travel	1		
2	2	0	44.47	Travel	1		
2	1	3	15.674074074074074	Travel	1		
2	1	2	16.375	Travel	1		
2	1	1	14.603461538461538	Travel	1		
2	1	0	50.03	Travel	1		
2	0	3	73.675	Travel	1		
2	0	2	66.89465753424658	Travel	1		
3	3	0	51.91	Travel	1		
3	2	1	18.61	Travel	1		
3	2	3	28.645999999999997	Travel	1		
3	2	2	9.446363636363635	Travel	1		
3	3	1	23.21	Travel	1		
3	2	0	44.47	Travel	1		
3	0	1	69.0651282051282	Travel	1		
3	1	2	16.375	Travel	1		
3	1	1	14.603461538461538	Travel	1		
3	1	0	50.03	Travel	1		
3	0	3	73.675	Travel	1		
3	3	3	10.134	Travel	1		
3	0	0	14.394666666666666	Travel	1		
3	1	3	15.674074074074074	Travel	1		
3	0	2	66.89465753424658	Travel	1		
3	3	2	30.95	Travel	1		
4	0	1	65.48	Travel	1		
4	2	1	16.003333333333334	Travel	1		
4	2	3	26.49090909090909	Travel	1		
4	3	0	58.58	Travel	1		
4	2	0	49.72	Travel	1		
4	1	2	14.968333333333334	Travel	1		
4	3	3	8.774166666666668	Travel	1		
4	1	1	9.282142857142858	Travel	1		
4	0	2	53.52041666666667	Travel	1		
4	1	3	17.180000000000003	Travel	1		
4	2	2	9.835652173913044	Travel	1		
4	0	0	11.955652173913045	Travel	1		
4	0	3	60.983333333333334	Travel	1		
5	1	1	9.282142857142858	Travel	1		
5	2	1	16.003333333333334	Travel	1		
5	2	2	9.835652173913044	Travel	1		
5	2	3	26.49090909090909	Travel	1		
5	2	0	49.72	Travel	1		
5	3	0	58.58	Travel	1		
5	1	3	17.180000000000003	Travel	1		
5	1	2	14.968333333333334	Travel	1		
5	0	0	11.955652173913045	Travel	1		
5	3	3	8.774166666666668	Travel	1		
5	0	1	65.48	Travel	1		
5	0	3	60.983333333333334	Travel	1		
5	0	2	53.52041666666667	Travel	1		
6	1	3	17.180000000000003	Travel	1		
6	0	1	65.48	Travel	1		
6	0	2	53.52041666666667	Travel	1		
6	3	3	8.774166666666668	Travel	1		
6	0	3	60.983333333333334	Travel	1		
6	2	3	26.49090909090909	Travel	1		
6	3	0	58.58	Travel	1		
6	1	1	9.282142857142858	Travel	1		
6	0	0	11.955652173913045	Travel	1		
6	2	0	49.72	Travel	1		
6	1	2	14.968333333333334	Travel	1		
6	2	2	9.835652173913044	Travel	1		
6	2	1	16.003333333333334	Travel	1		
7	0	2	53.52041666666667	Travel	1		
7	1	2	14.968333333333334	Travel	1		
7	2	0	49.72	Travel	1		
7	2	2	9.835652173913044	Travel	1		
7	1	1	9.282142857142858	Travel	1		
7	1	3	17.180000000000003	Travel	1		
7	0	3	60.983333333333334	Travel	1		
7	2	1	16.003333333333334	Travel	1		
7	0	1	65.48	Travel	1		
7	2	3	26.49090909090909	Travel	1		
7	0	0	11.955652173913045	Travel	1		
7	3	0	58.58	Travel	1		
7	3	3	8.774166666666668	Travel	1		
8	2	1	17.21875	Travel	1		
8	2	0	56.303333333333335	Travel	1		
8	2	3	26.221666666666668	Travel	1		
8	3	0	60.400000000000006	Travel	1		
8	3	1	18.52	Travel	1		
8	1	3	18.063333333333333	Travel	1		
8	3	3	9.296666666666667	Travel	1		
8	0	1	53.300000000000004	Travel	1		
8	1	2	14.56076923076923	Travel	1		
8	2	2	10.36725	Travel	1		
8	0	2	57.985	Travel	1		
8	3	2	23.98	Travel	1		
8	0	3	63.75599999999999	Travel	1		
8	1	0	56.31333333333333	Travel	1		
8	1	1	9.915555555555557	Travel	1		
8	0	0	14.394647887323943	Travel	1		
9	2	2	10.36725	Travel	1		
9	0	2	57.985	Travel	1		
9	2	1	17.21875	Travel	1		
9	0	3	63.75599999999999	Travel	1		
9	0	1	53.300000000000004	Travel	1		
9	0	0	14.394647887323943	Travel	1		
9	3	3	9.296666666666667	Travel	1		
9	3	2	23.98	Travel	1		
9	1	2	14.56076923076923	Travel	1		
9	1	0	56.31333333333333	Travel	1		
9	1	3	18.063333333333333	Travel	1		
9	3	0	60.400000000000006	Travel	1		
9	1	1	9.915555555555557	Travel	1		
9	2	3	26.221666666666668	Travel	1		
9	3	1	18.52	Travel	1		
9	2	0	56.303333333333335	Travel	1		
10	0	2	57.985	Travel	1		
10	0	3	63.75599999999999	Travel	1		
10	0	1	53.300000000000004	Travel	1		
10	2	1	17.21875	Travel	1		
10	1	2	14.56076923076923	Travel	1		
10	1	3	18.063333333333333	Travel	1		
10	3	3	9.296666666666667	Travel	1		
10	2	0	56.303333333333335	Travel	1		
10	3	2	23.98	Travel	1		
10	3	1	18.52	Travel	1		
10	2	2	10.36725	Travel	1		
10	3	0	60.400000000000006	Travel	1		
10	2	3	26.221666666666668	Travel	1		
10	1	1	9.915555555555557	Travel	1		
10	0	0	14.394647887323943	Travel	1		
10	1	0	56.31333333333333	Travel	1		
11	2	1	17.21875	Travel	1		
11	3	1	18.52	Travel	1		
11	1	2	14.56076923076923	Travel	1		
11	2	3	26.221666666666668	Travel	1		
11	3	2	23.98	Travel	1		
11	0	1	53.300000000000004	Travel	1		
11	3	3	9.296666666666667	Travel	1		
11	2	2	10.36725	Travel	1		
11	0	0	14.394647887323943	Travel	1		
11	1	1	9.915555555555557	Travel	1		
11	3	0	60.400000000000006	Travel	1		
11	0	2	57.985	Travel	1		
11	1	0	56.31333333333333	Travel	1		
11	2	0	56.303333333333335	Travel	1		
11	0	3	63.75599999999999	Travel	1		
11	1	3	18.063333333333333	Travel	1		
12	1	1	18.202	Travel	1		
12	0	0	13.483461538461539	Travel	1		
12	1	2	14.866666666666667	Travel	1		
12	2	2	11.030555555555557	Travel	1		
12	0	1	55.02	Travel	1		
12	2	0	51.72625	Travel	1		
12	2	3	24.3025	Travel	1		
12	2	1	17.2275	Travel	1		
12	3	3	11.216	Travel	1		
