T	Origin	Destination	Payoff	Type	Pickup	Region	Rate
0	0	0	9.584824046920822	Travel	1		
0	8	8	11.06960817717206	Travel	1		
0	8	7	13.822016985138005	Travel	1		
0	8	6	18.304893111638954	Travel	1		
0	8	5	13.06931659693166	Travel	1		
0	1	8	27.024047619047618	Travel	1		
0	8	4	22.678133640552993	Travel	1		
0	8	3	19.617960199004976	Travel	1		
0	8	2	27.623397435897434	Travel	1		
0	8	1	30.765546875	Travel	1		
0	8	9	13.642270270270272	Travel	1		
0	8	0	36.94546391752577	Travel	1		
0	7	8	13.77795827123696	Travel	1		
0	7	7	11.624341290893014	Travel	1		
0	7	6	13.443737373737374	Travel	1		
0	7	5	12.467271557271557	Travel	1		
0	7	4	20.05601785714286	Travel	1		
0	7	3	12.971992287917736	Travel	1		
0	7	2	20.006309963099632	Travel	1		
0	7	1	27.314847058823528	Travel	1		
0	7	0	31.5759509202454	Travel	1		
0	7	9	19.041299326275265	Travel	1		
0	6	9	24.55167679222357	Travel	1		
0	9	0	38.52401515151515	Travel	1		
0	9	2	30.758982300884956	Travel	1		
0	0	6	31.89	Travel	1		
0	0	7	29.0215625	Travel	1		
0	0	8	31.187199999999997	Travel	1		
0	0	9	34.31666666666667	Travel	1		
0	1	0	13.64224032586558	Travel	1		
0	2	2	10.82185393258427	Travel	1		
0	1	1	9.504579256360078	Travel	1		
0	1	2	11.589761904761904	Travel	1		
0	1	3	19.880185185185184	Travel	1		
0	9	1	34.20301158301158	Travel	1		
0	1	4	12.535097402597403	Travel	1		
0	1	6	25.380454545454544	Travel	1		
0	1	7	25.491290322580646	Travel	1		
0	9	9	12.339947478991595	Travel	1		
0	9	8	13.246866913123846	Travel	1		
0	9	7	17.62407619047619	Travel	1		
0	9	6	24.068727272727273	Travel	1		
0	9	5	18.0998046875	Travel	1		
0	9	4	28.61718503937008	Travel	1		
0	9	3	24.421611479028698	Travel	1		
0	1	5	23.324262295081965	Travel	1		
0	6	8	17.725751724137933	Travel	1		
0	6	7	12.780651242502143	Travel	1		
0	6	6	12.119829683698297	Travel	1		
0	4	1	13.48195652173913	Travel	1		
0	4	0	23.82575	Travel	1		
0	3	9	25.110300429184548	Travel	1		
0	2	0	19.125617283950618	Travel	1		
0	3	8	19.753017751479288	Travel	1		
0	3	7	11.814854586129753	Travel	1		
0	3	6	11.33539419087137	Travel	1		
0	3	5	15.102627737226276	Travel	1		
0	3	4	16.276587030716723	Travel	1		
0	4	2	12.929375	Travel	1		
0	3	3	11.229009287925697	Travel	1		
0	3	1	21.100610169491528	Travel	1		
0	3	0	26.24693396226415	Travel	1		
0	2	9	30.656444444444443	Travel	1		
0	2	8	26.142105263157895	Travel	1		
0	2	7	20.473552631578947	Travel	1		
0	2	6	16.489821428571428	Travel	1		
0	2	5	21.580615384615385	Travel	1		
0	2	4	13.609292929292929	Travel	1		
0	2	3	12.755	Travel	1		
0	3	2	11.770603015075377	Travel	1		
0	4	3	15.141380753138074	Travel	1		
0	4	4	10.057284299858557	Travel	1		
0	4	5	13.748171206225681	Travel	1		
0	6	5	12.158172348484849	Travel	1		
0	6	4	14.288077956989246	Travel	1		
0	6	3	11.140260869565218	Travel	1		
0	6	2	16.182171052631578	Travel	1		
0	1	9	31.755081967213115	Travel	1		
0	6	1	23.57674846625767	Travel	1		
0	6	0	28.904418604651163	Travel	1		
0	5	9	17.278183856502242	Travel	1		
0	5	8	12.023622291021672	Travel	1		
0	5	7	12.42561122244489	Travel	1		
0	5	6	11.603462897526503	Travel	1		
0	5	5	10.217064017660045	Travel	1		
0	5	4	13.685533707865169	Travel	1		
0	5	3	15.210069686411149	Travel	1		
0	5	2	22.434299065420557	Travel	1		
0	5	1	24.846853146853146	Travel	1		
0	5	0	30.99	Travel	1		
0	4	9	27.610816326530614	Travel	1		
0	4	8	20.70032	Travel	1		
0	4	7	19.938674033149173	Travel	1		
0	4	6	14.161813186813186	Travel	1		
0	0	5	29.832666666666668	Travel	1		
0	0	4	22.060625	Travel	1		
0	2	1	13.16062706270627	Travel	1		
0	0	1	13.386142857142856	Travel	1		
0	0	2	20.60265625	Travel	1		
0	0	3	24.88153846153846	Travel	1		
1	7	4	20.05601785714286	Travel	1		
1	7	2	20.006309963099632	Travel	1		
1	7	1	27.314847058823528	Travel	1		
1	7	0	31.5759509202454	Travel	1		
1	6	9	24.55167679222357	Travel	1		
1	6	8	17.725751724137933	Travel	1		
1	6	7	12.780651242502143	Travel	1		
1	6	6	12.119829683698297	Travel	1		
1	6	5	12.158172348484849	Travel	1		
1	6	4	14.288077956989246	Travel	1		
1	6	3	11.140260869565218	Travel	1		
1	6	1	23.57674846625767	Travel	1		
1	7	3	12.971992287917736	Travel	1		
1	5	9	17.278183856502242	Travel	1		
1	5	8	12.023622291021672	Travel	1		
1	5	7	12.42561122244489	Travel	1		
1	5	6	11.603462897526503	Travel	1		
1	5	5	10.217064017660045	Travel	1		
1	5	4	13.685533707865169	Travel	1		
1	5	3	15.210069686411149	Travel	1		
1	5	2	22.434299065420557	Travel	1		
1	5	1	24.846853146853146	Travel	1		
1	6	2	16.182171052631578	Travel	1		
1	7	5	12.467271557271557	Travel	1		
1	7	7	11.624341290893014	Travel	1		
1	5	0	30.99	Travel	1		
1	9	9	12.339947478991595	Travel	1		
1	9	8	13.246866913123846	Travel	1		
1	9	7	17.62407619047619	Travel	1		
1	9	6	24.068727272727273	Travel	1		
1	9	5	18.0998046875	Travel	1		
1	9	4	28.61718503937008	Travel	1		
1	9	3	24.421611479028698	Travel	1		
1	9	2	30.758982300884956	Travel	1		
1	9	1	34.20301158301158	Travel	1		
1	9	0	38.52401515151515	Travel	1		
1	7	6	13.443737373737374	Travel	1		
1	8	9	13.642270270270272	Travel	1		
1	8	7	13.822016985138005	Travel	1		
1	8	6	18.304893111638954	Travel	1		
1	8	5	13.06931659693166	Travel	1		
1	8	4	22.678133640552993	Travel	1		
1	8	3	19.617960199004976	Travel	1		
1	8	2	27.623397435897434	Travel	1		
1	8	1	30.765546875	Travel	1		
1	8	0	36.94546391752577	Travel	1		
1	7	9	19.041299326275265	Travel	1		
1	7	8	13.77795827123696	Travel	1		
1	8	8	11.06960817717206	Travel	1		
1	4	9	27.610816326530614	Travel	1		
1	6	0	28.904418604651163	Travel	1		
1	4	7	19.938674033149173	Travel	1		
1	2	1	13.16062706270627	Travel	1		
1	2	0	19.125617283950618	Travel	1		
1	1	9	31.755081967213115	Travel	1		
1	1	8	27.024047619047618	Travel	1		
1	1	7	25.491290322580646	Travel	1		
1	1	6	25.380454545454544	Travel	1		
1	1	5	23.324262295081965	Travel	1		
1	1	4	12.535097402597403	Travel	1		
1	1	3	19.880185185185184	Travel	1		
1	4	8	20.70032	Travel	1		
1	2	2	10.82185393258427	Travel	1		
1	1	1	9.504579256360078	Travel	1		
1	0	9	34.31666666666667	Travel	1		
1	0	8	31.187199999999997	Travel	1		
1	0	7	29.0215625	Travel	1		
1	0	6	31.89	Travel	1		
1	0	5	29.832666666666668	Travel	1		
1	0	4	22.060625	Travel	1		
1	0	3	24.88153846153846	Travel	1		
1	0	2	20.60265625	Travel	1		
1	0	1	13.386142857142856	Travel	1		
1	0	0	9.584824046920822	Travel	1		
1	1	0	13.64224032586558	Travel	1		
1	2	3	12.755	Travel	1		
1	1	2	11.589761904761904	Travel	1		
1	4	0	23.82575	Travel	1		
1	2	4	13.609292929292929	Travel	1		
1	4	6	14.161813186813186	Travel	1		
1	4	5	13.748171206225681	Travel	1		
1	4	4	10.057284299858557	Travel	1		
1	4	3	15.141380753138074	Travel	1		
1	4	2	12.929375	Travel	1		
1	4	1	13.48195652173913	Travel	1		
1	3	9	25.110300429184548	Travel	1		
1	3	8	19.753017751479288	Travel	1		
1	3	6	11.33539419087137	Travel	1		
1	3	7	11.814854586129753	Travel	1		
1	3	4	16.276587030716723	Travel	1		
1	3	3	11.229009287925697	Travel	1		
1	3	2	11.770603015075377	Travel	1		
1	3	1	21.100610169491528	Travel	1		
1	3	0	26.24693396226415	Travel	1		
1	2	9	30.656444444444443	Travel	1		
1	2	8	26.142105263157895	Travel	1		
1	2	7	20.473552631578947	Travel	1		
1	2	6	16.489821428571428	Travel	1		
1	2	5	21.580615384615385	Travel	1		
1	3	5	15.102627737226276	Travel	1		
2	3	4	16.276587030716723	Travel	1		
2	3	7	11.814854586129753	Travel	1		
2	3	6	11.33539419087137	Travel	1		
2	3	5	15.102627737226276	Travel	1		
2	3	3	11.229009287925697	Travel	1		
2	5	2	22.434299065420557	Travel	1		
2	3	1	21.100610169491528	Travel	1		
2	3	0	26.24693396226415	Travel	1		
2	3	8	19.753017751479288	Travel	1		
2	2	9	30.656444444444443	Travel	1		
2	3	2	11.770603015075377	Travel	1		
2	3	9	25.110300429184548	Travel	1		
2	5	1	24.846853146853146	Travel	1		
2	4	1	13.48195652173913	Travel	1		
2	4	2	12.929375	Travel	1		
2	4	3	15.141380753138074	Travel	1		
2	4	4	10.057284299858557	Travel	1		
2	4	5	13.748171206225681	Travel	1		
2	4	6	14.161813186813186	Travel	1		
2	4	7	19.938674033149173	Travel	1		
2	4	8	20.70032	Travel	1		
2	4	9	27.610816326530614	Travel	1		
2	5	0	30.99	Travel	1		
2	2	8	26.142105263157895	Travel	1		
2	4	0	23.82575	Travel	1		
2	2	7	20.473552631578947	Travel	1		
2	1	4	12.535097402597403	Travel	1		
2	2	5	21.580615384615385	Travel	1		
2	5	3	15.210069686411149	Travel	1		
2	0	0	9.584824046920822	Travel	1		
2	0	1	13.386142857142856	Travel	1		
2	0	2	20.60265625	Travel	1		
2	0	3	24.88153846153846	Travel	1		
2	0	4	22.060625	Travel	1		
2	0	5	29.832666666666668	Travel	1		
2	0	6	31.89	Travel	1		
2	0	7	29.0215625	Travel	1		
2	0	8	31.187199999999997	Travel	1		
2	0	9	34.31666666666667	Travel	1		
2	1	0	13.64224032586558	Travel	1		
2	1	1	9.504579256360078	Travel	1		
2	1	2	11.589761904761904	Travel	1		
2	1	3	19.880185185185184	Travel	1		
2	1	5	23.324262295081965	Travel	1		
2	1	6	25.380454545454544	Travel	1		
2	1	7	25.491290322580646	Travel	1		
2	1	8	27.024047619047618	Travel	1		
2	1	9	31.755081967213115	Travel	1		
2	2	0	19.125617283950618	Travel	1		
2	2	1	13.16062706270627	Travel	1		
2	2	2	10.82185393258427	Travel	1		
2	2	3	12.755	Travel	1		
2	2	4	13.609292929292929	Travel	1		
2	2	6	16.489821428571428	Travel	1		
2	5	4	13.685533707865169	Travel	1		
2	6	0	28.904418604651163	Travel	1		
2	5	6	11.603462897526503	Travel	1		
2	8	0	36.94546391752577	Travel	1		
2	8	1	30.765546875	Travel	1		
2	8	2	27.623397435897434	Travel	1		
2	8	3	19.617960199004976	Travel	1		
2	8	4	22.678133640552993	Travel	1		
2	8	5	13.06931659693166	Travel	1		
2	8	6	18.304893111638954	Travel	1		
2	8	7	13.822016985138005	Travel	1		
2	8	8	11.06960817717206	Travel	1		
2	7	9	19.041299326275265	Travel	1		
2	8	9	13.642270270270272	Travel	1		
2	9	1	34.20301158301158	Travel	1		
2	9	2	30.758982300884956	Travel	1		
2	9	3	24.421611479028698	Travel	1		
2	9	4	28.61718503937008	Travel	1		
2	9	5	18.0998046875	Travel	1		
2	9	6	24.068727272727273	Travel	1		
2	9	7	17.62407619047619	Travel	1		
2	9	8	13.246866913123846	Travel	1		
2	5	5	10.217064017660045	Travel	1		
2	9	0	38.52401515151515	Travel	1		
2	7	8	13.77795827123696	Travel	1		
2	9	9	12.339947478991595	Travel	1		
2	7	6	13.443737373737374	Travel	1		
2	5	7	12.42561122244489	Travel	1		
2	7	7	11.624341290893014	Travel	1		
2	5	8	12.023622291021672	Travel	1		
2	6	1	23.57674846625767	Travel	1		
2	6	2	16.182171052631578	Travel	1		
2	6	3	11.140260869565218	Travel	1		
2	6	4	14.288077956989246	Travel	1		
2	6	5	12.158172348484849	Travel	1		
2	6	6	12.119829683698297	Travel	1		
2	6	7	12.780651242502143	Travel	1		
2	5	9	17.278183856502242	Travel	1		
2	7	5	12.467271557271557	Travel	1		
2	6	8	17.725751724137933	Travel	1		
2	6	9	24.55167679222357	Travel	1		
2	7	0	31.5759509202454	Travel	1		
2	7	1	27.314847058823528	Travel	1		
2	7	2	20.006309963099632	Travel	1		
2	7	4	20.05601785714286	Travel	1		
2	7	3	12.971992287917736	Travel	1		
3	6	2	16.182171052631578	Travel	1		
3	6	3	11.140260869565218	Travel	1		
3	6	4	14.288077956989246	Travel	1		
3	4	8	20.70032	Travel	1		
3	6	1	23.57674846625767	Travel	1		
3	6	7	12.780651242502143	Travel	1		
3	6	8	17.725751724137933	Travel	1		
3	6	9	24.55167679222357	Travel	1		
3	7	0	31.5759509202454	Travel	1		
3	6	5	12.158172348484849	Travel	1		
3	6	0	28.904418604651163	Travel	1		
3	5	7	12.42561122244489	Travel	1		
3	5	8	12.023622291021672	Travel	1		
3	5	6	11.603462897526503	Travel	1		
3	5	5	10.217064017660045	Travel	1		
3	5	4	13.685533707865169	Travel	1		
3	5	3	15.210069686411149	Travel	1		
3	7	1	27.314847058823528	Travel	1		
3	5	2	22.434299065420557	Travel	1		
3	5	1	24.846853146853146	Travel	1		
3	5	0	30.99	Travel	1		
3	4	9	27.610816326530614	Travel	1		
3	4	7	19.938674033149173	Travel	1		
3	5	9	17.278183856502242	Travel	1		
3	7	2	20.006309963099632	Travel	1		
3	8	2	27.623397435897434	Travel	1		
3	7	4	20.05601785714286	Travel	1		
3	9	6	24.068727272727273	Travel	1		
3	9	7	17.62407619047619	Travel	1		
3	9	5	18.0998046875	Travel	1		
3	9	8	13.246866913123846	Travel	1		
3	9	4	28.61718503937008	Travel	1		
