T	Type	Pickup	Origin	Destination	Region	Rate	Payoff
0	Travel	1.0	0.0	0.0			1
0	Travel	0.0	0.0	0.0			1
0	Travel	1.0	0.0	1.0			1
0	Travel	0.0	0.0	1.0			1
0	Travel	1.0	0.0	2.0			1
0	Travel	0.0	0.0	2.0			1
0	Travel	1.0	0.0	3.0			1
0	Travel	0.0	0.0	3.0			1
0	Travel	1.0	1.0	0.0			1
0	Travel	0.0	1.0	0.0			1
0	Travel	1.0	1.0	1.0			1
0	Travel	0.0	1.0	1.0			1
0	Travel	1.0	1.0	2.0			1
0	Travel	0.0	1.0	2.0			1
0	Travel	1.0	1.0	3.0			1
0	Travel	0.0	1.0	3.0			1
0	Travel	1.0	2.0	0.0			1
0	Travel	0.0	2.0	0.0			1
0	Travel	1.0	2.0	1.0			1
0	Travel	0.0	2.0	1.0			1
0	Travel	1.0	2.0	2.0			1
0	Travel	0.0	2.0	2.0			1
0	Travel	1.0	2.0	3.0			1
0	Travel	0.0	2.0	3.0			1
0	Travel	1.0	3.0	0.0			1
0	Travel	0.0	3.0	0.0			1
0	Travel	1.0	3.0	1.0			1
0	Travel	0.0	3.0	1.0			1
0	Travel	1.0	3.0	2.0			1
0	Travel	0.0	3.0	2.0			1
0	Travel	1.0	3.0	3.0			1
0	Travel	0.0	3.0	3.0			1
0	Travel				0.0	24.0	0
0	Travel				1.0	24.0	0
0	Travel				2.0	24.0	0
0	Travel				3.0	24.0	0
1	Travel	1.0	0.0	0.0			1
1	Travel	0.0	0.0	0.0			1
1	Travel	1.0	0.0	1.0			1
1	Travel	0.0	0.0	1.0			1
1	Travel	1.0	0.0	2.0			1
1	Travel	0.0	0.0	2.0			1
1	Travel	1.0	0.0	3.0			1
1	Travel	0.0	0.0	3.0			1
1	Travel	1.0	1.0	0.0			1
1	Travel	0.0	1.0	0.0			1
1	Travel	1.0	1.0	1.0			1
1	Travel	0.0	1.0	1.0			1
1	Travel	1.0	1.0	2.0			1
1	Travel	0.0	1.0	2.0			1
1	Travel	1.0	1.0	3.0			1
1	Travel	0.0	1.0	3.0			1
1	Travel	1.0	2.0	0.0			1
1	Travel	0.0	2.0	0.0			1
1	Travel	1.0	2.0	1.0			1
1	Travel	0.0	2.0	1.0			1
1	Travel	1.0	2.0	2.0			1
1	Travel	0.0	2.0	2.0			1
1	Travel	1.0	2.0	3.0			1
1	Travel	0.0	2.0	3.0			1
1	Travel	1.0	3.0	0.0			1
1	Travel	0.0	3.0	0.0			1
1	Travel	1.0	3.0	1.0			1
1	Travel	0.0	3.0	1.0			1
1	Travel	1.0	3.0	2.0			1
1	Travel	0.0	3.0	2.0			1
1	Travel	1.0	3.0	3.0			1
1	Travel	0.0	3.0	3.0			1
1	Travel				0.0	24.0	0
1	Travel				1.0	24.0	0
1	Travel				2.0	24.0	0
1	Travel				3.0	24.0	0
2	Travel	1.0	0.0	0.0			1
2	Travel	0.0	0.0	0.0			1
2	Travel	1.0	0.0	1.0			1
2	Travel	0.0	0.0	1.0			1
2	Travel	1.0	0.0	2.0			1
2	Travel	0.0	0.0	2.0			1
2	Travel	1.0	0.0	3.0			1
2	Travel	0.0	0.0	3.0			1
2	Travel	1.0	1.0	0.0			1
2	Travel	0.0	1.0	0.0			1
2	Travel	1.0	1.0	1.0			1
2	Travel	0.0	1.0	1.0			1
2	Travel	1.0	1.0	2.0			1
2	Travel	0.0	1.0	2.0			1
2	Travel	1.0	1.0	3.0			1
2	Travel	0.0	1.0	3.0			1
2	Travel	1.0	2.0	0.0			1
2	Travel	0.0	2.0	0.0			1
2	Travel	1.0	2.0	1.0			1
2	Travel	0.0	2.0	1.0			1
2	Travel	1.0	2.0	2.0			1
2	Travel	0.0	2.0	2.0			1
2	Travel	1.0	2.0	3.0			1
2	Travel	0.0	2.0	3.0			1
2	Travel	1.0	3.0	0.0			1
2	Travel	0.0	3.0	0.0			1
2	Travel	1.0	3.0	1.0			1
2	Travel	0.0	3.0	1.0			1
2	Travel	1.0	3.0	2.0			1
2	Travel	0.0	3.0	2.0			1
2	Travel	1.0	3.0	3.0			1
2	Travel	0.0	3.0	3.0			1
2	Travel				0.0	24.0	0
2	Travel				1.0	24.0	0
2	Travel				2.0	24.0	0
2	Travel				3.0	24.0	0
3	Travel	1.0	0.0	0.0			1
3	Travel	0.0	0.0	0.0			1
3	Travel	1.0	0.0	1.0			1
3	Travel	0.0	0.0	1.0			1
3	Travel	1.0	0.0	2.0			1
3	Travel	0.0	0.0	2.0			1
3	Travel	1.0	0.0	3.0			1
3	Travel	0.0	0.0	3.0			1
3	Travel	1.0	1.0	0.0			1
3	Travel	0.0	1.0	0.0			1
3	Travel	1.0	1.0	1.0			1
3	Travel	0.0	1.0	1.0			1
3	Travel	1.0	1.0	2.0			1
3	Travel	0.0	1.0	2.0			1
3	Travel	1.0	1.0	3.0			1
3	Travel	0.0	1.0	3.0			1
3	Travel	1.0	2.0	0.0			1
3	Travel	0.0	2.0	0.0			1
3	Travel	1.0	2.0	1.0			1
3	Travel	0.0	2.0	1.0			1
3	Travel	1.0	2.0	2.0			1
3	Travel	0.0	2.0	2.0			1
3	Travel	1.0	2.0	3.0			1
3	Travel	0.0	2.0	3.0			1
3	Travel	1.0	3.0	0.0			1
3	Travel	0.0	3.0	0.0			1
3	Travel	1.0	3.0	1.0			1
3	Travel	0.0	3.0	1.0			1
3	Travel	1.0	3.0	2.0			1
3	Travel	0.0	3.0	2.0			1
3	Travel	1.0	3.0	3.0			1
3	Travel	0.0	3.0	3.0			1
3	Travel				0.0	24.0	0
3	Travel				1.0	24.0	0
3	Travel				2.0	24.0	0
3	Travel				3.0	24.0	0
4	Travel	1.0	0.0	0.0			1
4	Travel	0.0	0.0	0.0			1
4	Travel	1.0	0.0	1.0			1
4	Travel	0.0	0.0	1.0			1
4	Travel	1.0	0.0	2.0			1
4	Travel	0.0	0.0	2.0			1
4	Travel	1.0	0.0	3.0			1
4	Travel	0.0	0.0	3.0			1
4	Travel	1.0	1.0	0.0			1
4	Travel	0.0	1.0	0.0			1
4	Travel	1.0	1.0	1.0			1
4	Travel	0.0	1.0	1.0			1
4	Travel	1.0	1.0	2.0			1
4	Travel	0.0	1.0	2.0			1
4	Travel	1.0	1.0	3.0			1
4	Travel	0.0	1.0	3.0			1
4	Travel	1.0	2.0	0.0			1
4	Travel	0.0	2.0	0.0			1
4	Travel	1.0	2.0	1.0			1
4	Travel	0.0	2.0	1.0			1
4	Travel	1.0	2.0	2.0			1
4	Travel	0.0	2.0	2.0			1
4	Travel	1.0	2.0	3.0			1
4	Travel	0.0	2.0	3.0			1
4	Travel	1.0	3.0	0.0			1
4	Travel	0.0	3.0	0.0			1
4	Travel	1.0	3.0	1.0			1
4	Travel	0.0	3.0	1.0			1
4	Travel	1.0	3.0	2.0			1
4	Travel	0.0	3.0	2.0			1
4	Travel	1.0	3.0	3.0			1
4	Travel	0.0	3.0	3.0			1
4	Travel				0.0	24.0	0
4	Travel				1.0	24.0	0
4	Travel				2.0	24.0	0
4	Travel				3.0	24.0	0
5	Travel	1.0	0.0	0.0			1
5	Travel	0.0	0.0	0.0			1
5	Travel	1.0	0.0	1.0			1
5	Travel	0.0	0.0	1.0			1
5	Travel	1.0	0.0	2.0			1
5	Travel	0.0	0.0	2.0			1
5	Travel	1.0	0.0	3.0			1
5	Travel	0.0	0.0	3.0			1
5	Travel	1.0	1.0	0.0			1
5	Travel	0.0	1.0	0.0			1
5	Travel	1.0	1.0	1.0			1
5	Travel	0.0	1.0	1.0			1
5	Travel	1.0	1.0	2.0			1
5	Travel	0.0	1.0	2.0			1
5	Travel	1.0	1.0	3.0			1
5	Travel	0.0	1.0	3.0			1
5	Travel	1.0	2.0	0.0			1
5	Travel	0.0	2.0	0.0			1
5	Travel	1.0	2.0	1.0			1
5	Travel	0.0	2.0	1.0			1
5	Travel	1.0	2.0	2.0			1
5	Travel	0.0	2.0	2.0			1
5	Travel	1.0	2.0	3.0			1
5	Travel	0.0	2.0	3.0			1
5	Travel	1.0	3.0	0.0			1
5	Travel	0.0	3.0	0.0			1
5	Travel	1.0	3.0	1.0			1
5	Travel	0.0	3.0	1.0			1
5	Travel	1.0	3.0	2.0			1
5	Travel	0.0	3.0	2.0			1
5	Travel	1.0	3.0	3.0			1
5	Travel	0.0	3.0	3.0			1
5	Travel				0.0	24.0	0
5	Travel				1.0	24.0	0
5	Travel				2.0	24.0	0
5	Travel				3.0	24.0	0
6	Travel	1.0	0.0	0.0			1
6	Travel	0.0	0.0	0.0			1
6	Travel	1.0	0.0	1.0			1
6	Travel	0.0	0.0	1.0			1
6	Travel	1.0	0.0	2.0			1
6	Travel	0.0	0.0	2.0			1
6	Travel	1.0	0.0	3.0			1
6	Travel	0.0	0.0	3.0			1
6	Travel	1.0	1.0	0.0			1
6	Travel	0.0	1.0	0.0			1
6	Travel	1.0	1.0	1.0			1
6	Travel	0.0	1.0	1.0			1
6	Travel	1.0	1.0	2.0			1
6	Travel	0.0	1.0	2.0			1
6	Travel	1.0	1.0	3.0			1
6	Travel	0.0	1.0	3.0			1
6	Travel	1.0	2.0	0.0			1
6	Travel	0.0	2.0	0.0			1
6	Travel	1.0	2.0	1.0			1
6	Travel	0.0	2.0	1.0			1
6	Travel	1.0	2.0	2.0			1
6	Travel	0.0	2.0	2.0			1
6	Travel	1.0	2.0	3.0			1
6	Travel	0.0	2.0	3.0			1
6	Travel	1.0	3.0	0.0			1
6	Travel	0.0	3.0	0.0			1
6	Travel	1.0	3.0	1.0			1
6	Travel	0.0	3.0	1.0			1
6	Travel	1.0	3.0	2.0			1
6	Travel	0.0	3.0	2.0			1
6	Travel	1.0	3.0	3.0			1
6	Travel	0.0	3.0	3.0			1
6	Travel				0.0	24.0	0
6	Travel				1.0	24.0	0
6	Travel				2.0	24.0	0
6	Travel				3.0	24.0	0
7	Travel	1.0	0.0	0.0			1
7	Travel	0.0	0.0	0.0			1
7	Travel	1.0	0.0	1.0			1
7	Travel	0.0	0.0	1.0			1
7	Travel	1.0	0.0	2.0			1
7	Travel	0.0	0.0	2.0			1
7	Travel	1.0	0.0	3.0			1
7	Travel	0.0	0.0	3.0			1
7	Travel	1.0	1.0	0.0			1
7	Travel	0.0	1.0	0.0			1
7	Travel	1.0	1.0	1.0			1
7	Travel	0.0	1.0	1.0			1
7	Travel	1.0	1.0	2.0			1
7	Travel	0.0	1.0	2.0			1
7	Travel	1.0	1.0	3.0			1
7	Travel	0.0	1.0	3.0			1
7	Travel	1.0	2.0	0.0			1
7	Travel	0.0	2.0	0.0			1
7	Travel	1.0	2.0	1.0			1
7	Travel	0.0	2.0	1.0			1
7	Travel	1.0	2.0	2.0			1
7	Travel	0.0	2.0	2.0			1
7	Travel	1.0	2.0	3.0			1
7	Travel	0.0	2.0	3.0			1
7	Travel	1.0	3.0	0.0			1
7	Travel	0.0	3.0	0.0			1
7	Travel	1.0	3.0	1.0			1
7	Travel	0.0	3.0	1.0			1
7	Travel	1.0	3.0	2.0			1
7	Travel	0.0	3.0	2.0			1
7	Travel	1.0	3.0	3.0			1
7	Travel	0.0	3.0	3.0			1
7	Travel				0.0	24.0	0
7	Travel				1.0	24.0	0
7	Travel				2.0	24.0	0
7	Travel				3.0	24.0	0
8	Travel	1.0	0.0	0.0			1
8	Travel	0.0	0.0	0.0			1
8	Travel	1.0	0.0	1.0			1
8	Travel	0.0	0.0	1.0			1
8	Travel	1.0	0.0	2.0			1
8	Travel	0.0	0.0	2.0			1
8	Travel	1.0	0.0	3.0			1
8	Travel	0.0	0.0	3.0			1
8	Travel	1.0	1.0	0.0			1
8	Travel	0.0	1.0	0.0			1
8	Travel	1.0	1.0	1.0			1
8	Travel	0.0	1.0	1.0			1
8	Travel	1.0	1.0	2.0			1
8	Travel	0.0	1.0	2.0			1
8	Travel	1.0	1.0	3.0			1
8	Travel	0.0	1.0	3.0			1
8	Travel	1.0	2.0	0.0			1
8	Travel	0.0	2.0	0.0			1
8	Travel	1.0	2.0	1.0			1
8	Travel	0.0	2.0	1.0			1
8	Travel	1.0	2.0	2.0			1
8	Travel	0.0	2.0	2.0			1
8	Travel	1.0	2.0	3.0			1
8	Travel	0.0	2.0	3.0			1
8	Travel	1.0	3.0	0.0			1
8	Travel	0.0	3.0	0.0			1
8	Travel	1.0	3.0	1.0			1
8	Travel	0.0	3.0	1.0			1
8	Travel	1.0	3.0	2.0			1
8	Travel	0.0	3.0	2.0			1
8	Travel	1.0	3.0	3.0			1
8	Travel	0.0	3.0	3.0			1
8	Travel				0.0	24.0	0
8	Travel				1.0	24.0	0
8	Travel				2.0	24.0	0
8	Travel				3.0	24.0	0
9	Travel	1.0	0.0	0.0			1
9	Travel	0.0	0.0	0.0			1
9	Travel	1.0	0.0	1.0			1
9	Travel	0.0	0.0	1.0			1
9	Travel	1.0	0.0	2.0			1
9	Travel	0.0	0.0	2.0			1
9	Travel	1.0	0.0	3.0			1
9	Travel	0.0	0.0	3.0			1
9	Travel	1.0	1.0	0.0			1
9	Travel	0.0	1.0	0.0			1
9	Travel	1.0	1.0	1.0			1
9	Travel	0.0	1.0	1.0			1
9	Travel	1.0	1.0	2.0			1
9	Travel	0.0	1.0	2.0			1
9	Travel	1.0	1.0	3.0			1
9	Travel	0.0	1.0	3.0			1
9	Travel	1.0	2.0	0.0			1
9	Travel	0.0	2.0	0.0			1
9	Travel	1.0	2.0	1.0			1
9	Travel	0.0	2.0	1.0			1
9	Travel	1.0	2.0	2.0			1
9	Travel	0.0	2.0	2.0			1
9	Travel	1.0	2.0	3.0			1
9	Travel	0.0	2.0	3.0			1
9	Travel	1.0	3.0	0.0			1
9	Travel	0.0	3.0	0.0			1
9	Travel	1.0	3.0	1.0			1
9	Travel	0.0	3.0	1.0			1
9	Travel	1.0	3.0	2.0			1
9	Travel	0.0	3.0	2.0			1
9	Travel	1.0	3.0	3.0			1
9	Travel	0.0	3.0	3.0			1
9	Travel				0.0	24.0	0
9	Travel				1.0	24.0	0
9	Travel				2.0	24.0	0
9	Travel				3.0	24.0	0
10	Travel	1.0	0.0	0.0			1
10	Travel	0.0	0.0	0.0			1
10	Travel	1.0	0.0	1.0			1
10	Travel	0.0	0.0	1.0			1
10	Travel	1.0	0.0	2.0			1
10	Travel	0.0	0.0	2.0			1
10	Travel	1.0	0.0	3.0			1
10	Travel	0.0	0.0	3.0			1
10	Travel	1.0	1.0	0.0			1
10	Travel	0.0	1.0	0.0			1
10	Travel	1.0	1.0	1.0			1
10	Travel	0.0	1.0	1.0			1
10	Travel	1.0	1.0	2.0			1
10	Travel	0.0	1.0	2.0			1
10	Travel	1.0	1.0	3.0			1
10	Travel	0.0	1.0	3.0			1
10	Travel	1.0	2.0	0.0			1
