T	Origin	Destination	Count
0	0	0	7.638572073209605
0	1	1	5.174516565722636
0	2	0	4.400099120512445
0	2	1	6.735085053797716
0	2	2	2.8431409701772723
0	2	3	1.4784333044921816
0	3	0	3.121136976150161
0	3	1	10.349033131445273
0	3	2	1.2320277537434847
0	3	3	3.285407343315959
0	1	0	10.266897947862374
0	0	3	1.6427036716579795
0	1	3	1.5605684880750805
0	0	2	4.576103085332943
0	1	2	1.2320277537434847
0	0	1	6.652949870214818
1	3	2	1.2320277537434847
1	3	1	10.349033131445273
1	3	0	3.121136976150161
1	2	2	2.8431409701772723
1	2	1	6.735085053797716
1	2	0	4.400099120512445
1	3	3	3.285407343315959
1	2	3	1.4784333044921816
1	1	1	5.174516565722636
1	1	0	10.266897947862374
1	0	3	1.6427036716579795
1	0	2	4.576103085332943
1	0	1	6.652949870214818
1	0	0	7.638572073209605
1	1	2	1.2320277537434847
1	1	3	1.5605684880750805
2	3	3	3.285407343315959
2	0	2	4.576103085332943
2	3	2	1.2320277537434847
2	3	1	10.349033131445273
2	3	0	3.121136976150161
2	0	0	7.638572073209605
2	2	2	2.8431409701772723
2	2	1	6.735085053797716
2	2	0	4.400099120512445
2	1	3	1.5605684880750805
2	2	3	1.4784333044921816
2	1	2	1.2320277537434847
2	0	3	1.6427036716579795
2	1	0	10.266897947862374
2	1	1	5.174516565722636
2	0	1	6.652949870214818
3	0	2	4.576103085332943
3	0	1	6.652949870214818
3	3	2	1.2320277537434847
3	3	3	3.285407343315959
3	3	1	10.349033131445273
3	1	0	10.266897947862374
3	1	1	5.174516565722636
3	1	2	1.2320277537434847
3	1	3	1.5605684880750805
3	2	0	4.400099120512445
3	2	1	6.735085053797716
3	2	2	2.8431409701772723
3	2	3	1.4784333044921816
3	0	0	7.638572073209605
3	0	3	1.6427036716579795
3	3	0	3.121136976150161
4	3	1	8.459923909038595
4	2	0	4.400099120512445
4	2	1	6.570814686631918
4	1	3	1.5058116990198147
4	1	1	4.752107050153442
4	0	0	7.802842440375403
4	0	3	1.2320277537434847
4	2	2	2.6400594723074673
4	1	0	10.595438682193969
4	2	3	1.3860312229614202
4	0	2	3.0116233980396294
4	3	3	3.696083261230454
4	0	1	6.864154627999414
4	3	2	2.0533795895724745
4	3	0	4.032090830433223
4	1	2	2.0533795895724745
5	1	2	2.0533795895724745
5	3	0	4.032090830433223
5	0	0	7.802842440375403
5	3	1	8.459923909038595
5	2	3	1.3860312229614202
5	3	2	2.0533795895724745
5	0	1	6.864154627999414
5	1	3	1.5058116990198147
5	3	3	3.696083261230454
5	2	2	2.6400594723074673
5	1	1	4.752107050153442
5	1	0	10.595438682193969
5	0	3	1.2320277537434847
5	2	0	4.400099120512445
5	0	2	3.0116233980396294
5	2	1	6.570814686631918
6	1	3	1.5058116990198147
6	0	3	1.2320277537434847
6	3	3	3.696083261230454
6	3	0	4.032090830433223
6	0	2	3.0116233980396294
6	2	1	6.570814686631918
6	2	0	4.400099120512445
6	3	2	2.0533795895724745
6	0	1	6.864154627999414
6	3	1	8.459923909038595
6	0	0	7.802842440375403
6	2	2	2.6400594723074673
6	1	0	10.595438682193969
6	1	2	2.0533795895724745
6	1	1	4.752107050153442
6	2	3	1.3860312229614202
7	0	3	1.2320277537434847
7	2	0	4.400099120512445
7	2	2	2.6400594723074673
7	3	3	3.696083261230454
7	1	2	2.0533795895724745
7	0	0	7.802842440375403
7	1	1	4.752107050153442
7	0	2	3.0116233980396294
7	3	2	2.0533795895724745
7	2	1	6.570814686631918
7	1	0	10.595438682193969
7	1	3	1.5058116990198147
7	2	3	1.3860312229614202
7	0	1	6.864154627999414
7	3	1	8.459923909038595
7	3	0	4.032090830433223
8	2	0	4.136093173281699
8	3	0	1.936043613025476
8	3	2	1.848041630615227
8	3	1	4.576103085332943
8	0	2	2.6400594723074673
8	1	1	4.2240951556919475
8	1	2	2.361386528008346
8	1	3	1.6427036716579795
8	1	0	11.909601619520352
8	0	3	1.2320277537434847
8	2	2	3.2560733491792098
8	2	3	1.2320277537434847
8	0	1	6.899355420963514
8	0	0	8.788464643370192
8	3	3	3.9424888119791515
8	2	1	2.7720624459228405
9	3	0	1.936043613025476
9	0	3	1.2320277537434847
9	2	2	3.2560733491792098
9	2	0	4.136093173281699
9	0	1	6.899355420963514
9	3	1	4.576103085332943
9	1	0	11.909601619520352
9	2	1	2.7720624459228405
9	0	0	8.788464643370192
9	2	3	1.2320277537434847
9	0	2	2.6400594723074673
9	1	3	1.6427036716579795
9	3	2	1.848041630615227
9	3	3	3.9424888119791515
9	1	1	4.2240951556919475
9	1	2	2.361386528008346
10	2	0	4.136093173281699
10	2	1	2.7720624459228405
10	1	3	1.6427036716579795
10	2	2	3.2560733491792098
10	1	2	2.361386528008346
10	1	1	4.2240951556919475
10	2	3	1.2320277537434847
10	1	0	11.909601619520352
10	0	3	1.2320277537434847
10	3	3	3.9424888119791515
10	3	0	1.936043613025476
10	3	2	1.848041630615227
10	0	2	2.6400594723074673
10	3	1	4.576103085332943
10	0	0	8.788464643370192
10	0	1	6.899355420963514
11	3	0	1.936043613025476
11	2	1	2.7720624459228405
11	2	0	4.136093173281699
11	1	3	1.6427036716579795
11	1	1	4.2240951556919475
11	3	2	1.848041630615227
11	2	2	3.2560733491792098
11	1	2	2.361386528008346
11	0	3	1.2320277537434847
11	0	1	6.899355420963514
11	1	0	11.909601619520352
11	3	1	4.576103085332943
11	2	3	1.2320277537434847
11	0	2	2.6400594723074673
11	3	3	3.9424888119791515
11	0	0	8.788464643370192
12	2	1	2.6400594723074673
12	0	3	1.2320277537434847
12	1	3	1.6427036716579795
12	2	0	3.8603536283962523
12	0	2	2.8431409701772723
12	1	2	2.369284141814394
12	3	1	4.169940089593333
12	1	1	5.456122909435432
12	3	2	1.936043613025476
12	3	0	3.0116233980396294
12	3	3	3.411769164212727
12	0	1	11.33465533444006
12	0	0	12.89522382251514
12	2	2	5.503057300054232
12	1	0	12.566683088183543
12	2	3	1.6427036716579795
13	1	2	2.369284141814394
13	0	3	1.2320277537434847
13	2	1	2.6400594723074673
13	1	0	12.566683088183543
13	0	2	2.8431409701772723
13	3	2	1.936043613025476
13	1	1	5.456122909435432
13	0	1	11.33465533444006
13	2	0	3.8603536283962523
13	3	3	3.411769164212727
13	2	2	5.503057300054232
13	0	0	12.89522382251514
13	3	1	4.169940089593333
13	2	3	1.6427036716579795
13	1	3	1.6427036716579795
13	3	0	3.0116233980396294
14	2	1	2.6400594723074673
14	0	2	2.8431409701772723
14	3	2	1.936043613025476
14	2	0	3.8603536283962523
14	1	3	1.6427036716579795
14	1	0	12.566683088183543
14	0	1	11.33465533444006
14	2	2	5.503057300054232
14	3	1	4.169940089593333
14	1	2	2.369284141814394
14	0	3	1.2320277537434847
14	1	1	5.456122909435432
14	3	3	3.411769164212727
14	0	0	12.89522382251514
14	2	3	1.6427036716579795
14	3	0	3.0116233980396294
15	0	1	11.33465533444006
15	3	3	3.411769164212727
15	1	0	12.566683088183543
15	2	3	1.6427036716579795
15	2	2	5.503057300054232
15	2	1	2.6400594723074673
15	3	0	3.0116233980396294
15	3	2	1.936043613025476
15	0	3	1.2320277537434847
15	2	0	3.8603536283962523
15	3	1	4.169940089593333
15	1	2	2.369284141814394
15	1	1	5.456122909435432
15	0	0	12.89522382251514
15	1	3	1.6427036716579795
15	0	2	2.8431409701772723
16	0	1	12.648818271766444
16	0	2	3.080069384358712
16	0	3	1.3689197263816497
16	1	1	7.556436889626707
16	3	2	1.4784333044921816
16	3	1	3.2032721597330602
16	2	0	4.188894362727848
16	0	0	10.841844232942666
16	1	2	2.376053525076721
16	1	0	14.127251576258624
16	2	1	3.2560733491792098
16	3	3	3.285407343315959
16	2	3	1.4373657127007322
16	2	2	4.752107050153442
16	1	3	1.5058116990198147
16	3	0	2.6400594723074673
17	0	3	1.3689197263816497
17	1	0	14.127251576258624
17	2	1	3.2560733491792098
17	3	2	1.4784333044921816
17	1	3	1.5058116990198147
17	3	1	3.2032721597330602
17	2	3	1.4373657127007322
17	2	0	4.188894362727848
17	3	3	3.285407343315959
17	3	0	2.6400594723074673
17	2	2	4.752107050153442
17	0	0	10.841844232942666
17	1	2	2.376053525076721
17	1	1	7.556436889626707
17	0	1	12.648818271766444
17	0	2	3.080069384358712
18	0	3	1.3689197263816497
18	3	3	3.285407343315959
18	2	3	1.4373657127007322
18	1	2	2.376053525076721
18	3	2	1.4784333044921816
18	1	1	7.556436889626707
18	1	0	14.127251576258624
18	2	2	4.752107050153442
18	2	0	4.188894362727848
18	0	2	3.080069384358712
18	0	0	10.841844232942666
18	3	1	3.2032721597330602
18	0	1	12.648818271766444
18	1	3	1.5058116990198147
18	2	1	3.2560733491792098
18	3	0	2.6400594723074673
19	0	2	3.080069384358712
