T	Origin	Destination	Count
0	0	0	2.4314996862581055
0	1	1	1.6390108996258337
0	1	2	8.270701155034978
0	1	3	1.8567815785970987
0	2	0	0.7564665690580772
0	2	1	1.16908469763521
0	2	2	3.2004354844764804
0	2	3	1.5129331381161544
0	3	0	0.7564665690580772
0	3	1	0.7564665690580772
0	3	2	0.7564665690580772
0	3	3	0.9455832113225965
0	0	2	3.681470636082642
0	1	0	0.7564665690580772
0	0	1	1.9668130795510008
0	0	3	1.5129331381161544
1	2	1	1.16908469763521
1	3	1	0.7564665690580772
1	3	0	0.7564665690580772
1	2	3	1.5129331381161544
1	2	2	3.2004354844764804
1	2	0	0.7564665690580772
1	3	2	0.7564665690580772
1	1	3	1.8567815785970987
1	1	1	1.6390108996258337
1	1	0	0.7564665690580772
1	0	3	1.5129331381161544
1	0	2	3.681470636082642
1	0	1	1.9668130795510008
1	0	0	2.4314996862581055
1	1	2	8.270701155034978
1	3	3	0.9455832113225965
2	3	3	0.9455832113225965
2	3	2	0.7564665690580772
2	0	1	1.9668130795510008
2	3	1	0.7564665690580772
2	0	0	2.4314996862581055
2	3	0	0.7564665690580772
2	2	3	1.5129331381161544
2	2	2	3.2004354844764804
2	2	1	1.16908469763521
2	2	0	0.7564665690580772
2	1	3	1.8567815785970987
2	1	2	8.270701155034978
2	1	1	1.6390108996258337
2	1	0	0.7564665690580772
2	0	3	1.5129331381161544
2	0	2	3.681470636082642
3	3	0	0.7564665690580772
3	2	1	1.16908469763521
3	2	3	1.5129331381161544
3	2	2	3.2004354844764804
3	3	1	0.7564665690580772
3	2	0	0.7564665690580772
3	0	1	1.9668130795510008
3	1	2	8.270701155034978
3	1	1	1.6390108996258337
3	1	0	0.7564665690580772
3	0	3	1.5129331381161544
3	3	3	0.9455832113225965
3	0	0	2.4314996862581055
3	1	3	1.8567815785970987
3	0	2	3.681470636082642
3	3	2	0.7564665690580772
4	0	1	1.4288812971097011
4	2	1	1.1346998535871158
4	2	3	1.1887331799484069
4	3	0	0.7564665690580772
4	2	0	0.7564665690580772
4	1	2	5.511399288851705
4	3	3	1.1346998535871158
4	1	1	1.3238164958516352
4	0	2	1.650472514308532
4	1	3	1.6642264519277699
4	2	2	2.6767278597439654
4	0	0	2.4855330126193964
4	0	3	0.8510248901903368
5	1	1	1.3238164958516352
5	2	1	1.1346998535871158
5	2	2	2.6767278597439654
5	2	3	1.1887331799484069
5	2	0	0.7564665690580772
5	3	0	0.7564665690580772
5	1	3	1.6642264519277699
5	1	2	5.511399288851705
5	0	0	2.4855330126193964
5	3	3	1.1346998535871158
5	0	1	1.4288812971097011
5	0	3	0.8510248901903368
5	0	2	1.650472514308532
6	1	3	1.6642264519277699
6	0	1	1.4288812971097011
6	0	2	1.650472514308532
6	3	3	1.1346998535871158
6	0	3	0.8510248901903368
6	2	3	1.1887331799484069
6	3	0	0.7564665690580772
6	1	1	1.3238164958516352
6	0	0	2.4855330126193964
6	2	0	0.7564665690580772
6	1	2	5.511399288851705
6	2	2	2.6767278597439654
6	2	1	1.1346998535871158
7	0	2	1.650472514308532
7	1	2	5.511399288851705
7	2	0	0.7564665690580772
7	2	2	2.6767278597439654
7	1	1	1.3238164958516352
7	1	3	1.6642264519277699
7	0	3	0.8510248901903368
7	2	1	1.1346998535871158
7	0	1	1.4288812971097011
7	2	3	1.1887331799484069
7	0	0	2.4855330126193964
7	3	0	0.7564665690580772
7	3	3	1.1346998535871158
8	2	1	0.7564665690580772
8	2	0	0.7564665690580772
8	2	3	0.9077598828696926
8	3	0	0.7564665690580772
8	3	1	0.7564665690580772
