T	Origin	Destination	Count
0	0	0	0.15277144146419214
0	1	1	0.10349033131445273
0	2	0	0.08800198241024892
0	2	1	0.13470170107595436
0	2	2	0.056862819403545456
0	2	3	0.029568666089843636
0	3	0	0.062422739523003236
0	3	1	0.20698066262890547
0	3	2	0.0246405550748697
0	3	3	0.06570814686631919
0	1	0	0.2053379589572475
0	0	3	0.032854073433159596
0	1	3	0.031211369761501618
0	0	2	0.09152206170665889
0	1	2	0.0246405550748697
0	0	1	0.1330589974042964
1	3	2	0.0246405550748697
1	3	1	0.20698066262890547
1	3	0	0.062422739523003236
1	2	2	0.056862819403545456
1	2	1	0.13470170107595436
1	2	0	0.08800198241024892
1	3	3	0.06570814686631919
1	2	3	0.029568666089843636
1	1	1	0.10349033131445273
1	1	0	0.2053379589572475
1	0	3	0.032854073433159596
1	0	2	0.09152206170665889
1	0	1	0.1330589974042964
1	0	0	0.15277144146419214
1	1	2	0.0246405550748697
1	1	3	0.031211369761501618
2	3	3	0.06570814686631919
2	0	2	0.09152206170665889
2	3	2	0.0246405550748697
2	3	1	0.20698066262890547
2	3	0	0.062422739523003236
2	0	0	0.15277144146419214
2	2	2	0.056862819403545456
2	2	1	0.13470170107595436
2	2	0	0.08800198241024892
2	1	3	0.031211369761501618
2	2	3	0.029568666089843636
2	1	2	0.0246405550748697
2	0	3	0.032854073433159596
2	1	0	0.2053379589572475
2	1	1	0.10349033131445273
2	0	1	0.1330589974042964
3	0	2	0.09152206170665889
3	0	1	0.1330589974042964
3	3	2	0.0246405550748697
3	3	3	0.06570814686631919
3	3	1	0.20698066262890547
3	1	0	0.2053379589572475
3	1	1	0.10349033131445273
3	1	2	0.0246405550748697
3	1	3	0.031211369761501618
3	2	0	0.08800198241024892
3	2	1	0.13470170107595436
3	2	2	0.056862819403545456
3	2	3	0.029568666089843636
3	0	0	0.15277144146419214
3	0	3	0.032854073433159596
3	3	0	0.062422739523003236
4	3	1	0.1691984781807719
4	2	0	0.08800198241024892
4	2	1	0.13141629373263838
4	1	3	0.0301162339803963
4	1	1	0.09504214100306885
4	0	0	0.1560568488075081
4	0	3	0.0246405550748697
4	2	2	0.05280118944614935
4	1	0	0.2119087736438794
4	2	3	0.02772062445922841
4	0	2	0.0602324679607926
4	3	3	0.07392166522460909
4	0	1	0.13728309255998833
4	3	2	0.0410675917914495
4	3	0	0.08064181660866447
4	1	2	0.0410675917914495
5	1	2	0.0410675917914495
5	3	0	0.08064181660866447
5	0	0	0.1560568488075081
5	3	1	0.1691984781807719
5	2	3	0.02772062445922841
5	3	2	0.0410675917914495
5	0	1	0.13728309255998833
5	1	3	0.0301162339803963
5	3	3	0.07392166522460909
5	2	2	0.05280118944614935
5	1	1	0.09504214100306885
5	1	0	0.2119087736438794
5	0	3	0.0246405550748697
5	2	0	0.08800198241024892
5	0	2	0.0602324679607926
5	2	1	0.13141629373263838
6	1	3	0.0301162339803963
6	0	3	0.0246405550748697
6	3	3	0.07392166522460909
6	3	0	0.08064181660866447
6	0	2	0.0602324679607926
6	2	1	0.13141629373263838
6	2	0	0.08800198241024892
6	3	2	0.0410675917914495
6	0	1	0.13728309255998833
6	3	1	0.1691984781807719
6	0	0	0.1560568488075081
6	2	2	0.05280118944614935
6	1	0	0.2119087736438794
6	1	2	0.0410675917914495
6	1	1	0.09504214100306885
6	2	3	0.02772062445922841
7	0	3	0.0246405550748697
7	2	0	0.08800198241024892
7	2	2	0.05280118944614935
7	3	3	0.07392166522460909
7	1	2	0.0410675917914495
7	0	0	0.1560568488075081
7	1	1	0.09504214100306885
7	0	2	0.0602324679607926
7	3	2	0.0410675917914495
7	2	1	0.13141629373263838
7	1	0	0.2119087736438794
7	1	3	0.0301162339803963
7	2	3	0.02772062445922841
7	0	1	0.13728309255998833
7	3	1	0.1691984781807719
7	3	0	0.08064181660866447
8	2	0	0.082721863465634
8	3	0	0.03872087226050953
8	3	2	0.036960832612304546
8	3	1	0.09152206170665889
8	0	2	0.05280118944614935
8	1	1	0.08448190311383896
8	1	2	0.04722773056016693
8	1	3	0.032854073433159596
8	1	0	0.23819203239040707
8	0	3	0.0246405550748697
8	2	2	0.0651214669835842
8	2	3	0.0246405550748697
8	0	1	0.1379871084192703
8	0	0	0.17576929286740386
8	3	3	0.07884977623958304
8	2	1	0.05544124891845682
9	3	0	0.03872087226050953
9	0	3	0.0246405550748697
9	2	2	0.0651214669835842
9	2	0	0.082721863465634
9	0	1	0.1379871084192703
9	3	1	0.09152206170665889
9	1	0	0.23819203239040707
9	2	1	0.05544124891845682
9	0	0	0.17576929286740386
9	2	3	0.0246405550748697
9	0	2	0.05280118944614935
9	1	3	0.032854073433159596
9	3	2	0.036960832612304546
9	3	3	0.07884977623958304
9	1	1	0.08448190311383896
9	1	2	0.04722773056016693
10	2	0	0.082721863465634
10	2	1	0.05544124891845682
10	1	3	0.032854073433159596
10	2	2	0.0651214669835842
10	1	2	0.04722773056016693
10	1	1	0.08448190311383896
10	2	3	0.0246405550748697
10	1	0	0.23819203239040707
10	0	3	0.0246405550748697
10	3	3	0.07884977623958304
10	3	0	0.03872087226050953
10	3	2	0.036960832612304546
10	0	2	0.05280118944614935
10	3	1	0.09152206170665889
10	0	0	0.17576929286740386
10	0	1	0.1379871084192703
11	3	0	0.03872087226050953
11	2	1	0.05544124891845682
11	2	0	0.082721863465634
11	1	3	0.032854073433159596
11	1	1	0.08448190311383896
11	3	2	0.036960832612304546
11	2	2	0.0651214669835842
11	1	2	0.04722773056016693
11	0	3	0.0246405550748697
11	0	1	0.1379871084192703
11	1	0	0.23819203239040707
11	3	1	0.09152206170665889
11	2	3	0.0246405550748697
11	0	2	0.05280118944614935
11	3	3	0.07884977623958304
11	0	0	0.17576929286740386
12	2	1	0.05280118944614935
12	0	3	0.0246405550748697
12	1	3	0.032854073433159596
12	2	0	0.07720707256792506
12	0	2	0.056862819403545456
12	1	2	0.04738568283628789
12	3	1	0.08339880179186668
12	1	1	0.10912245818870867
12	3	2	0.03872087226050953
12	3	0	0.0602324679607926
12	3	3	0.06823538328425455
12	0	1	0.22669310668880122
12	0	0	0.25790447645030284
12	2	2	0.11006114600108466
12	1	0	0.2513336617636709
12	2	3	0.032854073433159596
13	1	2	0.04738568283628789
13	0	3	0.0246405550748697
13	2	1	0.05280118944614935
13	1	0	0.2513336617636709
13	0	2	0.056862819403545456
13	3	2	0.03872087226050953
13	1	1	0.10912245818870867
13	0	1	0.22669310668880122
13	2	0	0.07720707256792506
13	3	3	0.06823538328425455
13	2	2	0.11006114600108466
13	0	0	0.25790447645030284
13	3	1	0.08339880179186668
13	2	3	0.032854073433159596
13	1	3	0.032854073433159596
13	3	0	0.0602324679607926
14	2	1	0.05280118944614935
14	0	2	0.056862819403545456
14	3	2	0.03872087226050953
14	2	0	0.07720707256792506
14	1	3	0.032854073433159596
14	1	0	0.2513336617636709
14	0	1	0.22669310668880122
14	2	2	0.11006114600108466
14	3	1	0.08339880179186668
14	1	2	0.04738568283628789
14	0	3	0.0246405550748697
14	1	1	0.10912245818870867
14	3	3	0.06823538328425455
14	0	0	0.25790447645030284
14	2	3	0.032854073433159596
14	3	0	0.0602324679607926
15	0	1	0.22669310668880122
15	3	3	0.06823538328425455
15	1	0	0.2513336617636709
15	2	3	0.032854073433159596
15	2	2	0.11006114600108466
15	2	1	0.05280118944614935
15	3	0	0.0602324679607926
15	3	2	0.03872087226050953
15	0	3	0.0246405550748697
15	2	0	0.07720707256792506
15	3	1	0.08339880179186668
15	1	2	0.04738568283628789
15	1	1	0.10912245818870867
15	0	0	0.25790447645030284
15	1	3	0.032854073433159596
15	0	2	0.056862819403545456
16	0	1	0.2529763654353289
16	0	2	0.06160138768717425
16	0	3	0.027378394527633
16	1	1	0.15112873779253416
16	3	2	0.029568666089843636
16	3	1	0.06406544319466122
16	2	0	0.08377788725455697
16	0	0	0.21683688465885337
16	1	2	0.047521070501534424
16	1	0	0.2825450315251726
16	2	1	0.0651214669835842
16	3	3	0.06570814686631919
16	2	3	0.02874731425401465
16	2	2	0.09504214100306885
16	1	3	0.0301162339803963
16	3	0	0.05280118944614935
17	0	3	0.027378394527633
17	1	0	0.2825450315251726
17	2	1	0.0651214669835842
17	3	2	0.029568666089843636
17	1	3	0.0301162339803963
17	3	1	0.06406544319466122
17	2	3	0.02874731425401465
17	2	0	0.08377788725455697
17	3	3	0.06570814686631919
17	3	0	0.05280118944614935
17	2	2	0.09504214100306885
17	0	0	0.21683688465885337
17	1	2	0.047521070501534424
17	1	1	0.15112873779253416
17	0	1	0.2529763654353289
17	0	2	0.06160138768717425
18	0	3	0.027378394527633
18	3	3	0.06570814686631919
18	2	3	0.02874731425401465
18	1	2	0.047521070501534424
18	3	2	0.029568666089843636
18	1	1	0.15112873779253416
18	1	0	0.2825450315251726
18	2	2	0.09504214100306885
18	2	0	0.08377788725455697
18	0	2	0.06160138768717425
18	0	0	0.21683688465885337
18	3	1	0.06406544319466122
18	0	1	0.2529763654353289
18	1	3	0.0301162339803963
18	2	1	0.0651214669835842
18	3	0	0.05280118944614935
19	0	2	0.06160138768717425
19	2	3	0.02874731425401465
19	0	1	0.2529763654353289
19	3	3	0.06570814686631919
19	1	1	0.15112873779253416
19	2	2	0.09504214100306885
19	3	0	0.05280118944614935
