T	Origin	Destination	Count
0	0	0	0.6033747547416612
0	1	1	0.7071811641595814
0	2	0	0.3475661029617864
0	2	1	2.063152387181164
0	2	2	0.22458117422146198
0	2	3	0.11678221059516022
0	3	0	0.24654022236756049
0	3	1	1.1353826030085021
0	3	2	0.0973185088293002
0	3	3	0.2595160235448005
0	1	0	0.3568345323741007
0	0	3	0.12975801177240026
0	1	3	0.0973185088293002
0	0	2	0.3614687470802579
0	1	2	0.14057117942010028
0	0	1	0.4087377370830608
1	3	2	0.0973185088293002
1	3	1	1.1353826030085021
1	3	0	0.24654022236756049
1	2	2	0.22458117422146198
1	2	1	2.063152387181164
1	2	0	0.3475661029617864
1	3	3	0.2595160235448005
1	2	3	0.11678221059516022
1	1	1	0.7071811641595814
1	1	0	0.3568345323741007
1	0	3	0.12975801177240026
1	0	2	0.3614687470802579
1	0	1	0.4087377370830608
1	0	0	0.6033747547416612
1	1	2	0.14057117942010028
1	1	3	0.0973185088293002
2	3	3	0.2595160235448005
2	0	2	0.3614687470802579
2	3	2	0.0973185088293002
2	3	1	1.1353826030085021
2	3	0	0.24654022236756049
2	0	0	0.6033747547416612
2	2	2	0.22458117422146198
2	2	1	2.063152387181164
2	2	0	0.3475661029617864
2	1	3	0.0973185088293002
2	2	3	0.11678221059516022
2	1	2	0.14057117942010028
2	0	3	0.12975801177240026
2	1	0	0.3568345323741007
2	1	1	0.7071811641595814
2	0	1	0.4087377370830608
3	0	2	0.3614687470802579
3	0	1	0.4087377370830608
3	3	2	0.0973185088293002
3	3	3	0.2595160235448005
3	3	1	1.1353826030085021
3	1	0	0.3568345323741007
3	1	1	0.7071811641595814
3	1	2	0.14057117942010028
3	1	3	0.0973185088293002
3	2	0	0.3475661029617864
3	2	1	2.063152387181164
3	2	2	0.22458117422146198
3	2	3	0.11678221059516022
3	0	0	0.6033747547416612
3	0	3	0.12975801177240026
3	3	0	0.24654022236756049
4	3	1	0.8758665794637017
4	2	0	0.3475661029617864
4	2	1	1.388410725964683
4	1	3	0.11122115294777164
4	1	1	0.5449836494440811
4	0	0	0.6163505559189012
4	0	3	0.0973185088293002
4	2	2	0.20853966177707184
4	1	0	0.3614687470802579
4	2	3	0.10948332243296272
4	0	2	0.2378896882494005
4	3	3	0.2919555264879006
4	0	1	0.27897972531066056
4	3	2	0.16219751471550034
4	3	0	0.3184969379868007
4	1	2	0.10705035971223023
5	1	2	0.10705035971223023
5	3	0	0.3184969379868007
5	0	0	0.6163505559189012
5	3	1	0.8758665794637017
5	2	3	0.10948332243296272
5	3	2	0.16219751471550034
5	0	1	0.27897972531066056
5	1	3	0.11122115294777164
5	3	3	0.2919555264879006
5	2	2	0.20853966177707184
5	1	1	0.5449836494440811
5	1	0	0.3614687470802579
5	0	3	0.0973185088293002
5	2	0	0.3475661029617864
5	0	2	0.2378896882494005
5	2	1	1.388410725964683
6	1	3	0.11122115294777164
6	0	3	0.0973185088293002
6	3	3	0.2919555264879006
6	3	0	0.3184969379868007
6	0	2	0.2378896882494005
6	2	1	1.388410725964683
6	2	0	0.3475661029617864
6	3	2	0.16219751471550034
6	0	1	0.27897972531066056
6	3	1	0.8758665794637017
6	0	0	0.6163505559189012
6	2	2	0.20853966177707184
6	1	0	0.3614687470802579
6	1	2	0.10705035971223023
6	1	1	0.5449836494440811
6	2	3	0.10948332243296272
7	0	3	0.0973185088293002
7	2	0	0.3475661029617864
7	2	2	0.20853966177707184
7	3	3	0.2919555264879006
7	1	2	0.10705035971223023
7	0	0	0.6163505559189012
7	1	1	0.5449836494440811
7	0	2	0.2378896882494005
7	3	2	0.16219751471550034
7	2	1	1.388410725964683
7	1	0	0.3614687470802579
7	1	3	0.11122115294777164
7	2	3	0.10948332243296272
7	0	1	0.27897972531066056
7	3	1	0.8758665794637017
7	3	0	0.3184969379868007
8	2	0	0.32671213678407923
8	3	0	0.15292908530318602
8	3	2	0.1459777632439503
8	3	1	0.6487900588620014
8	0	2	0.20853966177707184
8	1	1	0.5839110529758011
8	1	2	0.17301068236320033
8	1	3	0.21896664486592543
8	1	0	0.43098196767261515
8	0	3	0.0973185088293002
8	2	2	0.2571989161917219
8	2	3	0.0973185088293002
8	0	1	0.3892740353172008
8	0	0	0.6942053629823415
8	3	3	0.31141922825376067
8	2	1	0.8174754741661217
9	3	0	0.15292908530318602
9	0	3	0.0973185088293002
9	2	2	0.2571989161917219
9	2	0	0.32671213678407923
9	0	1	0.3892740353172008
9	3	1	0.6487900588620014
9	1	0	0.43098196767261515
9	2	1	0.8174754741661217
9	0	0	0.6942053629823415
