T	Origin	Destination	Count
0	0	0	0.14867083380069138
0	1	1	0.10021515463602157
0	1	2	0.5057010880094628
0	1	3	0.11353045490234613
0	2	0	0.04625314829354842
0	2	1	0.07148213827184756
0	2	2	0.19568639662655102
0	2	3	0.09250629658709685
0	3	0	0.04625314829354842
0	3	1	0.04625314829354842
0	3	2	0.04625314829354842
0	3	3	0.05781643536693553
0	0	2	0.2250986550286023
0	1	0	0.04625314829354842
0	0	1	0.1202581855632259
0	0	3	0.09250629658709685
1	2	1	0.07148213827184756
1	3	1	0.04625314829354842
1	3	0	0.04625314829354842
1	2	3	0.09250629658709685
1	2	2	0.19568639662655102
1	2	0	0.04625314829354842
1	3	2	0.04625314829354842
1	1	3	0.11353045490234613
1	1	1	0.10021515463602157
1	1	0	0.04625314829354842
1	0	3	0.09250629658709685
1	0	2	0.2250986550286023
1	0	1	0.1202581855632259
1	0	0	0.14867083380069138
1	1	2	0.5057010880094628
1	3	3	0.05781643536693553
2	3	3	0.05781643536693553
2	3	2	0.04625314829354842
2	0	1	0.1202581855632259
2	3	1	0.04625314829354842
2	0	0	0.14867083380069138
2	3	0	0.04625314829354842
2	2	3	0.09250629658709685
2	2	2	0.19568639662655102
2	2	1	0.07148213827184756
2	2	0	0.04625314829354842
2	1	3	0.11353045490234613
2	1	2	0.5057010880094628
2	1	1	0.10021515463602157
2	1	0	0.04625314829354842
2	0	3	0.09250629658709685
2	0	2	0.2250986550286023
3	3	0	0.04625314829354842
3	2	1	0.07148213827184756
3	2	3	0.09250629658709685
3	2	2	0.19568639662655102
3	3	1	0.04625314829354842
3	2	0	0.04625314829354842
3	0	1	0.1202581855632259
3	1	2	0.5057010880094628
3	1	1	0.10021515463602157
3	1	0	0.04625314829354842
3	0	3	0.09250629658709685
3	3	3	0.05781643536693553
3	0	0	0.14867083380069138
3	1	3	0.11353045490234613
3	0	2	0.2250986550286023
3	3	2	0.04625314829354842
4	0	1	0.08736705788781368
4	2	1	0.06937972244032263
4	2	3	0.07268351874700467
4	3	0	0.04625314829354842
4	2	0	0.04625314829354842
4	1	2	0.33698722328156705
4	3	3	0.06937972244032263
4	1	1	0.08094300951370974
4	0	2	0.10091595991319655
4	1	3	0.10175692624580654
4	2	2	0.16366498626947903
4	0	0	0.1519746301073734
4	0	3	0.052034791830241976
5	1	1	0.08094300951370974
5	2	1	0.06937972244032263
5	2	2	0.16366498626947903
5	2	3	0.07268351874700467
5	2	0	0.04625314829354842
5	3	0	0.04625314829354842
5	1	3	0.10175692624580654
5	1	2	0.33698722328156705
5	0	0	0.1519746301073734
5	3	3	0.06937972244032263
5	0	1	0.08736705788781368
5	0	3	0.052034791830241976
5	0	2	0.10091595991319655
6	1	3	0.10175692624580654
6	0	1	0.08736705788781368
6	0	2	0.10091595991319655
6	3	3	0.06937972244032263
6	0	3	0.052034791830241976
6	2	3	0.07268351874700467
6	3	0	0.04625314829354842
6	1	1	0.08094300951370974
6	0	0	0.1519746301073734
6	2	0	0.04625314829354842
6	1	2	0.33698722328156705
6	2	2	0.16366498626947903
6	2	1	0.06937972244032263
7	0	2	0.10091595991319655
7	1	2	0.33698722328156705
7	2	0	0.04625314829354842
7	2	2	0.16366498626947903
7	1	1	0.08094300951370974
7	1	3	0.10175692624580654
7	0	3	0.052034791830241976
7	2	1	0.06937972244032263
7	0	1	0.08736705788781368
7	2	3	0.07268351874700467
7	0	0	0.1519746301073734
7	3	0	0.04625314829354842
7	3	3	0.06937972244032263
8	2	1	0.04625314829354842
8	2	0	0.04625314829354842
8	2	3	0.0555037779522581
8	3	0	0.04625314829354842
8	3	1	0.04625314829354842
8	1	3	0.0555037779522581
8	3	3	0.04625314829354842
8	0	1	0.04625314829354842
8	1	2	0.20043030927204314
8	2	2	0.1321518522672812
8	0	2	0.0660759261336406
8	3	2	0.04625314829354842
8	0	3	0.05781643536693553
8	1	0	0.04625314829354842
8	1	1	0.05946833352027655
8	0	0	0.23456953777442413
9	2	2	0.1321518522672812
9	0	2	0.0660759261336406
9	2	1	0.04625314829354842
9	0	3	0.05781643536693553
9	0	1	0.04625314829354842
9	0	0	0.23456953777442413
9	3	3	0.04625314829354842
9	3	2	0.04625314829354842
9	1	2	0.20043030927204314
9	1	0	0.04625314829354842
9	1	3	0.0555037779522581
9	3	0	0.04625314829354842
9	1	1	0.05946833352027655
9	2	3	0.0555037779522581
9	3	1	0.04625314829354842
9	2	0	0.04625314829354842
10	0	2	0.0660759261336406
10	0	3	0.05781643536693553
10	0	1	0.04625314829354842
10	2	1	0.04625314829354842
10	1	2	0.20043030927204314
10	1	3	0.0555037779522581
10	3	3	0.04625314829354842
10	2	0	0.04625314829354842
10	3	2	0.04625314829354842
10	3	1	0.04625314829354842
10	2	2	0.1321518522672812
10	3	0	0.04625314829354842
10	2	3	0.0555037779522581
10	1	1	0.05946833352027655
10	0	0	0.23456953777442413
10	1	0	0.04625314829354842
11	2	1	0.04625314829354842
11	3	1	0.04625314829354842
11	1	2	0.20043030927204314
11	2	3	0.0555037779522581
11	3	2	0.04625314829354842
11	0	1	0.04625314829354842
11	3	3	0.04625314829354842
11	2	2	0.1321518522672812
11	0	0	0.23456953777442413
