T	Origin	Destination	Count
35	0	0	40.0
35	0	1	5.0
35	0	2	5.0
35	1	0	40.0
35	1	1	5.0
35	1	2	5.0
35	2	0	400.0
35	2	1	50.0
35	2	2	50.0
34	0	0	40.0
34	0	1	5.0
34	0	2	5.0
34	1	0	40.0
34	1	1	5.0
34	1	2	5.0
34	2	0	400.0
34	2	1	50.0
34	2	2	50.0
33	0	0	40.0
33	0	1	5.0
33	0	2	5.0
33	1	0	40.0
33	1	1	5.0
33	1	2	5.0
33	2	0	400.0
33	2	1	50.0
33	2	2	50.0
32	0	0	40.0
32	0	1	5.0
32	0	2	5.0
32	1	0	40.0
32	1	1	5.0
32	1	2	5.0
32	2	0	400.0
32	2	1	50.0
32	2	2	50.0
31	0	0	40.0
31	0	1	5.0
31	0	2	5.0
31	1	0	40.0
31	1	1	5.0
31	1	2	5.0
31	2	0	400.0
31	2	1	50.0
31	2	2	50.0
30	0	0	40.0
30	0	1	5.0
30	0	2	5.0
30	1	0	40.0
30	1	1	5.0
30	1	2	5.0
30	2	0	400.0
30	2	1	50.0
30	2	2	50.0
29	0	0	40.0
29	0	1	5.0
29	0	2	5.0
29	1	0	40.0
29	1	1	5.0
29	1	2	5.0
29	2	0	400.0
29	2	1	50.0
29	2	2	50.0
28	0	0	40.0
28	0	1	5.0
28	0	2	5.0
28	1	0	40.0
28	1	1	5.0
28	1	2	5.0
28	2	0	400.0
28	2	1	50.0
28	2	2	50.0
27	0	0	40.0
27	0	1	5.0
27	0	2	5.0
27	1	0	40.0
27	1	1	5.0
27	1	2	5.0
27	2	0	400.0
27	2	1	50.0
27	2	2	50.0
26	0	0	40.0
26	0	1	5.0
26	0	2	5.0
26	1	0	40.0
26	1	1	5.0
26	1	2	5.0
26	2	0	400.0
26	2	1	50.0
26	2	2	50.0
25	0	0	40.0
25	0	1	5.0
25	0	2	5.0
25	1	0	40.0
25	1	1	5.0
25	1	2	5.0
25	2	0	400.0
25	2	1	50.0
25	2	2	50.0
24	0	0	40.0
24	0	1	5.0
24	0	2	5.0
24	1	0	40.0
24	1	1	5.0
24	1	2	5.0
24	2	0	400.0
24	2	1	50.0
24	2	2	50.0
23	0	0	20.0
23	0	1	160.0
23	0	2	20.0
23	1	0	15.0
23	1	1	120.0
23	1	2	15.0
23	2	0	15.0
23	2	1	120.0
23	2	2	15.0
22	0	0	20.0
22	0	1	160.0
22	0	2	20.0
22	1	0	15.0
22	1	1	120.0
22	1	2	15.0
22	2	0	15.0
22	2	1	120.0
22	2	2	15.0
21	0	0	20.0
21	0	1	160.0
21	0	2	20.0
21	1	0	15.0
21	1	1	120.0
21	1	2	15.0
21	2	0	15.0
21	2	1	120.0
21	2	2	15.0
20	0	0	20.0
20	0	1	160.0
20	0	2	20.0
20	1	0	15.0
20	1	1	120.0
20	1	2	15.0
20	2	0	15.0
20	2	1	120.0
20	2	2	15.0
19	0	0	20.0
19	0	1	160.0
19	0	2	20.0
19	1	0	15.0
19	1	1	120.0
19	1	2	15.0
19	2	0	15.0
19	2	1	120.0
19	2	2	15.0
18	0	0	20.0
18	0	1	160.0
18	0	2	20.0
18	1	0	15.0
18	1	1	120.0
18	1	2	15.0
18	2	0	15.0
18	2	1	120.0
18	2	2	15.0
17	0	0	20.0
17	0	1	160.0
17	0	2	20.0
17	1	0	15.0
17	1	1	120.0
17	1	2	15.0
17	2	0	15.0
17	2	1	120.0
17	2	2	15.0
16	0	0	20.0
16	0	1	160.0
16	0	2	20.0
16	1	0	15.0
16	1	1	120.0
16	1	2	15.0
16	2	0	15.0
16	2	1	120.0
16	2	2	15.0
15	0	0	20.0
15	0	1	160.0
15	0	2	20.0
15	1	0	15.0
15	1	1	120.0
15	1	2	15.0
15	2	0	15.0
15	2	1	120.0
15	2	2	15.0
14	0	0	20.0
14	0	1	160.0
14	0	2	20.0
14	1	0	15.0
14	1	1	120.0
14	1	2	15.0
14	2	0	15.0
14	2	1	120.0
14	2	2	15.0
13	0	0	20.0
13	0	1	160.0
13	0	2	20.0
13	1	0	15.0
13	1	1	120.0
13	1	2	15.0
13	2	0	15.0
13	2	1	120.0
13	2	2	15.0
12	0	0	20.0
12	0	1	160.0
12	0	2	20.0
12	1	0	15.0
12	1	1	120.0
12	1	2	15.0
12	2	0	15.0
12	2	1	120.0
12	2	2	15.0
11	0	0	3.0
11	0	1	3.0
11	0	2	24.0
11	1	0	3.0
11	1	1	3.0
11	1	2	24.0
11	2	0	30.0
11	2	1	30.0
11	2	2	240.0
10	0	0	3.0
10	0	1	3.0
10	0	2	24.0
10	1	0	3.0
10	1	1	3.0
10	1	2	24.0
10	2	0	30.0
10	2	1	30.0
10	2	2	240.0
9	0	0	3.0
9	0	1	3.0
9	0	2	24.0
9	1	0	3.0
9	1	1	3.0
9	1	2	24.0
9	2	0	30.0
9	2	1	30.0
9	2	2	240.0
8	0	0	3.0
8	0	1	3.0
8	0	2	24.0
8	1	0	3.0
8	1	1	3.0
8	1	2	24.0
8	2	0	30.0
8	2	1	30.0
8	2	2	240.0
7	0	0	3.0
7	0	1	3.0
7	0	2	24.0
7	1	0	3.0
7	1	1	3.0
7	1	2	24.0
7	2	0	30.0
7	2	1	30.0
7	2	2	240.0
6	0	0	3.0
6	0	1	3.0
6	0	2	24.0
6	1	0	3.0
6	1	1	3.0
6	1	2	24.0
6	2	0	30.0
6	2	1	30.0
6	2	2	240.0
5	0	0	3.0
5	0	1	3.0
5	0	2	24.0
5	1	0	3.0
5	1	1	3.0
5	1	2	24.0
5	2	0	30.0
5	2	1	30.0
5	2	2	240.0
4	0	0	3.0
4	0	1	3.0
4	0	2	24.0
4	1	0	3.0
4	1	1	3.0
4	1	2	24.0
4	2	0	30.0
4	2	1	30.0
4	2	2	240.0
3	0	0	3.0
3	0	1	3.0
3	0	2	24.0
3	1	0	3.0
3	1	1	3.0
3	1	2	24.0
3	2	0	30.0
3	2	1	30.0
3	2	2	240.0
2	0	0	3.0
2	0	1	3.0
2	0	2	24.0
2	1	0	3.0
2	1	1	3.0
2	1	2	24.0
2	2	0	30.0
2	2	1	30.0
2	2	2	240.0
1	0	0	3.0
1	0	1	3.0
1	0	2	24.0
1	1	0	3.0
1	1	1	3.0
1	1	2	24.0
1	2	0	30.0
1	2	1	30.0
1	2	2	240.0
0	0	0	3.0
0	0	1	3.0
0	0	2	24.0
0	1	0	3.0
0	1	1	3.0
0	1	2	24.0
0	2	0	30.0
0	2	1	30.0
0	2	2	240.0
