T	Origin	Destination	Count
0	0	0	0.3467878898821328
0	7	3	0.39560260751950044
0	7	2	0.13779987999715249
0	7	1	0.2161068228737631
0	7	0	0.08288332265511385
0	6	9	0.41848450641201657
0	6	8	0.3686528154905371
0	6	7	0.5934039112792506
0	6	6	0.2089880098849803
0	6	5	0.5369618940110443
0	6	4	0.3783140616895994
0	6	3	0.3508557830185801
0	6	2	0.1545799391849976
0	6	1	0.1657666453102277
0	6	0	0.0655947768252128
0	0	6	0.012712166051397831
0	5	9	0.22678504235693728
0	5	8	0.16424118538405996
0	5	7	0.25373483438590066
0	5	6	0.14390171970182344
0	7	4	0.2847525195513114
0	7	5	0.3950941208774445
0	7	6	0.3523812429447479
0	7	7	0.5750983921652378
0	1	0	0.24966694124945338
0	9	5	0.39051774109894133
0	9	4	0.2583112141644039
0	9	3	0.23034444885132868
0	9	2	0.11491798110463639
0	9	1	0.1316980402924815
0	9	0	0.06712023675138054
0	8	9	0.6584902014624076
0	8	8	0.29848165888682104
0	5	5	0.23034444885132868
0	8	7	0.4789944168166702
0	8	5	0.36458492235408974
0	8	4	0.22068320265226632
0	8	3	0.20441163010647712
0	0	5	0.01040086313296186
0	8	2	0.07932391616072246
0	8	1	0.13017258036631377
0	8	0	0.04932320427942358
0	7	9	0.5283176210960938
0	7	8	0.3411945368195178
0	8	6	0.21407287630553945
0	9	6	0.22373412250460178
0	5	4	0.1810212445719051
0	5	2	0.054408070699982714
0	2	8	0.02070267042656218
0	2	7	0.0386449847962494
0	2	6	0.028475251955131137
0	2	5	0.03305163173363435
0	2	4	0.10068035512707081
0	2	3	0.0691541833196042
0	2	2	0.09051062228595255
0	2	1	0.1540714525429417
0	2	0	0.08237483601305794
0	1	9	0.031017685165410702
0	1	8	0.021356438966348354
0	1	7	0.04728925771119993
0	1	6	0.02237341225046018
0	1	5	0.031017685165410702
0	0	8	0.01733477188826977
0	1	4	0.15661388575322127
0	1	3	0.054916557342038624
0	1	2	0.12813863379809012
0	1	1	0.779510022271715
0	2	9	0.02640219102982626
0	3	0	0.10779916811585359
0	3	1	0.1500035594064944
0	3	2	0.10118884176912674
0	5	1	0.07271358981399559
0	5	0	0.03406860501774618
0	4	9	0.09966338184295899
0	4	8	0.06356083025698915
0	4	7	0.09203608221212028
0	4	6	0.0925445688541762
0	4	5	0.13068106700836968
0	4	4	0.3595000559335306
0	4	3	0.12152830745136325
0	5	3	0.1459356662700471
0	4	2	0.10576522154762995
0	4	0	0.04067893136447305
0	3	9	0.11847738759902778
0	3	8	0.08593424250744934
0	0	7	0.01743382772763131
0	3	7	0.2272935289989932
0	3	6	0.12254528073547508
0	3	5	0.13932533992332022
0	3	4	0.14898658612238258
0	3	3	0.16424118538405996
0	4	1	0.21051346981114807
0	0	4	0.024407358818683833
0	0	9	0.014081168549240674
0	0	2	0.03486765545526262
0	0	1	0.1779703247195696
0	9	8	0.5501825467044981
0	0	3	0.03050919852335479
0	9	9	0.9681585664744587
0	9	7	0.5339109741587088
1	2	8	0.02070267042656218
1	2	9	0.02640219102982626
1	3	0	0.10779916811585359
1	3	1	0.1500035594064944
1	3	2	0.10118884176912674
1	3	3	0.16424118538405996
1	3	4	0.14898658612238258
1	8	9	0.6584902014624076
1	3	6	0.12254528073547508
1	3	7	0.2272935289989932
1	3	8	0.08593424250744934
1	3	9	0.11847738759902778
1	4	0	0.04067893136447305
1	0	1	0.1779703247195696
1	4	1	0.21051346981114807
1	4	2	0.10576522154762995
1	4	3	0.12152830745136325
1	4	4	0.3595000559335306
1	4	5	0.13068106700836968
1	2	7	0.0386449847962494
1	3	5	0.13932533992332022
1	2	5	0.03305163173363435
1	2	4	0.10068035512707081
1	0	2	0.03486765545526262
1	0	3	0.03050919852335479
1	0	4	0.024407358818683833
1	0	5	0.01040086313296186
1	0	6	0.012712166051397831
1	0	7	0.01743382772763131
1	0	8	0.01733477188826977
1	0	9	0.014081168549240674
1	1	0	0.24966694124945338
1	1	1	0.779510022271715
1	2	6	0.028475251955131137
1	1	2	0.12813863379809012
1	1	4	0.15661388575322127
1	1	5	0.031017685165410702
1	1	6	0.02237341225046018
1	1	7	0.04728925771119993
1	1	8	0.021356438966348354
1	1	9	0.031017685165410702
1	2	0	0.08237483601305794
1	2	1	0.1540714525429417
1	2	2	0.09051062228595255
1	2	3	0.0691541833196042
1	1	3	0.054916557342038624
1	4	6	0.0925445688541762
1	4	7	0.09203608221212028
1	4	8	0.06356083025698915
1	7	5	0.3950941208774445
1	7	6	0.3523812429447479
1	7	7	0.5750983921652378
1	7	8	0.3411945368195178
1	7	9	0.5283176210960938
1	8	0	0.04932320427942358
1	8	1	0.13017258036631377
1	8	2	0.07932391616072246
1	8	3	0.20441163010647712
1	8	4	0.22068320265226632
1	7	4	0.2847525195513114
