T	Origin	Destination	Count
0	0	0	0.5166666666666666
0	1	1	0.35000000000000003
0	2	0	0.2976190476190476
0	2	1	0.4555555555555556
0	2	2	0.1923076923076923
0	2	3	0.1
0	3	0	0.2111111111111111
0	3	1	0.7000000000000001
0	3	2	0.08333333333333333
0	3	3	0.2222222222222222
0	1	0	0.6944444444444444
0	0	3	0.1111111111111111
0	1	3	0.10555555555555556
0	0	2	0.30952380952380953
0	1	2	0.08333333333333333
0	0	1	0.45000000000000007
1	3	0	0.2111111111111111
1	3	3	0.2222222222222222
1	3	2	0.08333333333333333
1	3	1	0.7000000000000001
1	2	3	0.1
1	2	2	0.1923076923076923
1	2	1	0.4555555555555556
1	2	0	0.2976190476190476
1	1	3	0.10555555555555556
1	1	1	0.35000000000000003
1	1	0	0.6944444444444444
1	0	3	0.1111111111111111
1	0	2	0.30952380952380953
1	0	1	0.45000000000000007
1	0	0	0.5166666666666666
1	1	2	0.08333333333333333
2	0	0	0.5166666666666666
2	0	2	0.30952380952380953
2	0	3	0.1111111111111111
2	3	3	0.2222222222222222
2	3	2	0.08333333333333333
2	0	1	0.45000000000000007
2	3	1	0.7000000000000001
2	3	0	0.2111111111111111
2	2	3	0.1
2	2	2	0.1923076923076923
2	2	1	0.4555555555555556
2	2	0	0.2976190476190476
2	1	3	0.10555555555555556
2	1	2	0.08333333333333333
2	1	1	0.35000000000000003
2	1	0	0.6944444444444444
3	1	2	0.08333333333333333
3	1	3	0.10555555555555556
3	2	1	0.4555555555555556
3	2	3	0.1
3	2	2	0.1923076923076923
3	3	0	0.2111111111111111
3	3	3	0.2222222222222222
3	1	1	0.35000000000000003
3	3	2	0.08333333333333333
3	0	0	0.5166666666666666
3	0	3	0.1111111111111111
3	0	2	0.30952380952380953
3	1	0	0.6944444444444444
3	3	1	0.7000000000000001
3	0	1	0.45000000000000007
3	2	0	0.2976190476190476
4	1	2	0.08333333333333333
4	3	2	0.08333333333333333
4	3	1	0.7000000000000001
4	3	0	0.2111111111111111
4	2	3	0.1
4	2	2	0.1923076923076923
4	2	1	0.4555555555555556
4	2	0	0.2976190476190476
4	1	3	0.10555555555555556
4	1	1	0.35000000000000003
4	1	0	0.6944444444444444
4	0	3	0.1111111111111111
4	0	2	0.30952380952380953
4	0	1	0.45000000000000007
4	0	0	0.5166666666666666
4	3	3	0.2222222222222222
5	1	3	0.10555555555555556
5	2	1	0.4555555555555556
5	2	0	0.2976190476190476
5	2	3	0.1
5	3	0	0.2111111111111111
5	1	2	0.08333333333333333
5	3	1	0.7000000000000001
5	2	2	0.1923076923076923
5	1	0	0.6944444444444444
5	0	3	0.1111111111111111
5	1	1	0.35000000000000003
5	0	2	0.30952380952380953
5	3	3	0.2222222222222222
5	0	1	0.45000000000000007
5	0	0	0.5166666666666666
5	3	2	0.08333333333333333
6	3	0	0.2111111111111111
6	1	2	0.08333333333333333
6	1	0	0.6944444444444444
6	3	1	0.7000000000000001
6	1	1	0.35000000000000003
6	3	2	0.08333333333333333
6	2	0	0.2976190476190476
6	2	3	0.1
6	1	3	0.10555555555555556
6	3	3	0.2222222222222222
6	0	3	0.1111111111111111
6	0	2	0.30952380952380953
6	0	1	0.45000000000000007
6	0	0	0.5166666666666666
6	2	1	0.4555555555555556
6	2	2	0.1923076923076923
7	1	2	0.08333333333333333
7	1	0	0.6944444444444444
7	3	0	0.2111111111111111
7	2	1	0.4555555555555556
7	2	3	0.1
7	0	1	0.45000000000000007
7	3	1	0.7000000000000001
7	0	2	0.30952380952380953
7	2	2	0.1923076923076923
7	0	3	0.1111111111111111
7	0	0	0.5166666666666666
7	2	0	0.2976190476190476
7	3	2	0.08333333333333333
7	1	3	0.10555555555555556
7	3	3	0.2222222222222222
7	1	1	0.35000000000000003
8	0	3	0.1111111111111111
8	1	2	0.08333333333333333
8	1	3	0.10555555555555556
8	0	0	0.5166666666666666
8	2	3	0.1
8	0	2	0.30952380952380953
8	3	0	0.2111111111111111
8	0	1	0.45000000000000007
8	2	0	0.2976190476190476
8	1	0	0.6944444444444444
8	2	1	0.4555555555555556
8	3	1	0.7000000000000001
8	3	3	0.2222222222222222
8	3	2	0.08333333333333333
8	1	1	0.35000000000000003
8	2	2	0.1923076923076923
9	1	0	0.6944444444444444
9	2	0	0.2976190476190476
9	1	2	0.08333333333333333
9	0	3	0.1111111111111111
9	2	1	0.4555555555555556
9	1	1	0.35000000000000003
9	3	2	0.08333333333333333
9	0	2	0.30952380952380953
9	2	2	0.1923076923076923
9	2	3	0.1
9	0	1	0.45000000000000007
9	3	3	0.2222222222222222
9	0	0	0.5166666666666666
9	3	0	0.2111111111111111
9	3	1	0.7000000000000001
9	1	3	0.10555555555555556
10	3	3	0.2222222222222222
10	3	2	0.08333333333333333
10	3	1	0.7000000000000001
10	1	2	0.08333333333333333
10	2	2	0.1923076923076923
10	0	0	0.5166666666666666
10	2	3	0.1
10	0	1	0.45000000000000007
10	0	2	0.30952380952380953
10	3	0	0.2111111111111111
10	2	1	0.4555555555555556
10	1	3	0.10555555555555556
10	0	3	0.1111111111111111
10	1	1	0.35000000000000003
10	2	0	0.2976190476190476
10	1	0	0.6944444444444444
11	1	1	0.35000000000000003
11	3	1	0.7000000000000001
11	1	0	0.6944444444444444
11	0	2	0.30952380952380953
11	2	3	0.1
11	3	3	0.2222222222222222
11	2	1	0.4555555555555556
11	2	2	0.1923076923076923
11	3	2	0.08333333333333333
11	1	2	0.08333333333333333
11	3	0	0.2111111111111111
11	1	3	0.10555555555555556
11	0	3	0.1111111111111111
11	0	0	0.5166666666666666
11	2	0	0.2976190476190476
11	0	1	0.45000000000000007
12	0	2	0.20370370370370372
12	0	0	0.5277777777777778
12	2	1	0.4444444444444444
12	3	1	0.5722222222222222
12	0	3	0.08333333333333333
12	3	2	0.1388888888888889
12	2	2	0.17857142857142855
12	1	0	0.7166666666666667
12	0	1	0.46428571428571425
12	3	3	0.25
12	1	2	0.1388888888888889
12	3	0	0.27272727272727276
12	2	3	0.09375
12	1	3	0.10185185185185186
12	2	0	0.2976190476190476
12	1	1	0.32142857142857145
13	1	2	0.1388888888888889
13	0	2	0.20370370370370372
13	2	2	0.17857142857142855
13	1	1	0.32142857142857145
13	1	3	0.10185185185185186
13	2	0	0.2976190476190476
13	2	1	0.4444444444444444
13	3	2	0.1388888888888889
13	1	0	0.7166666666666667
13	0	3	0.08333333333333333
13	2	3	0.09375
13	3	1	0.5722222222222222
13	0	1	0.46428571428571425
13	3	3	0.25
13	0	0	0.5277777777777778
13	3	0	0.27272727272727276
14	1	1	0.32142857142857145
14	2	0	0.2976190476190476
14	2	2	0.17857142857142855
14	1	0	0.7166666666666667
14	3	3	0.25
14	0	0	0.5277777777777778
14	2	1	0.4444444444444444
14	0	3	0.08333333333333333
14	1	2	0.1388888888888889
14	0	1	0.46428571428571425
14	3	2	0.1388888888888889
14	2	3	0.09375
14	0	2	0.20370370370370372
14	3	1	0.5722222222222222
14	1	3	0.10185185185185186
14	3	0	0.27272727272727276
15	3	0	0.27272727272727276
15	1	2	0.1388888888888889
15	2	3	0.09375
15	3	1	0.5722222222222222
15	1	1	0.32142857142857145
15	3	2	0.1388888888888889
15	2	2	0.17857142857142855
15	2	0	0.2976190476190476
15	1	3	0.10185185185185186
15	1	0	0.7166666666666667
15	2	1	0.4444444444444444
15	3	3	0.25
15	0	2	0.20370370370370372
15	0	3	0.08333333333333333
15	0	1	0.46428571428571425
15	0	0	0.5277777777777778
16	3	2	0.1388888888888889
16	0	1	0.46428571428571425
16	2	0	0.2976190476190476
16	0	3	0.08333333333333333
16	0	2	0.20370370370370372
16	2	3	0.09375
16	3	1	0.5722222222222222
16	2	2	0.17857142857142855
16	3	0	0.27272727272727276
16	1	3	0.10185185185185186
16	1	1	0.32142857142857145
16	2	1	0.4444444444444444
16	1	2	0.1388888888888889
16	0	0	0.5277777777777778
16	3	3	0.25
16	1	0	0.7166666666666667
17	2	1	0.4444444444444444
17	0	0	0.5277777777777778
17	0	1	0.46428571428571425
17	2	0	0.2976190476190476
17	1	3	0.10185185185185186
17	1	0	0.7166666666666667
17	2	2	0.17857142857142855
17	3	2	0.1388888888888889
17	3	1	0.5722222222222222
17	1	1	0.32142857142857145
17	3	0	0.27272727272727276
17	0	3	0.08333333333333333
17	3	3	0.25
17	2	3	0.09375
17	0	2	0.20370370370370372
17	1	2	0.1388888888888889
18	3	2	0.1388888888888889
18	2	2	0.17857142857142855
18	1	3	0.10185185185185186
18	3	1	0.5722222222222222
18	3	0	0.27272727272727276
18	2	3	0.09375
18	1	2	0.1388888888888889
18	2	1	0.4444444444444444
18	2	0	0.2976190476190476
18	3	3	0.25
18	1	0	0.7166666666666667
18	0	3	0.08333333333333333
18	0	2	0.20370370370370372
18	1	1	0.32142857142857145
18	0	1	0.46428571428571425
18	0	0	0.5277777777777778
19	2	2	0.17857142857142855
19	0	0	0.5277777777777778
19	0	1	0.46428571428571425
19	0	3	0.08333333333333333
19	1	0	0.7166666666666667
19	1	1	0.32142857142857145
19	1	2	0.1388888888888889
19	1	3	0.10185185185185186
