T	Origin	Destination	Count
47	0	1	0.5
47	0	2	0.5
47	0	3	0.5
47	1	0	1.5
47	2	0	1.5
47	3	0	1.5
46	0	1	0.5
46	0	2	0.5
46	0	3	0.5
46	1	0	1.5
46	2	0	1.5
46	3	0	1.5
45	0	1	0.5
45	0	2	0.5
45	0	3	0.5
45	1	0	1.5
45	2	0	1.5
45	3	0	1.5
44	0	1	0.5
44	0	2	0.5
44	0	3	0.5
44	1	0	1.5
44	2	0	1.5
44	3	0	1.5
43	0	1	0.5
43	0	2	0.5
43	0	3	0.5
43	1	0	1.5
43	2	0	1.5
43	3	0	1.5
42	0	1	0.5
42	0	2	0.5
42	0	3	0.5
42	1	0	1.5
42	2	0	1.5
42	3	0	1.5
41	0	1	0.5
41	0	2	0.5
41	0	3	0.5
41	1	0	1.5
41	2	0	1.5
41	3	0	1.5
40	0	1	0.5
40	0	2	0.5
40	0	3	0.5
40	1	0	1.5
40	2	0	1.5
40	3	0	1.5
39	0	1	0.5
39	0	2	0.5
39	0	3	0.5
39	1	0	1.5
39	2	0	1.5
39	3	0	1.5
38	0	1	0.5
38	0	2	0.5
38	0	3	0.5
38	1	0	1.5
38	2	0	1.5
38	3	0	1.5
37	0	1	0.5
37	0	2	0.5
37	0	3	0.5
37	1	0	1.5
37	2	0	1.5
37	3	0	1.5
36	0	1	0.5
36	0	2	0.5
36	0	3	0.5
36	1	0	1.5
36	2	0	1.5
36	3	0	1.5
35	0	1	0.5
35	0	2	0.5
35	0	3	0.5
35	1	0	1.5
35	2	0	1.5
35	3	0	1.5
34	0	1	0.5
34	0	2	0.5
34	0	3	0.5
34	1	0	1.5
34	2	0	1.5
34	3	0	1.5
33	0	1	0.5
33	0	2	0.5
33	0	3	0.5
33	1	0	1.5
33	2	0	1.5
33	3	0	1.5
32	0	1	0.5
32	0	2	0.5
32	0	3	0.5
32	1	0	1.5
32	2	0	1.5
32	3	0	1.5
31	0	1	0.5
31	0	2	0.5
31	0	3	0.5
31	1	0	1.5
31	2	0	1.5
31	3	0	1.5
30	0	1	0.5
30	0	2	0.5
30	0	3	0.5
30	1	0	1.5
30	2	0	1.5
30	3	0	1.5
29	0	1	0.5
29	0	2	0.5
29	0	3	0.5
29	1	0	1.5
29	2	0	1.5
29	3	0	1.5
28	0	1	0.5
28	0	2	0.5
28	0	3	0.5
28	1	0	1.5
28	2	0	1.5
28	3	0	1.5
27	0	1	0.5
27	0	2	0.5
27	0	3	0.5
27	1	0	1.5
27	2	0	1.5
27	3	0	1.5
26	0	1	0.5
26	0	2	0.5
26	0	3	0.5
26	1	0	1.5
26	2	0	1.5
26	3	0	1.5
25	0	1	0.5
25	0	2	0.5
25	0	3	0.5
25	1	0	1.5
25	2	0	1.5
25	3	0	1.5
24	0	1	0.5
24	0	2	0.5
24	0	3	0.5
24	1	0	1.5
24	2	0	1.5
24	3	0	1.5
23	0	1	0.5
23	0	2	0.5
23	0	3	0.5
23	1	0	1.5
23	2	0	1.5
23	3	0	1.5
22	0	1	0.5
22	0	2	0.5
22	0	3	0.5
22	1	0	1.5
22	2	0	1.5
22	3	0	1.5
21	0	1	0.5
21	0	2	0.5
21	0	3	0.5
21	1	0	1.5
21	2	0	1.5
21	3	0	1.5
20	0	1	0.5
20	0	2	0.5
20	0	3	0.5
20	1	0	1.5
20	2	0	1.5
20	3	0	1.5
19	0	1	0.5
19	0	2	0.5
19	0	3	0.5
19	1	0	1.5
19	2	0	1.5
19	3	0	1.5
18	0	1	0.5
18	0	2	0.5
18	0	3	0.5
18	1	0	1.5
18	2	0	1.5
18	3	0	1.5
17	0	1	0.5
17	0	2	0.5
17	0	3	0.5
17	1	0	1.5
