T	Origin	Destination	Count
47	0	1	0.5
47	0	2	0.5
47	0	3	0.5
47	1	0	1.0
47	1	2	0.25
47	1	3	0.25
47	2	0	1.0
47	2	1	0.25
47	2	3	0.25
47	3	0	1.0
47	3	1	0.25
47	3	2	0.25
46	0	1	0.5
46	0	2	0.5
46	0	3	0.5
46	1	0	1.0
46	1	2	0.25
46	1	3	0.25
46	2	0	1.0
46	2	1	0.25
46	2	3	0.25
46	3	0	1.0
46	3	1	0.25
46	3	2	0.25
45	0	1	0.5
45	0	2	0.5
45	0	3	0.5
45	1	0	1.0
45	1	2	0.25
45	1	3	0.25
45	2	0	1.0
45	2	1	0.25
45	2	3	0.25
45	3	0	1.0
45	3	1	0.25
45	3	2	0.25
44	0	1	0.5
44	0	2	0.5
44	0	3	0.5
44	1	0	1.0
44	1	2	0.25
44	1	3	0.25
44	2	0	1.0
44	2	1	0.25
44	2	3	0.25
44	3	0	1.0
44	3	1	0.25
44	3	2	0.25
43	0	1	0.5
43	0	2	0.5
43	0	3	0.5
43	1	0	1.0
43	1	2	0.25
43	1	3	0.25
43	2	0	1.0
43	2	1	0.25
43	2	3	0.25
43	3	0	1.0
43	3	1	0.25
43	3	2	0.25
42	0	1	0.5
42	0	2	0.5
42	0	3	0.5
42	1	0	1.0
42	1	2	0.25
42	1	3	0.25
42	2	0	1.0
42	2	1	0.25
42	2	3	0.25
42	3	0	1.0
42	3	1	0.25
42	3	2	0.25
41	0	1	0.5
41	0	2	0.5
41	0	3	0.5
41	1	0	1.0
41	1	2	0.25
41	1	3	0.25
41	2	0	1.0
41	2	1	0.25
41	2	3	0.25
41	3	0	1.0
41	3	1	0.25
41	3	2	0.25
40	0	1	0.5
40	0	2	0.5
40	0	3	0.5
40	1	0	1.0
40	1	2	0.25
40	1	3	0.25
40	2	0	1.0
40	2	1	0.25
40	2	3	0.25
40	3	0	1.0
40	3	1	0.25
40	3	2	0.25
39	0	1	0.5
39	0	2	0.5
39	0	3	0.5
39	1	0	1.0
39	1	2	0.25
39	1	3	0.25
39	2	0	1.0
39	2	1	0.25
39	2	3	0.25
39	3	0	1.0
39	3	1	0.25
39	3	2	0.25
38	0	1	0.5
38	0	2	0.5
38	0	3	0.5
38	1	0	1.0
38	1	2	0.25
38	1	3	0.25
38	2	0	1.0
38	2	1	0.25
38	2	3	0.25
38	3	0	1.0
38	3	1	0.25
38	3	2	0.25
37	0	1	0.5
37	0	2	0.5
37	0	3	0.5
37	1	0	1.0
37	1	2	0.25
37	1	3	0.25
37	2	0	1.0
37	2	1	0.25
37	2	3	0.25
37	3	0	1.0
37	3	1	0.25
37	3	2	0.25
36	0	1	0.5
36	0	2	0.5
36	0	3	0.5
36	1	0	1.0
36	1	2	0.25
36	1	3	0.25
36	2	0	1.0
36	2	1	0.25
36	2	3	0.25
36	3	0	1.0
36	3	1	0.25
36	3	2	0.25
35	0	1	0.5
35	0	2	0.5
35	0	3	0.5
35	1	0	1.0
35	1	2	0.25
35	1	3	0.25
35	2	0	1.0
35	2	1	0.25
35	2	3	0.25
35	3	0	1.0
35	3	1	0.25
35	3	2	0.25
34	0	1	0.5
34	0	2	0.5
34	0	3	0.5
34	1	0	1.0
34	1	2	0.25
34	1	3	0.25
34	2	0	1.0
34	2	1	0.25
34	2	3	0.25
34	3	0	1.0
34	3	1	0.25
34	3	2	0.25
33	0	1	0.5
33	0	2	0.5
33	0	3	0.5
33	1	0	1.0
33	1	2	0.25
33	1	3	0.25
33	2	0	1.0
33	2	1	0.25
33	2	3	0.25
33	3	0	1.0
33	3	1	0.25
33	3	2	0.25
32	0	1	0.5
32	0	2	0.5
32	0	3	0.5
32	1	0	1.0
