LocationID,zone,TripCounts
138,LaGuardia Airport,322581
132,JFK Airport,316443
79,East Village,262476
230,Times Sq/Theatre District,253696
61,Crown Heights North,236513
161,Midtown Center,221285
68,East Chelsea,216570
148,Lower East Side,208016
37,Bushwick South,201710
48,Clinton East,199595
164,Midtown South,197542
234,Union Sq,195680
231,TriBeCa/Civic Center,194850
246,West Chelsea/Hudson Yards,190768
255,Williamsburg (North Side),190562
76,East New York,181379
170,Murray Hill,177877
7,Astoria,176350
249,West Village,175734
42,Central Harlem North,159993
112,Greenpoint,157243
181,Park Slope,156595
163,Midtown North,155699
80,East Williamsburg,153528
256,Williamsburg (South Side),150776
145,Long Island City/Hunters Point,150266
225,Stuyvesant Heights,149279
17,Bedford,146490
162,Midtown East,145035
107,Gramercy,144523
36,Bushwick North,142246
144,Little Italy/NoLiTa,139156
89,Flatbush/Ditmas Park,136821
186,Penn Station/Madison Sq West,135823
188,Prospect-Lefferts Gardens,132586
244,Washington Heights South,129547
129,Jackson Heights,129290
90,Flatiron,126992
87,Financial District North,125973
39,Canarsie,125911
237,Upper East Side South,125092
158,Meatpacking/West Village West,121976
74,East Harlem North,121365
114,Greenwich Village South,119465
142,Lincoln Square East,118421
130,Jamaica,116909
50,Clinton West,115351
100,Garment District,115055
82,Elmhurst,114453
41,Central Harlem,114300
233,UN/Turtle Bay South,113771
211,SoHo,112077
97,Fort Greene,111596
141,Lenox Hill West,110697
229,Sutton Place/Turtle Bay North,108259
236,Upper East Side North,108050
239,Upper West Side South,107448
113,Greenwich Village North,106150
95,Forest Hills,105821
216,South Ozone Park,104880
75,East Harlem South,104275
137,Kips Bay,103271
198,Ridgewood,103150
25,Boerum Hill,101559
226,Sunnyside,100602
56,Corona,100294
49,Clinton Hill,99746
35,Brownsville,98370
140,Lenox Hill East,97937
168,Mott Haven/Port Morris,96215
243,Washington Heights North,91254
263,Yorkville West,90907
72,East Flatbush/Remsen Village,88048
13,Battery Park City,87752
14,Bay Ridge,86479
92,Flushing,85394
143,Lincoln Square West,85304
232,Two Bridges/Seward Park,84937
