t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_battery_cars_0,frac_battery_cars_1,frac_battery_cars_2,frac_battery_cars_3,frac_battery_cars_4,frac_battery_cars_5,frac_battery_cars_6,frac_battery_cars_7,frac_battery_cars_8,frac_battery_cars_9,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,num_trip_requests_4,num_cars_region_4,num_charging_cars_region_4,trial
0,21.0,1.0,0.021,0.772,0.001,0.206,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,200.0,1.0,2.0,200.0,0.0,3.0,200.0,0.0,1.0,200.0,0.0,13.0,200.0,0.0,0.0
1,34.0,0.9411764705882353,0.053,0.901,0.001,0.045,32.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,36.0,1.0,1.0,47.0,0.0,3.0,31.0,0.0,3.0,50.0,0.0,24.0,43.0,0.0,0.0
2,23.0,0.5217391304347826,0.065,0.926,0.001,0.008,12.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,53.0,0.0,1.0,11.0,0.0,2.0,55.0,0.0,17.0,7.0,0.0,0.0
3,33.0,0.12121212121212122,0.069,0.929,0.001,0.001,4.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,52.0,0.0,4.0,5.0,0.0,2.0,52.0,0.0,26.0,1.0,0.0,0.0
4,28.0,0.2857142857142857,0.077,0.922,0.001,0.0,8.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,59.0,0.0,2.0,3.0,0.0,2.0,49.0,0.0,19.0,0.0,0.0,0.0
5,31.0,1.0,0.108,0.891,0.001,0.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,55.0,0.0,2.0,2.0,0.0,1.0,47.0,0.0,26.0,0.0,0.0,0.0
6,24.0,1.0,0.128,0.858,0.0,0.014,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,143.0,0.0,2.0,192.0,0.0,1.0,130.0,0.0,4.0,164.0,0.0,15.0,153.0,0.0,0.0
7,22.0,1.0,0.146,0.849,0.0,0.005,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,172.0,0.0,1.0,185.0,0.0,1.0,164.0,0.0,4.0,156.0,0.0,15.0,165.0,0.0,0.0
8,32.0,1.0,0.175,0.822,0.0,0.003,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,2.0,197.0,0.0,1.0,168.0,0.0,2.0,157.0,0.0,27.0,157.0,0.0,0.0
9,24.0,1.0,0.196,0.803,0.0,0.001,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,1.0,193.0,0.0,3.0,174.0,0.0,2.0,160.0,0.0,18.0,130.0,0.0,0.0
10,33.0,1.0,0.221,0.643,0.001,0.135,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,182.0,1.0,0.0,194.0,0.0,4.0,172.0,0.0,4.0,159.0,0.0,22.0,112.0,0.0,0.0
11,14.0,1.0,0.232,0.707,0.001,0.06,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,1.0,2.0,92.0,0.0,3.0,88.0,0.0,2.0,77.0,0.0,7.0,48.0,0.0,0.0
12,27.0,1.0,0.256,0.718,0.001,0.025,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,55.0,1.0,0.0,72.0,0.0,2.0,63.0,0.0,1.0,61.0,0.0,20.0,29.0,0.0,0.0
13,20.0,0.55,0.262,0.728,0.0,0.01,11.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,0.0,0.0,59.0,0.0,0.0,61.0,0.0,1.0,56.0,0.0,18.0,16.0,0.0,0.0
