t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
0,31.6,0.4317874617228066,0.10700000000000001,0.0,0.893,13.6,18.0,0.0,0.0,0.0,1.0,10.2,25.0,0.0,12.5,25.0,0.0,6.2,24.0,0.0,2.7,25.0,0.0,4.5
1,30.6,0.40933239065661553,0.17,0.0,0.8299999999999998,19.7,18.6,10.3,0.0,0.0,1.0,9.2,25.0,0.0,11.7,23.0,0.0,6.9,27.0,0.0,2.8,25.0,0.0,4.5
2,30.7,0.4226256404854395,0.17,0.0,0.8299999999999998,20.6,19.7,9.0,0.0,0.0,1.0,8.8,25.0,0.0,11.9,15.0,0.0,6.7,33.0,0.0,3.3,27.0,0.0,4.5
3,31.7,0.2833517518327858,0.119,0.0,0.881,14.4,24.8,12.1,0.0,0.0,1.0,10.8,25.0,0.0,11.5,7.0,0.0,6.7,39.0,0.0,2.7,29.0,0.0,4.5
4,21.2,0.2255351389276789,0.079,0.0,0.921,10.3,17.5,18.1,0.0,0.0,1.0,6.5,25.0,0.0,7.7,3.3,0.0,5.0,41.8,0.0,2.0,29.0,0.0,4.5
5,21.4,0.20611110548129163,0.057999999999999996,0.0,0.942,7.9,18.2,12.3,0.0,0.0,1.0,6.1,24.2,0.0,8.3,1.8,0.0,5.4,43.0,0.0,1.6,30.0,0.0,4.5
6,21.8,0.22332897447907749,0.06,0.0,0.9399999999999998,8.7,17.8,12.7,0.0,0.0,1.0,6.7,24.0,0.0,7.9,2.0,0.0,5.8,42.0,0.0,1.4,31.0,0.0,4.5
7,21.0,0.2278578376615688,0.06,0.0,0.9399999999999998,8.6,17.6,11.9,0.0,0.0,1.0,6.1,24.7,0.0,8.6,2.0,0.0,5.4,41.0,0.0,0.9,32.0,0.0,4.5
8,18.7,0.2983029330125519,0.09,0.0,0.9099999999999999,10.7,14.4,11.2,0.0,0.0,1.0,6.9,25.0,0.0,5.8,2.0,0.0,4.3,40.0,0.0,1.7,32.0,0.0,4.5
9,19.5,0.3365131575417639,0.098,0.0,0.9019999999999999,11.2,14.5,7.9,0.0,0.0,1.0,7.1,24.6,0.0,5.0,3.0,0.0,4.8,40.0,0.0,2.6,31.4,0.0,4.5
10,17.3,0.36977455491760103,0.099,0.0,0.901,11.1,12.4,7.8,0.0,0.0,1.0,5.6,24.4,0.0,5.2,3.0,0.0,4.2,41.0,0.0,2.3,30.6,0.0,4.5
11,17.8,0.38058648409977536,0.099,0.0,0.901,11.0,11.6,7.0,0.0,0.0,1.0,5.9,24.0,0.0,5.6,3.0,0.0,3.8,42.0,0.0,2.5,30.0,0.0,4.5
12,22.1,0.4216207841267548,0.133,0.0,0.867,13.9,12.3,7.1,0.0,0.0,1.0,9.3,24.2,0.0,5.0,3.0,0.0,5.7,43.0,0.0,2.1,29.0,0.0,4.5
13,21.6,0.4322088304951208,0.134,0.0,0.866,14.3,11.6,7.6,0.0,0.0,1.0,9.5,24.6,0.0,4.2,3.0,0.0,5.1,42.0,0.0,2.8,30.0,0.0,4.5
14,22.3,0.4269794805079844,0.134,0.0,0.866,14.0,12.2,6.9,0.0,0.0,1.0,9.8,24.7,0.0,4.6,3.0,0.0,5.8,41.0,0.0,2.1,31.0,0.0,4.5
15,22.1,0.4084697123363452,0.131,0.0,0.869,13.5,13.0,6.8,0.0,0.0,1.0,9.4,24.8,0.0,4.8,3.0,0.0,5.1,40.0,0.0,2.8,32.0,0.0,4.5
16,24.2,0.40710354634378404,0.148,0.0,0.852,15.1,14.8,7.3,0.0,0.0,1.0,11.0,25.0,0.0,4.3,3.0,0.0,4.9,39.0,0.0,4.0,32.0,0.0,4.5
17,22.8,0.36260264673029907,0.13999999999999999,0.0,0.86,13.6,13.4,10.5,0.0,0.0,1.0,10.7,25.0,0.0,3.9,3.0,0.0,4.2,38.0,0.0,4.0,33.0,0.0,4.5
18,25.0,0.3623399017441065,0.137,0.0,0.8629999999999999,13.8,14.9,9.4,0.0,0.0,1.0,10.7,25.0,0.0,5.2,3.0,0.0,4.5,37.0,0.0,4.6,34.0,0.0,4.5
19,25.0,0.36388789243440406,0.146,0.0,0.8539999999999999,14.4,13.5,11.8,0.0,0.0,1.0,12.2,25.0,0.0,3.6,3.0,0.0,4.6,36.0,0.0,4.6,35.0,0.0,4.5
20,26.4,0.34161815750051044,0.136,0.0,0.8640000000000001,13.5,16.8,9.4,0.0,0.0,1.0,9.4,25.0,0.0,4.2,3.0,0.0,7.8,35.0,0.0,5.0,36.0,0.0,4.5
21,28.2,0.3046470107392864,0.137,0.0,0.8629999999999999,13.5,18.8,12.2,0.0,0.0,1.0,9.7,25.0,0.0,4.7,5.0,0.0,8.1,34.0,0.0,5.7,35.0,0.0,4.5
22,27.7,0.29313732148527133,0.139,0.0,0.861,13.4,18.8,13.6,0.0,0.0,1.0,9.4,25.0,0.0,5.0,7.0,0.0,8.1,33.0,0.0,5.2,34.0,0.0,4.5
23,26.7,0.29517978918099086,0.137,0.0,0.8629999999999999,13.2,18.3,13.3,0.0,0.0,1.0,8.8,25.0,0.0,4.5,9.0,0.0,8.0,31.5,0.0,5.4,33.5,0.0,4.5
24,45.1,0.35735796374380036,0.22599999999999998,0.0,0.774,22.3,26.7,13.7,0.0,0.0,1.0,11.1,25.0,0.0,5.9,11.0,0.0,18.1,30.4,0.0,10.0,32.6,0.0,4.5
25,46.0,0.33237304477496055,0.23900000000000002,0.0,0.761,23.8,27.4,20.7,0.0,0.0,1.0,11.0,25.0,0.0,6.7,24.2,0.0,17.7,21.6,0.0,10.6,28.2,0.0,4.5
26,44.7,0.32830420821475426,0.23900000000000002,0.0,0.761,23.3,27.8,20.0,0.0,0.0,1.0,11.5,25.0,0.0,6.3,36.2,0.0,16.7,13.9,0.0,10.2,23.9,0.0,4.5
27,43.7,0.28470608017249377,0.20600000000000002,0.0,0.794,20.1,31.2,19.5,0.0,0.0,1.0,11.2,25.0,0.0,6.3,48.2,0.0,16.7,5.6,0.0,9.5,20.2,0.0,4.5
28,45.6,0.22803019844495317,0.163,0.0,0.8370000000000001,17.3,35.7,23.0,0.0,0.0,1.0,10.7,25.0,0.0,7.0,56.8,0.0,16.2,2.0,0.0,11.7,16.2,0.0,4.5
29,48.2,0.11349591594887327,0.08299999999999999,0.0,0.917,9.4,43.7,30.0,0.0,0.0,1.0,10.9,25.0,0.0,7.5,63.3,0.0,17.1,1.5,0.0,12.7,10.2,0.0,4.5
30,46.9,0.11554376391398898,0.089,0.0,0.9109999999999999,10.3,42.4,37.0,0.0,0.0,1.0,10.6,24.9,0.0,7.3,62.8,0.0,16.8,1.0,0.0,12.2,11.2,0.0,4.5
31,47.4,0.14736831818271862,0.11499999999999999,0.0,0.885,13.1,43.1,32.8,0.0,0.0,1.0,10.9,24.3,0.0,7.9,62.6,0.0,16.8,1.1,0.0,11.8,11.3,0.0,4.5
32,55.7,0.17024225365601214,0.179,0.0,0.8210000000000001,16.7,50.0,31.4,0.0,0.0,1.0,11.9,24.0,0.0,10.0,64.7,0.0,21.5,1.3,0.0,12.3,9.0,0.0,4.5
33,57.9,0.10659960709707453,0.129,0.0,0.8710000000000001,11.4,52.6,43.1,0.0,0.0,1.0,10.9,24.0,0.0,11.3,68.5,0.0,22.9,1.0,0.0,12.8,5.5,0.0,4.5
34,55.9,0.11384370689599525,0.135,0.0,0.865,12.3,50.9,44.7,0.0,0.0,1.0,11.4,24.0,0.0,10.3,67.6,0.0,21.0,1.0,0.0,13.2,6.4,0.0,4.5
35,56.8,0.14798755813043304,0.173,0.0,0.827,15.9,52.2,39.0,0.0,0.0,1.0,12.2,24.0,0.0,9.9,67.4,0.0,21.1,1.0,0.0,13.6,6.6,0.0,4.5
36,48.0,0.137888787068213,0.151,0.0,0.849,13.5,44.4,41.5,0.0,0.0,1.0,10.0,24.0,0.0,8.8,70.9,0.0,16.6,1.0,0.0,12.6,3.1,0.0,4.5
37,46.8,0.12526068572002175,0.13,0.0,0.8699999999999999,11.3,43.4,35.8,0.0,0.0,1.0,9.8,24.0,0.0,8.4,72.7,0.0,15.2,1.0,0.0,13.4,1.3,0.0,4.5
38,47.9,0.12644939139890385,0.129,0.0,0.8710000000000001,11.4,44.0,35.2,0.0,0.0,1.0,9.0,24.0,0.0,9.3,73.0,0.0,16.6,1.0,0.0,13.0,1.0,0.0,4.5
39,45.9,0.12707228381370697,0.128,0.0,0.8720000000000001,11.3,42.7,35.1,0.0,0.0,1.0,9.4,24.0,0.0,8.0,73.0,0.0,16.3,1.0,0.0,12.2,1.0,0.0,4.5
40,43.5,0.13959232858904974,0.13,0.0,0.8699999999999999,11.9,39.4,34.2,0.0,0.0,1.0,10.6,24.3,0.0,11.3,72.7,0.0,11.6,1.0,0.0,10.0,1.0,0.0,4.5
41,41.1,0.13528364290625813,0.118,0.0,0.882,10.7,37.0,31.9,0.0,0.0,1.0,10.4,24.7,0.0,9.8,73.3,0.0,11.3,1.0,0.0,9.6,0.0,0.0,4.5
42,45.7,0.13099414453723326,0.118,0.0,0.882,10.7,41.0,30.2,0.0,0.0,1.0,11.3,25.0,0.0,11.3,73.0,0.0,12.3,1.0,0.0,10.8,0.0,0.0,4.5
43,41.1,0.13055938117003515,0.11599999999999999,0.0,0.884,10.6,36.6,34.2,0.0,0.0,1.0,10.5,25.0,0.0,10.2,73.0,0.0,11.0,1.0,0.0,9.4,0.0,0.0,4.5
44,49.2,0.18355033211351832,0.166,0.0,0.834,15.6,39.5,30.1,0.0,0.0,1.0,13.8,25.0,0.0,13.3,73.0,0.0,12.1,1.0,0.0,10.0,0.0,0.0,4.5
45,49.4,0.1798057642564584,0.168,0.0,0.8320000000000001,15.8,39.1,33.3,0.0,0.0,1.0,14.1,25.0,0.0,13.6,73.0,0.0,12.8,0.0,0.0,8.9,1.0,0.0,4.5
46,48.9,0.19029841245421258,0.177,0.0,0.8230000000000001,16.6,39.4,31.4,0.0,0.0,1.0,14.1,25.0,0.0,13.5,72.0,0.0,11.5,0.0,0.0,9.8,2.0,0.0,4.5
47,47.5,0.1927276773255693,0.176,0.0,0.8240000000000001,16.6,38.0,31.6,0.0,0.0,1.0,12.7,25.0,0.0,12.6,71.0,0.0,12.5,0.0,0.0,9.7,3.0,0.0,4.5
48,46.1,0.17263441936182983,0.148,0.13,0.722,14.5,36.6,33.0,0.0,0.0,1.0,12.6,25.0,3.0,15.1,70.0,6.0,10.6,0.0,0.0,7.8,4.0,4.0,4.5
49,44.2,0.22860337415950466,0.177,0.07,0.753,18.4,34.4,28.0,0.0,0.0,1.0,12.5,25.0,2.0,14.8,68.0,3.0,9.6,0.0,0.0,7.3,6.0,2.0,4.5
50,45.3,0.22666818926721488,0.176,0.04,0.784,18.0,35.4,26.3,0.0,0.0,1.0,12.5,25.0,2.0,14.4,69.0,1.0,9.9,0.0,0.0,8.5,5.0,1.0,4.5
51,45.6,0.17925057380284215,0.155,0.04,0.805,14.4,36.0,30.0,0.0,0.0,1.0,12.8,25.0,2.0,15.6,70.0,0.0,9.8,0.0,0.0,7.4,4.0,2.0,4.5
52,49.0,0.19180211545140385,0.164,0.04,0.796,16.3,39.9,28.8,0.0,0.0,1.0,9.0,25.0,0.0,19.3,69.0,1.0,13.2,0.0,0.0,7.5,5.0,3.0,4.5
53,49.5,0.1734456970051756,0.156,0.04,0.804,15.5,40.2,33.7,0.0,0.0,1.0,9.4,25.0,0.0,20.1,70.0,1.0,11.6,0.0,0.0,8.4,4.0,3.0,4.5
54,48.3,0.20141709145806744,0.178,0.07,0.752,17.8,38.8,31.9,0.0,0.0,1.0,10.3,25.0,4.0,19.0,70.0,2.0,11.5,0.0,0.0,7.5,4.0,1.0,4.5
55,50.4,0.15517088065828868,0.147,0.06,0.793,13.7,41.4,33.2,0.0,0.0,1.0,9.7,25.0,4.0,20.4,72.0,0.0,11.8,0.0,0.0,8.5,2.0,2.0,4.5
56,52.2,0.21281115037544313,0.199,0.04,0.761,19.9,43.1,30.6,0.0,0.0,1.0,14.9,25.0,3.0,17.8,71.0,1.0,12.0,0.0,0.0,7.5,3.0,0.0,4.5
57,54.1,0.2063992050331096,0.20800000000000002,0.03,0.762,19.9,44.3,32.4,0.0,0.0,1.0,15.1,24.2,0.0,18.6,68.8,1.0,13.1,3.0,1.0,7.3,3.0,1.0,4.5
58,52.8,0.21167809559834527,0.207,0.1,0.693,20.5,42.3,34.3,0.0,0.0,1.0,14.6,24.0,4.0,18.2,68.0,3.0,12.6,4.0,2.0,7.4,3.0,1.0,4.5
59,53.2,0.22057351269010178,0.21200000000000002,0.1,0.688,21.0,42.2,32.3,0.0,0.0,1.0,14.3,24.0,4.0,17.8,67.0,3.0,14.1,5.0,1.0,7.0,3.0,2.0,4.5
60,57.0,0.17320271277484492,0.178,0.11000000000000001,0.712,17.1,47.4,34.7,0.0,0.0,1.0,14.3,24.0,4.0,21.1,67.0,1.0,12.9,4.0,2.0,8.7,4.0,4.0,4.5
61,54.1,0.25112161869737326,0.238,0.07,0.692,25.4,44.5,31.6,0.0,0.0,1.0,14.4,24.0,2.0,19.3,63.0,4.0,12.5,6.0,1.0,7.9,6.0,0.0,4.5
62,56.5,0.22224895023987196,0.22800000000000004,0.11000000000000001,0.662,22.4,46.8,31.8,0.0,0.0,1.0,13.9,24.0,2.0,21.0,61.0,2.0,13.1,7.0,5.0,8.5,7.0,2.0,4.5
63,56.5,0.26593222308772696,0.23900000000000002,0.05,0.711,27.4,46.9,29.0,0.0,0.0,1.0,14.4,24.0,2.0,20.9,58.0,1.0,13.1,9.0,2.0,8.1,8.0,0.0,4.5
64,55.5,0.2737693999025866,0.26,0.06,0.68,27.9,44.7,29.8,0.0,0.0,1.0,14.2,24.0,4.0,21.3,56.0,0.0,12.2,10.0,1.0,7.8,9.0,1.0,4.5
65,53.4,0.28097126594335137,0.257,0.07,0.673,27.5,43.1,27.5,0.0,0.0,1.0,14.4,24.0,4.0,20.2,54.0,2.0,11.6,11.0,1.0,7.2,10.0,0.0,4.5
66,54.6,0.27510033807497036,0.259,0.03,0.711,26.6,43.0,27.3,0.0,0.0,1.0,13.7,24.0,0.0,21.9,52.0,0.0,12.0,12.0,1.0,7.0,11.0,2.0,4.5
67,54.5,0.27262514932129345,0.257,0.03,0.713,26.2,43.0,27.4,0.0,0.0,1.0,14.4,24.1,0.0,21.2,49.9,1.0,11.6,13.0,0.0,7.3,12.0,2.0,4.5
68,61.1,0.3793807411235096,0.369,0.08,0.551,39.4,38.0,26.7,0.0,0.0,1.0,12.7,24.0,3.0,28.5,48.0,3.0,12.0,14.0,1.0,7.9,13.0,1.0,4.5
69,62.3,0.39196168833363865,0.37,0.06,0.57,39.2,39.2,21.9,0.0,0.0,1.0,12.7,24.0,3.0,28.8,38.0,1.0,12.7,20.0,2.0,8.1,17.0,0.0,4.5
70,63.4,0.3804790960858577,0.365,0.07,0.5650000000000001,38.8,41.4,22.4,0.0,0.0,1.0,13.9,24.0,3.0,28.9,28.0,1.0,11.6,26.0,1.0,9.0,21.0,2.0,4.5
71,62.7,0.3143655466444772,0.303,0.08,0.617,32.6,45.9,25.6,0.0,0.0,1.0,12.9,24.0,4.0,30.5,18.0,1.0,11.7,32.0,3.0,7.6,25.0,0.0,4.5
72,60.3,0.28700648597498013,0.225,0.08,0.695,30.3,45.6,30.3,0.0,0.0,1.0,12.2,24.0,4.0,26.7,14.0,2.0,14.0,38.0,1.0,7.4,23.0,1.0,4.5
73,62.8,0.29196277818513194,0.236,0.05,0.714,31.5,49.9,27.0,0.0,0.0,1.0,12.2,24.0,4.0,28.3,14.0,1.0,14.1,40.0,0.0,8.2,21.0,0.0,4.5
74,61.9,0.2613574818524857,0.21200000000000002,0.06,0.728,29.0,49.2,33.6,0.0,0.0,1.0,12.6,24.0,1.0,27.9,13.0,2.0,14.2,43.0,1.0,7.2,19.0,2.0,4.5
75,59.2,0.27811757233518086,0.221,0.04,0.739,30.0,46.3,32.1,0.0,0.0,1.0,11.7,24.0,1.0,25.9,14.0,2.0,13.5,44.0,1.0,8.1,17.0,0.0,4.5
76,57.4,0.2732606088961229,0.187,0.07,0.743,28.3,46.7,28.7,0.0,0.0,1.0,13.8,24.0,2.0,23.8,14.0,3.0,13.1,46.0,1.0,6.7,15.0,1.0,4.5
77,56.6,0.2737847936108299,0.184,0.06,0.756,28.2,45.9,29.2,0.0,0.0,1.0,13.2,24.0,2.0,23.4,12.0,1.0,13.0,50.0,2.0,7.0,13.0,1.0,4.5
78,58.5,0.2514343824871851,0.165,0.04,0.795,26.2,47.5,30.7,0.0,0.0,1.0,12.8,24.0,2.0,26.0,10.0,1.0,13.1,54.0,1.0,6.6,11.0,0.0,4.5
79,58.3,0.24241441525475102,0.157,0.07,0.773,25.6,48.0,32.2,0.0,0.0,1.0,13.9,24.0,2.0,24.3,10.0,2.0,12.8,56.0,1.0,7.3,9.0,2.0,4.5
80,61.6,0.24074118608695788,0.166,0.05,0.784,26.3,53.8,29.5,0.0,0.0,1.0,11.8,24.0,4.0,32.2,11.0,0.0,11.6,57.0,1.0,6.0,7.0,0.0,4.5
81,63.4,0.1913431766052618,0.126,0.04,0.834,22.4,53.7,41.1,0.0,0.0,1.0,11.7,24.0,2.0,32.7,8.0,1.0,12.8,61.0,0.0,6.2,6.0,1.0,4.5
82,62.3,0.19505474583431964,0.132,0.02,0.8480000000000001,22.6,53.6,39.8,0.0,0.0,1.0,11.6,24.0,1.0,34.2,9.0,1.0,10.6,61.0,0.0,5.9,5.0,0.0,4.5
83,60.0,0.19238719991848824,0.125,0.05,0.825,21.8,49.8,42.0,0.0,0.0,1.0,12.6,24.0,2.0,31.5,9.0,2.0,11.1,62.0,0.0,4.8,4.0,1.0,4.5
84,62.7,0.2047253127944962,0.151,0.04,0.8089999999999999,23.0,53.4,36.1,0.0,0.0,1.0,12.4,24.0,4.0,34.3,10.0,0.0,11.5,62.0,0.0,4.5,3.0,0.0,4.5
85,58.0,0.1557907373775721,0.10200000000000001,0.05,0.8480000000000001,17.3,50.5,43.4,0.0,0.0,1.0,11.9,24.5,4.0,31.3,7.0,1.0,10.2,66.0,0.0,4.6,1.5,0.0,4.5
86,60.5,0.1517507231171205,0.096,0.053000000000000005,0.851,16.7,53.1,40.7,0.0,0.0,1.0,10.8,25.0,4.0,33.6,8.0,1.0,10.7,65.3,0.0,5.4,0.7,1.0,4.5
87,60.1,0.14521148174519033,0.097,0.043,0.86,16.3,52.8,43.4,0.0,0.0,1.0,11.7,25.0,3.0,32.4,7.0,0.0,11.0,67.0,1.0,5.0,1.0,1.0,4.5
88,50.9,0.15494614201741247,0.11399999999999999,0.043,0.843,15.9,42.2,44.7,0.0,0.0,1.0,10.2,25.0,3.0,26.0,5.0,0.0,10.9,68.0,1.0,3.8,1.0,1.0,4.5
89,49.5,0.13648292153857464,0.07,0.083,0.8470000000000001,12.5,42.3,36.9,0.0,0.0,1.0,9.8,25.0,7.099999999999998,24.4,6.0,2.0,11.1,67.0,1.0,4.2,1.0,1.0,4.5
90,51.0,0.14659035721903718,0.091,0.072,0.837,13.6,44.8,34.5,0.0,0.0,1.0,9.7,25.0,6.549999999999999,26.4,8.0,2.0,11.8,65.0,0.0,3.1,1.0,1.0,4.5
91,51.1,0.17745373264630349,0.12,0.08299999999999999,0.797,16.8,43.7,34.5,0.0,0.0,1.0,9.9,25.0,5.0,24.5,7.0,0.0,12.1,66.0,3.0,4.6,1.0,1.0,4.5
92,43.0,0.17525691703567542,0.10600000000000001,0.124,0.77,15.2,38.5,33.0,0.0,0.0,1.0,12.6,24.5,6.0,17.7,7.9,2.0,9.2,66.0,4.0,3.5,0.6,1.0,4.5
93,42.2,0.14974631943875866,0.07400000000000001,0.054000000000000006,0.8720000000000001,12.1,37.9,30.7,0.0,0.0,1.0,10.6,25.0,7.0,17.9,5.9,1.0,9.5,67.1,2.0,4.2,1.0,1.0,4.5
94,41.8,0.14945625811431484,0.074,0.038,0.8880000000000001,11.9,37.2,30.6,0.0,0.0,1.0,10.9,25.0,4.0,18.3,4.3,1.0,8.6,68.7,2.0,4.0,1.0,0.0,4.5
95,42.4,0.3020566396657316,0.195,0.09,0.715,24.0,35.0,20.6,0.0,0.0,1.0,10.4,25.0,0.0,19.0,5.4,2.0,9.8,68.6,7.0,3.2,0.0,0.0,4.5
