t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
0,34.2,1.0,0.326,0.0,0.674,34.2,0.0,0.0,0.0,0.0,1.0,9.0,24.0,0.0,8.5,25.0,0.0,7.2,25.0,0.0,9.5,25.0,0.0,4.5
1,30.7,1.0,0.46799999999999997,0.0,0.532,30.7,0.0,0.0,0.0,0.0,1.0,8.2,18.9,0.0,7.7,27.3,0.0,7.2,19.6,0.0,7.6,18.1,0.0,4.5
2,35.0,1.0,0.642,0.0,0.358,35.0,0.0,0.0,0.0,0.0,1.0,9.2,13.1,0.0,9.1,29.8,0.0,7.3,14.8,0.0,9.4,13.0,0.0,4.5
3,34.2,0.958845955401188,0.714,0.0,0.286,32.8,1.4,0.0,0.0,0.0,1.0,10.3,10.3,0.0,8.1,32.0,0.0,7.9,10.3,0.0,7.9,6.6,0.0,4.5
4,34.2,0.8223434407995119,0.708,0.0,0.292,29.1,5.2,1.3,0.0,0.0,1.0,8.3,11.2,0.0,9.6,34.1,0.0,7.3,6.8,0.0,9.0,2.3,0.0,4.5
5,34.2,0.6426409505677799,0.716,0.0,0.284,25.2,9.3,4.9,0.0,0.004,0.9960000000000001,8.6,13.5,0.0,9.1,32.2,0.0,7.7,3.2,0.0,8.8,0.5,0.0,4.5
6,34.1,0.5355839244185109,0.705,0.0,0.29500000000000004,23.1,11.9,8.4,0.0,0.019,0.9810000000000001,8.2,16.1,0.0,9.9,31.4,0.0,6.7,1.6,0.0,9.3,0.5,0.0,4.5
7,34.7,0.4944344405679214,0.698,0.0,0.302,23.0,14.1,9.5,0.0,0.041999999999999996,0.958,8.1,18.9,0.0,9.3,28.6,0.0,7.4,0.7,0.0,9.9,1.2,0.0,4.5
8,31.3,0.5337708129763533,0.6689999999999999,0.0,0.331,24.2,9.4,11.8,0.0,0.071,0.9289999999999999,9.6,22.5,0.0,10.5,30.7,0.0,5.0,0.1,0.0,6.2,0.8,0.0,4.5
9,30.4,0.5767105965631207,0.655,0.0,0.34500000000000003,23.0,9.2,7.6,0.0,0.099,0.901,8.1,24.8,0.0,10.2,28.0,0.0,5.7,0.0,0.0,6.4,1.2,0.0,4.5
10,28.3,0.5755647868998318,0.651,0.0,0.34900000000000003,21.6,8.2,7.7,0.0,0.151,0.849,8.0,27.9,0.0,9.9,24.9,0.0,5.2,0.0,0.0,5.2,0.7,0.0,4.5
11,31.3,0.5799709209803824,0.651,0.0,0.34900000000000003,22.9,9.7,6.9,0.0,0.267,0.733,8.4,31.5,0.0,10.0,21.7,0.0,6.4,0.0,0.0,6.5,0.7,0.0,4.5
12,35.2,0.6103817373311945,0.7150000000000001,0.0,0.28500000000000003,27.4,9.2,8.3,0.0,0.441,0.5589999999999999,13.0,35.4,0.0,10.5,15.3,0.0,5.6,0.0,0.0,6.1,0.6,0.0,4.5
13,37.1,0.5609768622527642,0.727,0.0,0.273,26.0,12.2,8.1,0.0,0.602,0.398,13.1,36.6,0.0,11.0,12.5,0.0,6.8,0.0,0.0,6.2,0.4,0.0,4.5
14,37.6,0.5322589728795514,0.743,0.0,0.257,26.5,12.8,10.5,0.0,0.749,0.251,13.1,37.2,0.0,11.2,8.2,0.0,6.7,0.0,0.0,6.6,0.6,0.0,4.5
15,38.3,0.4866902569767326,0.756,0.0,0.244,24.7,14.9,11.5,0.0,0.866,0.134,14.0,37.7,0.0,10.9,4.9,0.0,7.0,0.0,0.0,6.4,0.3,0.0,4.5
16,38.1,0.4800868371204059,0.756,0.0,0.244,25.3,14.8,12.9,0.0,0.923,0.077,13.0,37.4,0.0,13.0,3.0,0.0,6.6,0.0,0.0,5.5,0.2,0.0,4.5
17,37.9,0.4669142389285398,0.754,0.0,0.246,24.0,16.1,12.6,0.0,0.9559999999999998,0.044,12.9,37.5,0.0,12.3,1.0,0.0,7.5,0.0,0.0,5.2,0.0,0.0,4.5
18,37.3,0.44765242867759253,0.755,0.0,0.24500000000000002,23.2,16.9,13.3,0.001,0.9719999999999999,0.027000000000000003,12.3,36.8,0.0,13.0,0.5,0.0,6.7,0.0,0.0,5.3,0.0,0.0,4.5
19,37.2,0.5264872493721304,0.78,0.001,0.219,28.0,13.5,12.6,0.004,0.9960000000000001,0.0,13.3,35.3,0.5499999999999989,12.3,0.3,0.0,6.6,0.0,0.0,5.0,0.0,0.0,4.5
20,36.8,0.44964067006487163,0.76,0.004,0.236,22.3,16.8,11.2,0.015,0.984,0.001,9.0,33.0,2.0,13.3,1.4,0.0,8.9,0.0,0.0,5.6,0.0,0.0,4.5
21,37.1,0.4166132888215269,0.742,0.013000000000000001,0.24500000000000002,21.8,17.8,14.3,0.05800000000000001,0.9369999999999999,0.005,9.2,35.0,4.099999999999998,14.9,0.9,0.0,8.2,0.0,0.0,4.8,0.0,0.0,4.5
22,36.5,0.37210922620381237,0.718,0.034,0.248,19.5,20.4,14.4,0.146,0.836,0.018,9.0,37.2,6.549999999999999,13.9,0.2,0.0,8.4,0.0,0.0,5.2,0.0,0.0,4.5
23,38.6,0.2431417553434921,0.701,0.067,0.23199999999999998,13.9,26.4,18.7,0.18,0.768,0.052000000000000005,10.5,40.4,10.099999999999998,13.5,0.0,0.0,9.2,0.0,0.0,5.4,0.0,0.0,4.5
24,42.3,0.3392998963853079,0.718,0.086,0.196,23.1,25.4,20.2,0.23900000000000002,0.642,0.119,16.1,44.3,13.549999999999999,12.7,0.0,0.0,8.6,0.0,0.0,4.9,0.0,0.0,4.5
25,44.2,0.30583127552155526,0.7230000000000001,0.118,0.159,21.2,28.5,19.9,0.28700000000000003,0.508,0.205,15.7,43.4,16.099999999999998,13.8,0.0,0.0,8.6,0.0,0.0,6.1,0.0,0.0,4.5
26,43.1,0.30159907359513577,0.745,0.135,0.12,21.5,27.5,22.6,0.326,0.36,0.314,15.6,41.1,16.65,13.4,0.0,0.0,8.9,0.0,0.0,5.2,0.0,0.0,4.5
