t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_battery_cars_0,frac_battery_cars_1,frac_battery_cars_2,frac_battery_cars_3,frac_battery_cars_4,frac_battery_cars_5,frac_battery_cars_6,frac_battery_cars_7,frac_battery_cars_8,frac_battery_cars_9,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,num_trip_requests_4,num_cars_region_4,num_charging_cars_region_4,trial
0,11.0,0.718944099378882,0.395,-0.045,0.0,0.6499999999999999,13.0,1.5,4.0,0.0,0.2,0.335,0.355,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,6.5,0.0,0.5,32.0,0.0,3.5,31.5,0.0,0.5
1,11.5,0.7708333333333333,0.3,0.03,0.0,0.67,10.0,2.0,0.5,0.0,0.21000000000000002,0.335,0.37,0.085,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,4.5,0.0,0.0,3.5,7.5,0.0,1.5,33.5,0.0,0.5,31.5,0.0,0.5
2,15.5,0.7696078431372549,0.265,0.035,0.0,0.7,13.5,2.5,1.5,0.0,0.21000000000000002,0.355,0.36,0.07500000000000001,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,6.5,0.0,0.0,3.0,7.0,0.0,1.5,35.5,0.0,3.0,35.0,0.0,0.5
3,12.5,0.7250000000000001,0.26,0.035,0.0,0.7050000000000001,10.5,2.0,2.5,0.0,0.21000000000000002,0.355,0.38,0.055,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,0.0,0.0,4.0,9.5,0.0,1.5,35.0,0.0,3.5,35.0,0.0,0.5
4,13.5,0.6869747899159664,0.23,0.025,0.0,0.745,10.5,3.0,2.0,0.0,0.21000000000000002,0.355,0.38,0.055,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,6.5,0.0,0.0,4.0,8.0,0.0,1.5,36.5,0.0,1.0,36.5,0.0,0.5
5,13.5,0.7166666666666667,0.24,-0.01,0.0,0.77,11.5,3.5,1.5,0.0,0.21500000000000002,0.355,0.38499999999999995,0.045,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4.5,0.0,0.0,3.5,8.0,0.0,3.5,37.0,0.0,1.5,40.5,0.0,0.5
6,13.5,0.6875,0.21000000000000002,0.01,0.0,0.78,9.5,4.0,3.5,0.0,0.21500000000000002,0.36,0.39499999999999996,0.03,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,5.5,0.0,0.0,4.0,7.0,0.0,1.5,35.5,0.0,2.0,42.5,0.0,0.5
7,11.5,0.625,0.20500000000000002,-0.02,0.0,0.815,9.0,4.0,2.0,0.0,0.21500000000000002,0.365,0.395,0.025,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,6.0,0.5,0.0,3.0,6.0,0.0,0.0,34.5,0.0,1.5,44.0,0.0,0.5
8,11.0,0.5142857142857142,0.2,-0.004999999999999999,0.0,0.8049999999999999,7.5,4.5,2.5,0.0,0.21500000000000002,0.365,0.4,0.02,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,5.0,0.0,0.0,1.5,5.0,0.0,2.5,35.5,0.0,1.5,44.0,0.0,0.5
9,16.0,0.6746411483253588,0.21500000000000002,-0.009999999999999998,0.0,0.7949999999999999,13.5,5.0,2.0,0.0,0.21500000000000002,0.375,0.4,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,5.0,0.0,0.0,6.5,6.0,0.0,1.5,35.0,0.0,2.0,45.5,0.0,0.5
10,14.0,0.3536231884057971,0.2,0.005,0.0,0.7949999999999999,6.0,9.0,4.0,0.0,0.21500000000000002,0.38,0.4,0.005,0.0,0.0,0.0,0.0,0.0,1.5,0.5,0.0,6.0,0.0,0.0,5.0,2.0,0.0,0.5,35.5,0.0,1.0,45.0,0.0,0.5
11,14.0,0.4880952380952381,0.2,0.020000000000000004,0.0,0.78,11.0,4.5,7.0,0.005,0.21000000000000002,0.39,0.39,0.005,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,4.5,0.0,0.0,4.0,2.5,0.0,2.5,36.0,0.0,2.5,46.5,0.0,0.5
12,6.5,0.5166666666666666,0.18,-0.005,0.005,0.8200000000000001,5.5,2.5,2.5,0.005,0.21500000000000002,0.385,0.39,0.005,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,2.0,0.0,0.0,2.0,2.5,0.0,0.5,36.5,0.95,1.5,46.0,0.0,0.5
13,3.5,0.8,0.14,0.009999999999999998,0.005,0.845,5.0,0.0,1.0,0.005,0.22000000000000003,0.375,0.395,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,1.5,0.0,1.0,3.0,0.0,0.5,37.0,0.95,0.0,45.5,0.0,0.5
