t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_battery_cars_0,frac_battery_cars_1,frac_battery_cars_2,frac_battery_cars_3,frac_battery_cars_4,frac_battery_cars_5,frac_battery_cars_6,frac_battery_cars_7,frac_battery_cars_8,frac_battery_cars_9,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,num_trip_requests_4,num_cars_region_4,num_charging_cars_region_4,trial
0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,37.5,0.0,2.0,17.0,0.0,0.5,11.5,0.0,3.5,28.0,0.0,0.5
1,12.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.0,0.0,5.0,37.5,0.0,3.5,17.0,0.0,1.5,11.5,0.0,0.5,28.0,0.0,0.5
2,16.5,0.015625,0.005,0.0,0.0,0.995,0.5,16.5,11.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.0,0.0,7.5,37.5,0.0,3.0,17.0,0.0,1.5,11.5,0.0,3.0,28.0,0.0,0.5
3,13.5,0.0,0.005,0.0,0.0,0.995,0.0,13.5,16.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,0.0,3.5,37.5,0.0,4.0,17.0,0.0,1.5,11.5,0.0,3.5,28.0,0.0,0.5
4,14.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,13.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.0,0.0,7.0,37.5,0.0,4.0,17.0,0.0,1.5,11.5,0.0,1.0,28.0,0.0,0.5
5,14.5,0.0,0.0,0.0,0.0,1.0,0.0,14.5,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,5.0,37.5,0.0,3.5,17.0,0.0,3.5,11.5,0.0,1.5,28.0,0.0,0.5
6,14.5,0.0,0.0,0.0,0.0,1.0,0.0,14.5,14.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.0,0.0,6.5,37.5,0.0,4.0,17.0,0.0,1.5,11.5,0.0,2.0,28.0,0.0,0.5
7,11.5,0.0,0.0,0.0,0.0,1.0,0.0,11.5,14.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,6.0,37.5,0.0,3.0,17.0,0.0,0.0,11.5,0.0,1.5,28.0,0.0,0.5
8,11.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,11.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.0,0.0,5.0,37.5,0.0,1.5,17.0,0.0,2.5,11.5,0.0,1.5,28.0,0.0,0.5
9,16.5,0.0,0.0,0.0,0.0,1.0,0.0,16.5,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,5.5,37.5,0.0,6.5,17.0,0.0,1.5,11.5,0.0,2.0,28.0,0.0,0.5
10,14.5,0.0,0.0,0.0,0.0,1.0,0.0,14.5,16.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.0,0.0,6.5,37.5,0.0,5.0,17.0,0.0,0.5,11.5,0.0,1.0,28.0,0.0,0.5
11,14.5,0.0,0.0,0.0,0.0,1.0,0.0,14.5,14.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.0,0.0,5.0,37.5,0.0,4.0,17.0,0.0,2.5,11.5,0.0,2.5,28.0,0.0,0.5
12,7.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,14.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.0,0.0,2.5,37.5,0.0,2.0,17.0,0.0,0.5,11.5,0.0,1.5,28.0,0.0,0.5
13,4.5,0.0,0.0,0.0,0.0,1.0,0.0,4.5,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,37.5,0.0,1.0,17.0,0.0,0.5,11.5,0.0,0.0,28.0,0.0,0.5
14,6.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.5,37.5,0.0,1.5,17.0,0.0,0.0,11.5,0.0,2.0,28.0,0.0,0.5
15,5.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.5,37.5,0.0,1.0,17.0,0.0,0.0,11.5,0.0,0.5,28.0,0.0,0.5
