t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_battery_cars_0,frac_battery_cars_1,frac_battery_cars_2,frac_battery_cars_3,frac_battery_cars_4,frac_battery_cars_5,frac_battery_cars_6,frac_battery_cars_7,frac_battery_cars_8,frac_battery_cars_9,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,num_trip_requests_4,num_cars_region_4,num_charging_cars_region_4,trial
0,12.0,0.8421052631578947,0.41000000000000003,0.485,0.105,0.0,12.0,2.0,1.0,0.725,0.195,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.9,2.0,12.0,4.75,0.5,8.0,3.95,3.5,11.5,3.95,0.5
1,12.0,0.8654970760233918,0.29000000000000004,0.595,0.11499999999999999,0.0,12.0,2.0,0.0,0.72,0.17,0.08499999999999999,0.02,0.005,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,5.0,3.0,1.95,3.5,10.0,4.0,1.5,5.0,0.95,0.5,13.0,5.95,0.5
2,16.5,0.8661764705882353,0.28500000000000003,0.63,0.08499999999999999,0.0,16.0,1.5,1.0,0.705,0.16999999999999998,0.09,0.01,0.02,0.005,0.0,0.0,0.0,0.0,1.5,0.0,0.0,7.5,3.0,2.8499999999999996,3.0,8.0,1.0,1.5,11.0,3.0,3.0,26.5,4.8,0.5
3,13.5,0.8038277511961722,0.28,0.685,0.035,0.0,12.0,1.5,1.5,0.64,0.22999999999999998,0.095,0.01,0.02,0.005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.5,8.5,1.95,4.0,4.0,0.0,1.5,9.0,1.95,3.5,7.5,0.95,0.5
4,14.0,0.74375,0.245,0.665,0.09,0.0,11.5,2.5,1.5,0.64,0.225,0.1,0.01,0.02,0.005,0.0,0.0,0.0,0.0,0.5,1.5,2.8499999999999996,7.0,15.5,3.95,4.0,16.5,3.8499999999999996,1.5,2.5,0.95,1.0,3.5,1.9,0.5
5,14.5,0.9070175438596491,0.29000000000000004,0.635,0.075,0.0,15.5,1.0,0.5,0.63,0.2,0.13,0.02,0.015,0.0,0.005,0.0,0.0,0.0,1.0,1.5,0.0,5.0,11.5,3.9,3.5,12.5,1.0,3.5,10.5,1.0,1.5,8.5,4.75,0.5
6,14.5,1.0,0.29,0.675,0.035,0.0,15.5,0.0,0.0,0.635,0.21000000000000002,0.12,0.02,0.01,0.0,0.005,0.0,0.0,0.0,0.5,1.5,1.95,6.5,14.0,0.95,4.0,8.0,0.0,1.5,4.5,0.95,2.0,14.5,1.9,0.5
7,11.5,0.9,0.27,0.645,0.08499999999999999,0.0,10.5,1.0,0.0,0.66,0.20500000000000002,0.10500000000000001,0.015,0.01,0.0,0.005,0.0,0.0,0.0,1.0,3.5,1.95,6.0,8.5,3.0,3.0,3.0,2.9,0.0,8.5,0.95,1.5,12.5,1.95,0.5
8,11.0,0.8776223776223776,0.245,0.7,0.055,0.0,10.5,1.0,0.5,0.62,0.26,0.09,0.015,0.01,0.0,0.005,0.0,0.0,0.0,0.5,1.5,0.0,5.0,5.5,1.0,1.5,5.5,1.9,2.5,15.5,2.8499999999999996,1.5,18.0,2.0,0.5
9,16.5,0.8006535947712419,0.25,0.615,0.135,0.0,14.0,3.0,0.5,0.595,0.28,0.08499999999999999,0.025,0.01,0.0,0.005,0.0,0.0,0.0,1.0,3.0,3.8499999999999996,5.5,10.5,4.0,6.5,6.5,2.9,1.5,8.0,2.95,2.0,6.5,2.95,0.5
