t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_battery_cars_0,frac_battery_cars_1,frac_battery_cars_2,frac_battery_cars_3,frac_battery_cars_4,frac_battery_cars_5,frac_battery_cars_6,frac_battery_cars_7,frac_battery_cars_8,frac_battery_cars_9,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,num_trip_requests_4,num_cars_region_4,num_charging_cars_region_4,num_trip_requests_5,num_cars_region_5,num_charging_cars_region_5,trial
0,9.0,1.0,0.09,0.01,0.0,0.9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.992,0.5,15.6,0.0,0.4,15.8,0.0,3.7,15.6,0.0,2.3,16.0,0.0,1.1,16.0,0.0,1.0,20.0,0.0,4.5
1,8.1,1.0,0.166,0.02,0.0,0.8140000000000001,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.9890000000000001,0.0,14.8,0.0,0.1,15.1,0.0,3.8,11.5,0.0,2.2,13.7,0.0,0.9,15.0,0.0,1.1,19.4,0.0,4.5
2,8.1,1.0,0.174,0.025,0.0,0.8009999999999999,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.982,0.2,14.3,0.0,0.6,14.9,0.0,3.9,9.3,0.0,2.1,13.1,0.0,0.5,15.1,0.0,0.8,21.5,0.0,4.5
3,8.2,1.0,0.174,0.031,0.0,0.795,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.977,0.3,13.9,0.0,0.3,14.0,0.0,2.9,8.3,0.0,2.2,12.8,0.0,1.1,16.0,0.0,1.4,22.7,0.0,4.5
4,9.1,0.990909090909091,0.184,0.037,0.0,0.779,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027000000000000003,0.9730000000000001,0.0,13.4,0.0,0.5,13.2,0.0,3.6,7.8,0.0,2.8,12.5,0.0,0.6,16.0,0.0,1.6,24.0,0.0,4.5
5,8.0,1.0,0.185,0.035,0.0,0.78,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.967,0.1,13.0,0.0,0.2,12.4,0.0,3.8,7.5,0.0,2.1,11.2,0.0,0.8,16.6,0.0,1.0,25.1,0.0,4.5
6,7.3,1.0,0.174,0.041999999999999996,0.0,0.784,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.9629999999999999,0.1,12.6,0.0,0.1,11.8,0.0,3.3,5.9,0.0,2.0,10.9,0.0,0.7,17.5,0.0,1.1,26.8,0.0,4.5
7,7.8,0.9846153846153847,0.162,0.046,0.0,0.792,7.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.9560000000000001,0.2,12.1,0.0,0.4,11.5,0.0,2.6,5.4,0.0,2.2,10.8,0.0,0.9,18.3,0.0,1.5,28.3,0.0,4.5
8,9.9,0.955952380952381,0.182,0.036,0.0,0.782,9.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.952,0.1,11.5,0.0,0.1,10.7,0.0,4.9,5.2,0.0,2.5,10.8,0.0,1.2,18.7,0.0,1.1,29.6,0.0,4.5
9,7.6,0.9033333333333333,0.177,0.034999999999999996,0.0,0.788,6.9,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05600000000000001,0.944,0.2,11.0,0.0,0.5,10.5,0.0,3.6,3.7,0.0,1.4,10.3,0.0,0.8,18.9,0.0,1.1,30.1,0.0,4.5
