t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,num_trip_requests_4,num_cars_region_4,num_charging_cars_region_4,trial
0,0.6,0.95,0.12000000000000002,0.0,0.8800000000000001,0.5,0.0,0.1,0.0,0.0,1.0,0.0,2.1,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.6,1.1,0.0,4.5
1,1.0,0.4,0.18,0.0,0.8200000000000001,0.1,0.0,0.9,0.0,0.0,1.0,0.0,2.1,0.0,0.0,2.1,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.1,0.0,4.5
2,1.5,0.1,0.1,0.0,0.9,0.0,0.0,1.5,0.0,0.0,1.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.5,0.0,0.0,4.5
3,1.4,0.2,0.05,0.0,0.95,0.0,0.0,1.4,0.0,0.0,1.0,0.0,2.8,0.0,0.0,2.7,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.4,0.0,0.0,4.5
4,1.2,0.2,0.01,0.0,0.99,0.0,0.0,1.2,0.0,0.0,1.0,0.0,2.8,0.0,0.0,2.7,0.0,0.0,2.4,0.0,0.0,2.0,0.0,1.2,0.0,0.0,4.5
5,1.3,0.1,0.0,0.0,1.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,2.8,0.0,0.0,2.7,0.0,0.0,2.5,0.0,0.0,2.0,0.0,1.3,0.0,0.0,4.5
6,1.4,0.2,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0.0,1.0,0.0,2.8,0.0,0.0,2.7,0.0,0.0,2.5,0.0,0.0,2.0,0.0,1.4,0.0,0.0,4.5
7,1.1,0.1,0.0,0.0,1.0,0.0,0.0,1.1,0.0,0.0,1.0,0.0,2.8,0.0,0.0,2.7,0.0,0.0,2.5,0.0,0.0,2.0,0.0,1.1,0.0,0.0,4.5
8,1.2,0.3,0.0,0.0,1.0,0.0,0.0,1.2,0.0,0.0,1.0,0.0,2.8,0.0,0.0,2.7,0.0,0.0,2.5,0.0,0.0,2.0,0.0,1.2,0.0,0.0,4.5
9,1.8,0.0,0.0,0.0,1.0,0.0,0.0,1.8,0.0,0.0,1.0,0.0,2.8,0.0,0.0,2.7,0.0,0.0,2.5,0.0,0.0,2.0,0.0,1.8,0.0,0.0,4.5
10,1.3,0.2,0.01,0.0,0.99,0.0,0.0,1.3,0.0,0.0,1.0,0.0,2.8,0.0,0.0,2.7,0.0,0.0,2.4,0.0,0.0,2.0,0.0,1.3,0.0,0.0,4.5
11,1.4,0.3,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0.0,1.0,0.0,2.8,0.0,0.0,2.7,0.0,0.0,2.5,0.0,0.0,2.0,0.0,1.4,0.0,0.0,4.5
12,1.0,1.0,0.2,0.0,0.8,1.0,0.0,0.0,0.0,0.0,1.0,0.3,1.8,0.0,0.3,2.7,0.0,0.4,2.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.5
13,1.1,1.0,0.2,0.0,0.8,1.1,0.0,0.0,0.0,0.0,1.0,0.2,1.6,0.0,0.4,2.7,0.0,0.4,2.4,0.0,0.1,2.4,0.0,0.0,0.0,0.0,4.5
14,0.6,1.0,0.15,0.0,0.85,0.6,0.0,0.0,0.0,0.0,1.0,0.2,1.6,0.0,0.3,2.7,0.0,0.1,2.2,0.0,0.0,2.6,0.0,0.0,0.0,0.0,4.5
15,0.9,1.0,0.19,0.0,0.8099999999999999,0.9,0.0,0.0,0.0,0.0,1.0,0.0,1.3,0.0,0.0,2.5,0.0,0.9,2.5,0.0,0.0,2.7,0.0,0.0,0.0,0.0,4.5
16,1.0,1.0,0.2,0.0,0.8,1.0,0.0,0.0,0.0,0.0,1.0,0.1,1.1,0.0,0.4,2.7,0.0,0.5,2.5,0.0,0.0,2.7,0.0,0.0,0.0,0.0,4.5
17,1.1,1.0,0.21000000000000002,0.0,0.79,1.1,0.0,0.0,0.0,0.0,1.0,0.1,1.4,0.0,0.7,2.5,0.0,0.3,2.3,0.0,0.0,2.8,0.0,0.0,0.0,0.0,4.5
18,1.3,1.0,0.22999999999999998,0.0,0.77,1.3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,2.4,0.0,0.7,2.5,0.0,0.1,3.1,0.0,0.0,0.0,0.0,4.5
19,1.4,0.7,0.19,0.0,0.8099999999999999,0.9,0.0,0.5,0.0,0.0,1.0,0.5,1.0,0.0,0.4,2.4,0.0,0.5,2.5,0.0,0.0,3.1,0.0,0.0,0.0,0.0,4.5
20,1.3,0.8,0.2,0.0,0.8,1.0,0.0,0.3,0.0,0.0,1.0,0.3,1.2,0.0,0.3,2.2,0.0,0.5,2.5,0.0,0.2,3.1,0.0,0.0,0.0,0.0,4.5
21,0.6,0.9,0.17,0.0,0.8300000000000001,0.5,0.0,0.1,0.0,0.0,1.0,0.2,1.3,0.0,0.2,2.2,0.0,0.2,2.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.5
22,0.8,1.0,0.19,0.0,0.8099999999999999,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.0,0.6,2.2,0.0,0.2,2.5,0.0,0.0,3.3,0.0,0.0,0.1,0.0,4.5
23,0.7,1.0,0.16999999999999998,0.0,0.8300000000000001,0.7,0.0,0.0,0.0,0.0,1.0,0.0,1.1,0.0,0.2,2.1,0.0,0.5,2.3,0.0,0.0,3.4,0.0,0.0,0.1,0.0,4.5
24,0.5,0.9,0.14,0.0,0.86,0.4,0.0,0.1,0.0,0.0,1.0,0.0,1.6,0.0,0.0,2.3,0.0,0.0,2.4,0.0,0.5,2.6,0.0,0.0,0.1,0.0,4.5
25,1.0,0.85,0.22000000000000003,0.0,0.78,0.8,0.0,0.2,0.0,0.0,1.0,0.0,1.9,0.0,0.0,2.6,0.0,0.0,2.4,0.0,1.0,1.6,0.0,0.0,0.1,0.0,4.5
26,1.1,0.6,0.22999999999999998,0.0,0.77,0.4,0.0,0.7,0.0,0.0,1.0,0.0,2.3,0.0,0.0,2.6,0.0,0.0,2.4,0.0,1.1,0.5,0.0,0.0,0.3,0.0,4.5
27,1.1,0.2,0.13,0.0,0.8700000000000001,0.0,0.0,1.1,0.0,0.0,1.0,0.0,2.5,0.0,0.0,3.1,0.0,0.0,2.4,0.0,1.1,0.1,0.0,0.0,0.6,0.0,4.5
28,1.2,0.2,0.12000000000000002,0.0,0.8800000000000001,0.0,0.0,1.2,0.0,0.0,1.0,0.0,2.6,0.0,0.0,3.1,0.0,0.0,2.4,0.0,1.2,0.0,0.0,0.0,0.7,0.0,4.5
29,1.4,0.1,0.11000000000000001,0.0,0.89,0.0,0.0,1.4,0.0,0.0,1.0,0.0,2.7,0.0,0.0,3.1,0.0,0.0,2.4,0.0,1.4,0.0,0.0,0.0,0.7,0.0,4.5
30,1.0,0.2,0.06000000000000001,0.0,0.9400000000000001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.9,0.0,0.0,3.1,0.0,0.0,2.7,0.0,1.0,0.0,0.0,0.0,0.7,0.0,4.5
