t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
0,16.9,0.4821596532122848,0.6833333333333333,0.0,0.31666666666666665,7.9,9.0,0.0,0.0,0.0,1.0,4.1,2.0,0.0,4.2,3.0,0.0,3.8,3.0,0.0,4.8,3.0,0.0,4.5
1,19.4,0.25960856536972154,0.925,0.0,0.075,6.9,16.1,4.7,0.0,0.0,1.0,5.2,0.8,0.0,5.8,3.7,0.0,4.6,1.4,0.0,3.8,1.1,0.0,4.5
2,17.3,0.13899319017419798,0.95,0.0,0.05,4.5,16.1,12.0,0.0,0.0,1.0,4.6,0.4,0.0,4.2,2.9,0.0,3.8,0.3,0.0,4.7,0.2,0.0,4.5
3,17.2,0.13791983429606341,1.0,0.0,0.0,4.5,16.0,12.3,0.0,0.008333333333333333,0.9916666666666666,4.9,0.2,0.0,4.7,1.3,0.0,3.4,0.1,0.0,4.2,0.1,0.0,4.5
4,17.2,0.1481628680427673,1.0,0.0,0.0,4.7,16.0,11.7,0.0,0.05833333333333333,0.9416666666666667,3.4,0.3,0.0,4.7,0.4,0.0,3.8,0.1,0.0,5.3,0.2,0.0,4.5
5,16.9,0.09430313520702537,0.975,0.0,0.025,2.9,15.6,13.9,0.0,0.14166666666666666,0.8583333333333332,4.5,0.5,0.0,4.5,0.0,0.0,3.3,0.0,0.0,4.6,0.0,0.0,4.5
6,17.9,0.07664833136183732,1.0,0.0,0.0,2.5,17.2,13.3,0.0,0.3,0.7,4.2,0.5,0.0,4.8,0.0,0.0,4.4,0.0,0.0,4.5,0.0,0.0,4.5
7,18.1,0.0806478557055201,1.0,0.0,0.0,2.7,17.4,14.5,0.0,0.4583333333333333,0.5416666666666667,5.2,0.4,0.0,5.6,0.0,0.0,2.2,0.0,0.0,5.1,0.0,0.0,4.5
8,17.4,0.13947998970532177,1.0,0.0,0.0,4.6,16.3,13.1,0.0,0.725,0.275,5.2,0.3,0.0,5.6,0.0,0.0,3.4,0.0,0.0,3.2,0.0,0.0,4.5
9,15.6,0.1328094378804318,1.0,0.0,0.0,4.0,14.7,12.4,0.0,0.875,0.125,3.6,0.2,0.0,5.5,0.0,0.0,2.7,0.0,0.0,3.8,0.0,0.0,4.5
10,13.1,0.11805422786389383,1.0,0.0,0.0,3.2,12.0,11.8,0.0,0.9,0.09999999999999999,3.2,0.2,0.0,4.1,0.0,0.0,2.6,0.0,0.0,3.2,0.0,0.0,4.5
11,16.4,0.13498900811831846,1.0,0.0,0.0,3.5,15.2,9.1,0.016666666666666666,0.9166666666666666,0.06666666666666667,4.4,0.1,0.0,6.2,0.0,0.0,3.0,0.0,0.0,2.8,0.0,0.0,4.5
