t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
0,2.5,0.4533333333333333,0.8,0.0,0.2,1.1,1.4,0.0,0.0,0.0,1.0,1.1,3.0,0.0,0.5,3.0,0.0,0.2,3.0,0.0,0.7,3.0,0.0,4.5
1,2.3,0.46499999999999997,0.7416666666666667,0.025,0.2333333333333333,1.5,1.2,1.0,0.0,0.0,1.0,0.7,0.9,1.0,0.8,4.9,0.0,0.1,0.4,0.0,0.7,0.7,0.0,4.5
2,2.7,0.23214285714285712,0.7083333333333333,0.025,0.26666666666666666,0.9,2.0,1.0,0.0,0.0,1.0,1.0,0.3,1.0,0.6,4.2,0.0,0.5,0.2,0.5499999999999989,0.6,2.1,0.0,4.5
3,1.9,0.08928571428571427,0.75,0.05833333333333333,0.19166666666666665,0.3,1.9,1.7,0.0,0.0,1.0,0.9,0.4,1.0,0.5,3.8,0.0,0.1,0.5,1.0,0.4,0.7,0.0,4.5
4,2.2,0.5377777777777777,0.85,0.06666666666666667,0.08333333333333333,1.9,1.1,1.1,0.0,0.05833333333333333,0.9416666666666667,0.6,0.2,1.549999999999999,0.8,2.3,0.0,0.2,2.5,1.6499999999999968,0.6,0.6,0.0,4.5
5,2.1,0.5483333333333333,0.9583333333333333,0.008333333333333333,0.03333333333333333,1.9,0.8,0.5,0.0,0.14166666666666666,0.8583333333333334,0.3,1.4,0.5499999999999989,0.6,0.5,0.0,0.4,0.7,0.0,0.8,1.0,0.0,4.5
6,1.7,0.2333333333333333,0.9916666666666666,0.008333333333333333,0.0,0.6,1.3,0.6,0.0,0.21666666666666665,0.7833333333333333,0.4,0.3,0.5499999999999989,0.4,0.5,0.0,0.3,0.0,0.0,0.6,0.6,0.0,4.5
7,1.8,0.29166666666666663,0.95,0.049999999999999996,0.0,0.9,1.2,1.0,0.0,0.3416666666666667,0.6583333333333334,0.5,0.5,1.549999999999999,0.5,0.0,0.0,0.6,0.0,0.5499999999999989,0.2,0.2,0.0,4.5
8,1.2,0.11666666666666665,0.9583333333333334,0.025,0.016666666666666666,0.3,1.1,1.0,0.0,0.4583333333333333,0.5416666666666667,0.5,0.6,1.0,0.6,0.4,0.0,0.1,0.1,0.5499999999999989,0.0,0.0,0.0,4.5
9,1.6,0.25666666666666665,0.9916666666666666,0.008333333333333333,0.0,0.5,1.3,0.9,0.0,0.6,0.4,0.5,0.3,0.5499999999999989,0.8,0.1,0.0,0.2,0.2,0.0,0.1,0.1,0.0,4.5
10,1.5,0.2733333333333333,0.9666666666666666,0.025,0.008333333333333333,0.8,1.1,0.9,0.0,0.6666666666666667,0.33333333333333337,0.8,0.1,0.0,0.7,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5
11,1.5,0.19,0.8833333333333334,0.1,0.016666666666666666,0.6,1.1,0.9,0.0,0.75,0.25,0.5,0.3,0.5499999999999989,0.8,0.2,0.0,0.0,0.4,2.549999999999999,0.2,0.3,0.0,4.5
12,2.7,0.2592857142857143,0.925,0.0,0.075,0.7,2.0,1.1,0.0,0.6916666666666667,0.30833333333333335,1.4,0.2,0.0,1.0,0.8,0.0,0.1,1.3,0.0,0.2,0.3,0.0,4.5
13,2.4,0.2769047619047619,0.825,0.008333333333333333,0.16666666666666669,1.2,2.1,1.1,0.0,0.7166666666666667,0.2833333333333333,1.3,0.0,0.5499999999999989,0.8,1.2,0.0,0.2,2.0,0.0,0.1,0.4,0.0,4.5
14,2.8,0.33999999999999997,0.8666666666666666,0.05833333333333333,0.075,1.4,2.0,1.5,0.025,0.7583333333333333,0.21666666666666665,0.9,0.4,1.549999999999999,1.3,0.6,0.0,0.2,2.5,0.5499999999999989,0.4,1.0,0.0,4.5
15,2.0,0.18333333333333332,0.9083333333333334,0.05833333333333333,0.03333333333333333,0.5,1.7,1.8,0.041666666666666664,0.725,0.2333333333333333,1.3,0.7,1.0,0.5,0.5,0.0,0.2,0.7,1.0,0.0,0.8,0.0,4.5
16,3.3,0.19416666666666665,0.875,0.1,0.025,0.9,2.8,1.3,0.14166666666666666,0.6333333333333333,0.225,1.4,0.9,1.0,1.5,0.2,0.0,0.4,0.7,2.0,0.0,0.1,0.0,4.5
17,2.9,0.3678174603174603,0.8,0.11666666666666665,0.08333333333333334,1.9,2.0,1.8,0.16666666666666666,0.5916666666666667,0.24166666666666664,1.6,1.0,1.0,1.1,0.1,0.0,0.1,0.7,2.0,0.1,0.2,0.0,4.5
18,2.4,0.26357142857142857,0.8833333333333334,0.06666666666666667,0.05,1.1,1.6,1.7,0.2,0.45,0.35,1.3,1.3,1.0,0.8,0.0,0.0,0.2,1.5,1.0,0.1,0.2,0.0,4.5
19,3.1,0.3653571428571428,0.925,0.041666666666666664,0.03333333333333333,1.8,2.1,0.8,0.2833333333333333,0.4083333333333334,0.30833333333333335,1.3,0.9,0.0,1.5,0.4,0.0,0.2,0.9,1.549999999999999,0.1,0.4,0.0,4.5
20,3.0,0.30666666666666664,0.975,0.008333333333333333,0.016666666666666666,1.5,2.2,1.4,0.3,0.3583333333333333,0.3416666666666667,0.9,0.0,0.0,1.7,0.7,0.0,0.3,0.6,0.5499999999999989,0.1,0.9,0.0,4.5
21,3.2,0.26,0.8833333333333334,0.05833333333333333,0.05833333333333333,1.5,2.3,1.6,0.35833333333333334,0.325,0.31666666666666665,1.2,0.3,0.5499999999999989,1.0,1.2,0.0,0.9,0.6,1.549999999999999,0.1,0.4,0.0,4.5
22,2.7,0.5244444444444445,0.9166666666666666,0.05,0.03333333333333333,2.5,1.4,1.1,0.4166666666666667,0.20833333333333331,0.375,0.9,0.4,1.0,1.1,1.0,0.0,0.6,0.9,1.0,0.1,0.6,0.0,4.5
23,3.1,0.5155952380952381,0.9083333333333334,0.025,0.06666666666666667,2.0,1.5,1.0,0.425,0.20833333333333331,0.3666666666666667,0.9,0.9,1.0,1.2,0.3,0.0,0.6,1.0,0.5499999999999989,0.4,0.4,0.0,4.5
24,3.9,0.25206349206349205,0.9083333333333334,0.041666666666666664,0.049999999999999996,1.2,2.7,1.5,0.45,0.2,0.35,1.5,1.1,1.0,1.3,0.3,0.0,0.9,0.6,0.5499999999999989,0.2,0.2,0.0,4.5
25,3.2,0.27416666666666667,0.875,0.08333333333333333,0.041666666666666664,1.6,2.5,1.8,0.45,0.225,0.325,1.6,0.9,1.549999999999999,1.0,0.4,0.0,0.5,0.5,1.0,0.1,0.0,0.0,4.5
26,2.3,0.3044047619047619,0.925,0.05833333333333333,0.016666666666666666,1.3,1.9,1.6,0.4166666666666667,0.3,0.2833333333333333,0.8,1.3,2.549999999999999,0.8,0.2,0.0,0.6,0.4,0.0,0.1,0.1,0.0,4.5
27,3.7,0.451984126984127,0.9166666666666666,0.05,0.03333333333333333,2.5,2.4,0.7,0.4166666666666667,0.31666666666666665,0.26666666666666666,1.6,1.2,2.0,1.5,0.0,0.0,0.5,0.0,0.0,0.1,0.2,0.0,4.5
28,3.8,0.37,0.9583333333333334,0.008333333333333333,0.03333333333333333,2.0,2.5,1.7,0.38333333333333336,0.4,0.21666666666666665,1.9,1.2,0.0,1.3,0.1,0.0,0.4,0.0,0.5499999999999989,0.2,0.3,0.0,4.5
29,3.2,0.20761904761904765,0.9083333333333332,0.05,0.041666666666666664,1.0,2.7,2.0,0.4166666666666667,0.4333333333333334,0.15,1.3,0.5,1.549999999999999,1.1,0.4,0.0,0.7,0.1,0.5499999999999989,0.1,0.6,0.0,4.5
30,3.5,0.2326190476190476,0.925,0.016666666666666666,0.05833333333333333,1.7,2.6,1.9,0.38333333333333336,0.475,0.14166666666666666,1.4,0.8,1.0,1.2,0.3,0.0,0.6,0.4,0.0,0.3,0.9,0.0,4.5
31,3.8,0.22607142857142856,0.9,0.016666666666666666,0.08333333333333333,1.4,3.1,1.9,0.39166666666666666,0.475,0.13333333333333333,1.7,0.6,0.5499999999999989,1.3,0.2,0.0,0.7,0.6,0.5499999999999989,0.1,0.1,0.0,4.5
32,2.4,0.23214285714285712,0.8916666666666666,0.016666666666666666,0.09166666666666666,1.1,1.9,2.5,0.39166666666666666,0.475,0.13333333333333333,1.1,0.9,1.0,0.7,0.5,0.0,0.4,0.9,0.0,0.2,0.2,0.0,4.5
33,3.4,0.24547619047619046,0.825,0.041666666666666664,0.13333333333333333,1.5,2.6,1.2,0.4,0.4916666666666667,0.10833333333333332,1.8,0.7,1.549999999999999,1.1,0.4,0.0,0.5,0.3,0.0,0.0,1.1,0.0,4.5
34,2.7,0.36738095238095236,0.8083333333333333,0.041666666666666664,0.15,2.0,1.7,1.6,0.3916666666666667,0.5583333333333333,0.05,1.0,1.3,1.549999999999999,1.0,0.7,0.0,0.6,0.2,0.0,0.1,1.0,0.0,4.5
35,3.5,0.43773809523809526,0.8166666666666667,0.041666666666666664,0.14166666666666666,2.1,1.9,1.2,0.4083333333333333,0.55,0.041666666666666664,1.8,1.2,1.549999999999999,0.9,0.5,0.0,0.6,0.2,0.0,0.2,1.1,0.0,4.5
36,4.1,0.2263095238095238,0.85,0.024999999999999998,0.125,1.3,3.2,1.5,0.45,0.4833333333333333,0.06666666666666667,1.3,0.8,1.549999999999999,2.0,0.5,0.0,0.5,0.2,0.0,0.3,0.9,0.0,4.5
37,3.6,0.18734126984126984,0.8,0.016666666666666666,0.18333333333333332,1.4,2.8,2.6,0.4666666666666667,0.45833333333333337,0.075,1.3,0.5,0.5499999999999989,1.3,0.8,0.0,0.9,0.4,0.5499999999999989,0.1,0.9,0.0,4.5
38,3.5,0.2980952380952381,0.7833333333333333,0.016666666666666666,0.2,1.7,2.4,2.2,0.5833333333333333,0.35,0.06666666666666667,1.2,0.5,0.5499999999999989,1.5,1.8,0.0,0.4,0.6,0.5499999999999989,0.4,0.9,0.0,4.5
39,3.3,0.35603174603174603,0.7916666666666667,0.0,0.20833333333333331,2.0,2.1,1.6,0.6083333333333333,0.3166666666666667,0.075,1.3,0.2,0.0,1.2,1.5,0.0,0.7,0.7,0.0,0.1,1.1,0.0,4.5
40,4.3,0.2553174603174603,0.7583333333333333,0.016666666666666666,0.225,1.6,3.1,1.7,0.65,0.275,0.075,1.1,0.4,1.0,1.9,1.3,0.0,1.3,0.9,0.0,0.0,1.0,0.0,4.5
41,3.0,0.2817857142857143,0.7416666666666666,0.03333333333333333,0.225,1.6,2.2,2.3,0.6833333333333333,0.24166666666666664,0.075,1.1,1.1,0.0,1.2,0.8,0.0,0.4,1.2,1.549999999999999,0.3,1.3,0.0,4.5
42,4.4,0.3628571428571429,0.7,0.041666666666666664,0.25833333333333336,2.5,2.6,1.5,0.6916666666666667,0.2,0.10833333333333332,1.4,0.3,1.0,2.1,1.1,0.0,0.7,1.2,1.0,0.2,1.2,0.0,4.5
43,3.7,0.518968253968254,0.6583333333333333,0.025,0.31666666666666665,3.1,2.1,1.1,0.7,0.18333333333333332,0.11666666666666665,0.4,0.8,1.0,1.7,1.7,0.0,1.2,1.5,0.0,0.4,1.1,0.0,4.5
44,3.6,0.4730952380952381,0.65,0.016666666666666666,0.33333333333333337,2.6,2.0,1.1,0.675,0.21666666666666665,0.10833333333333332,1.2,0.6,0.0,1.7,2.0,0.0,0.7,1.7,1.0,0.0,1.7,0.0,4.5
45,4.2,0.33694444444444444,0.6166666666666667,0.008333333333333333,0.375,2.1,2.4,1.7,0.6833333333333333,0.20833333333333331,0.10833333333333332,1.7,0.6,0.0,1.5,1.7,0.0,0.9,3.1,0.5499999999999989,0.1,1.5,0.0,4.5
46,4.4,0.2890151515151515,0.6333333333333333,0.0,0.36666666666666664,2.0,3.1,1.7,0.6916666666666667,0.20833333333333331,0.1,1.5,0.2,0.0,2.3,1.6,0.0,0.4,3.1,0.0,0.2,1.6,0.0,4.5
47,4.2,0.1980952380952381,0.7,0.041666666666666664,0.25833333333333336,1.5,3.4,2.4,0.7583333333333333,0.15833333333333333,0.08333333333333333,1.1,0.3,1.0,2.0,1.8,0.0,0.8,3.7,1.0,0.3,1.5,0.0,4.5
