t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
0,2.7,0.5066666666666666,0.5833333333333334,0.025,0.3916666666666667,1.4,1.3,0.0,0.0,0.0,1.0,0.9,3.0,0.0,0.7,3.0,1.0,0.6,3.0,0.0,0.5,3.0,0.5499999999999989,4.5
1,1.5,0.45714285714285713,0.6416666666666667,0.041666666666666664,0.31666666666666665,1.5,0.5,0.8,0.0,0.0,1.0,0.2,0.9,0.0,0.6,2.7,1.0,0.5,2.6,0.0,0.2,2.5,1.0,4.5
2,2.1,0.3052380952380952,0.9083333333333334,0.016666666666666666,0.075,0.8,1.5,0.3,0.0,0.0,1.0,0.8,0.3,0.0,0.5,3.7,0.5499999999999989,0.3,1.8,0.0,0.5,1.2,0.5499999999999989,4.5
3,1.9,0.20666666666666664,0.975,0.008333333333333333,0.016666666666666666,0.7,1.7,1.0,0.0,0.008333333333333333,0.9916666666666666,0.9,0.3,0.0,0.1,0.9,0.5499999999999989,0.2,0.5,0.0,0.7,0.6,0.0,4.5
4,2.1,0.5383333333333333,0.9833333333333334,0.0,0.016666666666666666,1.9,1.1,0.8,0.0,0.041666666666666664,0.9583333333333333,0.6,0.0,0.0,0.9,0.7,0.0,0.1,0.2,0.0,0.5,0.7,0.0,4.5
5,2.5,0.4416666666666666,0.9166666666666666,0.049999999999999996,0.03333333333333333,1.4,1.8,0.4,0.0,0.09166666666666666,0.9083333333333334,0.5,0.4,0.0,1.0,1.0,1.549999999999999,0.4,0.2,0.0,0.6,0.3,0.5499999999999989,4.5
6,1.6,0.3983333333333333,0.9916666666666666,0.008333333333333333,0.0,1.0,1.0,1.4,0.0,0.15,0.85,0.4,0.7,0.0,0.5,0.8,0.5499999999999989,0.2,0.1,0.0,0.5,0.3,0.0,4.5
7,2.5,0.30666666666666664,0.8833333333333334,0.06666666666666667,0.05,1.0,1.8,0.7,0.0,0.3,0.7,0.7,0.7,0.0,0.7,0.3,1.0,0.8,0.0,0.0,0.3,0.5,2.549999999999999,4.5
8,2.0,0.42833333333333334,0.9083333333333334,0.058333333333333334,0.03333333333333333,1.4,1.3,1.1,0.0,0.5,0.5,1.0,1.4,0.0,0.7,0.2,1.549999999999999,0.1,0.4,0.0,0.2,0.7,1.0,4.5
9,1.6,0.5738095238095238,0.8916666666666666,0.05833333333333333,0.05,1.6,0.8,0.5,0.0,0.5916666666666667,0.4083333333333333,0.6,0.6,0.0,0.6,1.3,2.0,0.2,0.1,0.0,0.2,0.5,1.0,4.5
10,1.2,0.5916666666666667,0.8166666666666667,0.025,0.15833333333333333,1.1,0.5,0.4,0.0,0.6083333333333333,0.3916666666666667,0.6,0.8,0.0,0.6,1.3,1.0,0.0,0.1,0.0,0.0,0.7,0.5499999999999989,4.5
11,1.8,0.75,0.9,0.008333333333333333,0.09166666666666666,1.4,0.8,0.1,0.0,0.6583333333333333,0.3416666666666667,0.7,1.2,0.0,1.0,1.5,0.0,0.1,0.5,0.0,0.0,0.9,0.5499999999999989,4.5
12,2.4,0.2866666666666667,0.8333333333333334,0.09166666666666666,0.075,1.1,1.6,0.5,0.0,0.725,0.275,1.3,1.1,0.0,0.5,0.5,1.549999999999999,0.3,1.3,0.0,0.3,0.8,2.0,4.5
13,3.0,0.36583333333333334,0.9416666666666667,0.03333333333333333,0.025,1.5,1.9,1.2,0.0,0.675,0.325,1.7,0.6,0.0,0.9,0.9,1.0,0.2,1.0,0.0,0.2,0.9,0.5499999999999989,4.5
14,2.5,0.5733333333333334,0.925,0.008333333333333333,0.06666666666666667,2.1,1.4,0.9,0.0,0.6833333333333333,0.31666666666666665,0.8,0.7,0.0,0.8,1.5,0.5499999999999989,0.7,0.2,0.0,0.2,0.6,0.0,4.5
15,2.4,0.2652380952380952,0.9333333333333333,0.03333333333333333,0.03333333333333333,1.0,1.8,1.0,0.008333333333333333,0.7,0.29166666666666663,1.2,1.0,0.0,0.8,0.5,0.5499999999999989,0.4,0.0,0.0,0.0,0.9,1.549999999999999,4.5
16,2.5,0.43166666666666664,0.9416666666666667,0.025,0.03333333333333333,1.8,1.3,1.2,0.025,0.6666666666666667,0.30833333333333335,1.1,0.3,0.0,0.9,0.2,0.0,0.3,0.3,0.0,0.2,1.1,1.0,4.5
17,2.9,0.3833333333333333,0.925,0.03333333333333333,0.041666666666666664,1.4,2.0,0.8,0.075,0.6416666666666667,0.2833333333333333,1.6,0.3,0.0,0.9,0.2,0.0,0.3,0.1,0.0,0.1,0.9,1.549999999999999,4.5
18,2.1,0.24333333333333332,0.9583333333333334,0.008333333333333333,0.03333333333333333,0.9,1.6,1.6,0.18333333333333332,0.5416666666666667,0.275,0.8,0.2,0.0,0.8,0.5,0.5499999999999989,0.2,0.0,0.0,0.3,1.0,0.0,4.5
19,2.1,0.23000000000000004,0.9,0.075,0.025,0.6,1.8,1.3,0.19166666666666665,0.5583333333333333,0.25,1.1,0.3,0.0,1.0,0.4,1.0,0.0,0.2,0.0,0.0,0.3,1.549999999999999,4.5
20,2.5,0.3811904761904762,0.9166666666666666,0.041666666666666664,0.041666666666666664,1.7,1.7,0.9,0.29166666666666663,0.4416666666666667,0.26666666666666666,0.2,0.2,0.0,1.3,0.9,1.549999999999999,0.8,1.0,0.0,0.2,0.5,1.0,4.5
21,2.3,0.35833333333333334,0.9416666666666667,0.016666666666666666,0.041666666666666664,1.3,1.4,1.3,0.35833333333333334,0.4166666666666667,0.225,1.0,0.9,0.0,1.0,0.6,1.0999999999999979,0.2,0.6,0.0,0.1,0.4,0.0,4.5
22,2.0,0.32333333333333336,0.95,0.016666666666666666,0.03333333333333333,0.9,1.3,1.2,0.4,0.3916666666666667,0.20833333333333331,0.6,0.7,0.0,0.9,0.3,0.5499999999999989,0.4,0.5,0.0,0.1,0.4,0.5499999999999989,4.5
23,3.1,0.3578571428571428,0.8833333333333334,0.06666666666666667,0.049999999999999996,1.4,2.2,0.8,0.425,0.375,0.2,0.9,0.6,0.0,1.6,0.1,0.5499999999999989,0.5,0.1,0.0,0.1,0.7,2.0,4.5
24,2.7,0.2261904761904762,0.9666666666666666,0.0,0.03333333333333333,1.2,1.7,2.0,0.45833333333333337,0.3416666666666667,0.2,1.2,0.9,0.0,1.1,0.3,0.0,0.2,0.2,0.0,0.2,1.0,0.0,4.5
25,2.8,0.36428571428571427,0.95,0.03333333333333333,0.016666666666666666,1.5,2.0,1.0,0.475,0.35,0.175,1.2,0.9,0.0,1.0,0.5,1.0,0.6,0.3,0.0,0.0,0.3,1.0,4.5
26,3.4,0.2630952380952381,0.9333333333333333,0.03333333333333333,0.03333333333333333,1.4,2.4,1.6,0.475,0.35,0.175,1.5,0.6,0.0,1.2,0.2,0.0,0.5,0.1,0.0,0.2,0.2,1.0,4.5
27,3.9,0.30357142857142855,0.9333333333333333,0.05833333333333333,0.008333333333333333,1.9,2.9,1.5,0.4916666666666667,0.325,0.18333333333333332,1.8,0.6,0.0,1.3,0.0,1.549999999999999,0.7,0.4,0.0,0.1,0.5,1.0,4.5
28,4.0,0.3576190476190476,0.95,0.016666666666666666,0.03333333333333333,2.6,2.7,1.6,0.4666666666666667,0.35833333333333334,0.175,2.0,0.2,0.0,0.8,0.6,0.5499999999999989,0.5,0.2,0.0,0.7,0.5,0.5499999999999989,4.5
29,3.3,0.20535714285714285,0.9583333333333334,0.025,0.016666666666666666,1.2,2.7,2.1,0.4833333333333334,0.38333333333333336,0.13333333333333333,1.7,0.1,0.0,0.8,0.5,1.0,0.7,0.5,0.0,0.1,0.4,0.5499999999999989,4.5
30,3.9,0.16984126984126985,0.8166666666666667,0.075,0.10833333333333332,1.1,3.3,2.2,0.4833333333333334,0.38333333333333336,0.13333333333333333,1.5,0.8,0.0,1.5,0.3,2.0,0.4,0.1,0.0,0.5,0.5,0.5499999999999989,4.5
31,3.7,0.29238095238095235,0.8583333333333334,0.049999999999999996,0.09166666666666666,2.1,2.4,2.5,0.4833333333333334,0.35,0.16666666666666666,1.8,1.4,0.0,1.2,1.2,1.549999999999999,0.5,0.3,0.0,0.2,0.5,0.0,4.5
32,2.7,0.21095238095238095,0.8833333333333334,0.0,0.11666666666666665,0.9,2.3,1.9,0.5166666666666667,0.325,0.15833333333333333,1.5,0.6,0.0,0.8,1.2,0.0,0.3,0.1,0.0,0.1,0.7,0.0,4.5
33,3.1,0.4446428571428571,0.8666666666666666,0.008333333333333333,0.125,2.4,2.1,0.9,0.5333333333333334,0.33333333333333337,0.13333333333333333,1.6,1.2,0.0,1.3,1.0,0.5499999999999989,0.2,0.0,0.0,0.0,0.7,0.0,4.5
34,3.6,0.36626984126984125,0.8083333333333333,0.016666666666666666,0.175,2.0,2.5,1.2,0.5666666666666667,0.29166666666666663,0.14166666666666666,2.4,1.7,0.0,0.8,0.5,1.0,0.4,0.4,0.0,0.0,1.0,0.0,4.5
35,2.3,0.3092857142857143,0.725,0.0,0.275,1.2,1.7,1.9,0.5916666666666667,0.2833333333333333,0.125,1.2,1.7,0.0,0.8,1.4,0.0,0.3,0.6,0.0,0.0,0.7,0.0,4.5
36,3.4,0.15277777777777776,0.6583333333333333,0.05,0.29166666666666663,0.9,3.0,1.2,0.5916666666666667,0.3,0.10833333333333332,1.4,1.9,0.0,1.1,1.2,1.0,0.5,0.3,0.0,0.4,1.1,0.5499999999999989,4.5
37,3.3,0.22545454545454544,0.65,0.03333333333333333,0.31666666666666665,1.6,2.5,2.2,0.5916666666666667,0.25,0.15833333333333333,1.7,2.2,0.0,1.4,1.8,1.0,0.2,0.4,0.0,0.0,1.2,0.5499999999999989,4.5
38,3.0,0.18944444444444444,0.6416666666666667,0.0,0.35833333333333334,1.0,2.5,2.0,0.6416666666666667,0.2,0.15833333333333333,1.4,1.7,0.0,1.0,2.7,0.0,0.5,0.5,0.0,0.1,1.1,0.0,4.5
39,3.4,0.28500000000000003,0.6416666666666666,0.05833333333333333,0.3,1.7,2.4,1.8,0.6833333333333333,0.16666666666666666,0.15,1.1,1.7,0.0,1.6,1.7,2.0,0.4,0.5,0.0,0.3,1.1,0.5499999999999989,4.5
40,4.7,0.23015873015873015,0.5833333333333333,0.008333333333333333,0.4083333333333333,1.7,3.6,1.8,0.6833333333333333,0.11666666666666665,0.2,1.1,1.8,0.0,1.9,2.3,0.0,1.3,0.5,0.0,0.4,1.2,0.5499999999999989,4.5
41,4.2,0.29647186147186144,0.5833333333333333,0.0,0.4166666666666667,2.0,3.3,2.5,0.6833333333333333,0.13333333333333333,0.18333333333333332,1.3,2.0,0.0,2.1,2.2,0.0,0.6,0.5,0.0,0.2,1.5,0.0,4.5
42,4.2,0.278030303030303,0.5083333333333333,0.041666666666666664,0.45,2.1,3.1,2.3,0.7166666666666667,0.125,0.15833333333333333,0.9,2.0,0.0,2.1,2.7,1.0,1.0,0.6,0.0,0.2,1.1,0.5499999999999989,4.5
43,5.2,0.3384343434343434,0.5083333333333333,0.0,0.4916666666666667,2.6,3.9,1.8,0.7083333333333333,0.16666666666666666,0.125,0.9,2.2,0.0,2.9,2.5,0.0,1.0,0.8,0.0,0.4,1.2,0.0,4.5
