t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
0,5.8,0.8391666666666666,0.4333333333333333,0.0,0.5666666666666667,4.8,1.0,0.0,0.0,0.0,1.0,1.0,2.3,0.0,1.5,2.8,0.0,1.1,3.0,0.0,2.2,3.0,0.0,4.5
1,5.8,0.705,0.65,0.0,0.35,4.4,2.3,0.0,0.0,0.0,1.0,1.8,1.4,0.0,1.5,3.2,0.0,1.1,2.2,0.0,1.4,1.8,0.0,4.5
2,6.5,0.46017399267399267,0.7416666666666667,0.0,0.25833333333333336,3.7,3.6,1.2,0.0,0.0,1.0,1.1,0.6,0.0,2.2,4.1,0.0,1.3,1.4,0.0,1.9,0.3,0.0,4.5
3,7.0,0.3909307359307359,0.8583333333333334,0.0,0.14166666666666666,3.9,4.3,2.1,0.0,0.0,1.0,1.4,0.3,0.0,2.3,3.5,0.0,1.4,0.7,0.0,1.9,0.1,0.0,4.5
4,5.6,0.3118672993672994,0.8916666666666666,0.0,0.10833333333333332,2.9,3.5,3.1,0.0,0.0,1.0,0.7,0.4,0.0,2.3,2.5,0.0,1.2,0.5,0.0,1.4,0.1,0.0,4.5
5,6.8,0.28098484848484845,0.875,0.0,0.125,2.8,4.5,2.9,0.0,0.008333333333333333,0.9916666666666666,1.3,1.6,0.0,2.2,1.7,0.0,1.3,0.3,0.0,2.0,0.1,0.0,4.5
6,5.1,0.28593434343434343,0.8833333333333334,0.0,0.11666666666666665,2.6,3.5,3.3,0.0,0.049999999999999996,0.95,1.4,1.8,0.0,1.5,0.9,0.0,0.9,0.0,0.0,1.3,0.0,0.0,4.5
7,5.5,0.2225108225108225,0.8666666666666666,0.0,0.13333333333333333,2.0,4.3,2.6,0.0,0.10833333333333332,0.8916666666666666,1.3,2.1,0.0,1.8,0.6,0.0,0.6,0.2,0.0,1.8,0.0,0.0,4.5
8,4.5,0.357017427017427,0.8833333333333334,0.0,0.11666666666666667,3.0,2.7,2.8,0.0,0.25,0.75,1.2,2.2,0.0,1.9,0.3,0.0,0.7,0.2,0.0,0.7,0.0,0.0,4.5
9,4.5,0.4599206349206349,0.85,0.0,0.15,2.9,2.5,1.4,0.0,0.4583333333333333,0.5416666666666667,1.2,2.4,0.0,1.9,0.5,0.0,0.8,0.2,0.0,0.6,0.0,0.0,4.5
10,5.4,0.41349206349206347,0.8833333333333334,0.0,0.11666666666666665,3.0,3.3,1.4,0.0,0.6583333333333334,0.3416666666666667,1.6,2.0,0.0,2.4,0.7,0.0,0.7,0.0,0.0,0.7,0.0,0.0,4.5
