t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
0,2.6,1.0,0.24166666666666664,0.0,0.7583333333333333,2.6,0.0,0.0,0.0,0.0,1.0,0.6,2.4,0.0,1.4,2.7,0.0,0.6,3.0,0.0,0.0,3.0,0.0,4.5
1,3.4,0.825,0.325,0.0,0.675,2.7,0.7,0.0,0.0,0.0,1.0,0.8,1.4,0.0,1.6,1.2,0.0,0.7,4.1,0.0,0.3,3.4,0.0,4.5
2,2.8,0.5033333333333333,0.2,0.0,0.8,1.4,1.6,0.4,0.0,0.0,1.0,0.4,0.8,0.0,1.5,0.4,0.0,0.8,5.6,0.0,0.1,3.3,0.0,4.5
3,3.0,0.039285714285714285,0.10833333333333332,0.0,0.8916666666666666,0.2,2.8,1.5,0.0,0.0,1.0,0.9,0.8,0.0,1.9,0.0,0.0,0.2,6.4,0.0,0.0,3.5,0.0,4.5
4,1.9,0.034999999999999996,0.05,0.0,0.95,0.2,1.7,2.8,0.0,0.0,1.0,0.4,0.9,0.0,1.3,0.0,0.0,0.2,6.8,0.0,0.0,3.7,0.0,4.5
5,1.7,0.18333333333333332,0.075,0.0,0.925,0.6,1.1,1.6,0.0,0.0,1.0,0.3,0.9,0.0,0.9,0.0,0.0,0.4,6.9,0.0,0.1,3.7,0.0,4.5
6,2.5,0.20357142857142857,0.08333333333333333,0.0,0.9166666666666666,0.6,1.9,1.1,0.0,0.0,1.0,0.4,0.8,0.0,1.6,0.1,0.0,0.5,6.6,0.0,0.0,3.8,0.0,4.5
7,1.9,0.12333333333333334,0.05833333333333333,0.0,0.9416666666666667,0.5,1.5,1.6,0.0,0.0,1.0,0.3,0.8,0.0,1.2,0.1,0.0,0.2,6.6,0.0,0.2,3.9,0.0,4.5
8,1.5,0.10833333333333332,0.05833333333333333,0.0,0.9416666666666667,0.4,1.1,1.4,0.0,0.0,1.0,0.5,0.7,0.0,0.7,0.0,0.0,0.3,6.8,0.0,0.0,3.9,0.0,4.5
9,1.8,0.22333333333333333,0.08333333333333333,0.0,0.9166666666666666,0.6,1.3,0.9,0.0,0.008333333333333333,0.9916666666666666,0.4,0.6,0.0,0.9,0.0,0.0,0.3,6.8,0.0,0.2,3.9,0.0,4.5
10,1.5,0.26,0.09166666666666666,0.0,0.9083333333333334,0.6,1.0,0.9,0.0,0.008333333333333333,0.9916666666666666,0.3,0.8,0.0,0.9,0.1,0.0,0.2,6.6,0.0,0.1,3.8,0.0,4.5
11,1.0,0.13333333333333333,0.075,0.0,0.925,0.3,0.7,1.0,0.0,0.008333333333333333,0.9916666666666666,0.7,0.7,0.0,0.2,0.0,0.0,0.1,6.9,0.0,0.0,3.7,0.0,4.5
12,2.0,0.31666666666666665,0.11666666666666665,0.0,0.8833333333333334,0.6,1.4,0.7,0.0,0.008333333333333333,0.9916666666666666,1.1,0.6,0.0,0.6,0.0,0.0,0.2,6.8,0.0,0.1,3.7,0.0,4.5
13,1.3,0.36666666666666664,0.14166666666666666,0.0,0.8583333333333334,0.8,0.6,1.1,0.0,0.008333333333333333,0.9916666666666666,0.9,0.6,0.0,0.2,0.1,0.0,0.2,6.5,0.0,0.0,3.7,0.0,4.5
14,2.0,0.4416666666666666,0.14166666666666666,0.0,0.8583333333333334,0.7,1.3,0.5,0.0,0.008333333333333333,0.9916666666666666,1.2,0.5,0.0,0.5,0.1,0.0,0.2,6.4,0.0,0.1,3.9,0.0,4.5
15,2.1,0.4083333333333333,0.14166666666666666,0.0,0.8583333333333334,0.9,1.3,1.0,0.0,0.008333333333333333,0.9916666666666666,1.6,0.5,0.0,0.2,0.2,0.0,0.2,6.1,0.0,0.1,4.1,0.0,4.5
16,2.2,0.41833333333333333,0.15833333333333333,0.0,0.8416666666666666,0.7,1.5,0.9,0.0,0.016666666666666666,0.9833333333333334,1.8,0.5,0.0,0.0,0.3,0.0,0.3,5.9,0.0,0.1,4.1,0.0,4.5
17,3.4,0.5211904761904762,0.25,0.0,0.75,2.0,1.7,0.5,0.0,0.016666666666666666,0.9833333333333334,1.8,0.6,0.0,0.6,0.4,0.0,0.2,5.6,0.0,0.8,4.0,0.0,4.5
18,2.0,0.485,0.25,0.0,0.75,1.4,1.0,0.7,0.0,0.016666666666666666,0.9833333333333334,1.4,0.7,0.0,0.0,0.1,0.0,0.0,5.7,0.0,0.6,3.3,0.0,4.5
19,2.5,0.6266666666666667,0.24166666666666664,0.0,0.7583333333333333,1.7,1.0,0.4,0.0,0.024999999999999998,0.975,1.6,1.2,0.0,0.3,0.1,0.0,0.3,5.8,0.0,0.3,2.9,0.0,4.5
20,2.9,0.6085714285714285,0.3,0.0,0.7,1.9,1.0,0.6,0.0,0.041666666666666664,0.9583333333333334,1.0,1.7,0.0,0.5,0.1,0.0,0.7,5.5,0.0,0.7,2.7,0.0,4.5
21,2.2,0.65,0.3333333333333333,0.0,0.6666666666666666,1.9,0.5,0.6,0.0,0.075,0.925,0.6,1.8,0.0,0.3,0.5,0.0,0.9,5.0,0.0,0.4,2.3,0.0,4.5
22,2.5,0.885,0.3416666666666667,0.0,0.6583333333333333,2.3,0.3,0.1,0.0,0.08333333333333333,0.9166666666666666,0.7,2.7,0.0,0.6,0.7,0.0,0.9,4.3,0.0,0.3,1.9,0.0,4.5
23,2.6,0.5633333333333332,0.36666666666666664,0.0,0.6333333333333333,2.0,0.6,0.3,0.0,0.1,0.9,0.6,3.6,0.0,0.6,0.5,0.0,0.8,3.5,0.0,0.6,1.8,0.0,4.5
24,6.1,0.6831349206349207,0.5833333333333333,0.0,0.4166666666666667,4.4,1.9,0.4,0.0,0.18333333333333332,0.8166666666666667,1.0,4.2,0.0,0.2,0.9,0.0,3.5,2.7,0.0,1.4,1.5,0.0,4.5
25,6.8,0.36347846597846595,0.5666666666666667,0.0,0.4333333333333333,3.0,3.9,1.8,0.0,0.25,0.75,0.9,4.4,0.0,0.9,2.2,0.0,3.3,0.6,0.0,1.7,0.7,0.0,4.5
26,5.7,0.2123015873015873,0.5,0.0,0.5,2.1,4.1,3.4,0.0,0.29166666666666663,0.7083333333333333,1.0,5.2,0.0,0.6,2.0,0.0,3.1,0.0,0.0,1.0,0.2,0.0,4.5
