t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
0,1.5,0.1,0.0,0.0,0.0,1.0,0.0,1.5,0.0,0.0,0.0,1.0,0.5,3.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,4.5
1,1.8,0.0,0.0,0.0,0.0,1.0,0.0,1.8,1.5,0.0,0.0,1.0,0.4,3.0,0.0,1.0,3.0,0.0,0.4,3.0,0.0,0.0,3.0,0.0,4.5
2,1.7,0.0,0.0,0.0,0.0,1.0,0.0,1.7,1.8,0.0,0.0,1.0,0.5,3.0,0.0,1.0,3.0,0.0,0.2,3.0,0.0,0.0,3.0,0.0,4.5
3,1.7,0.0,0.0,0.0,0.0,1.0,0.0,1.7,1.7,0.0,0.0,1.0,0.4,3.0,0.0,0.9,3.0,0.0,0.4,3.0,0.0,0.0,3.0,0.0,4.5
4,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.7,1.7,0.0,0.0,1.0,0.2,3.0,0.0,0.5,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,4.5
5,0.6,0.3,0.0,0.0,0.0,1.0,0.0,0.6,0.7,0.0,0.0,1.0,0.2,3.0,0.0,0.3,3.0,0.0,0.1,3.0,0.0,0.0,3.0,0.0,4.5
6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6,0.0,0.0,1.0,0.1,3.0,0.0,0.8,3.0,0.0,0.1,3.0,0.0,0.0,3.0,0.0,4.5
7,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.9,1.0,0.0,0.0,1.0,0.3,3.0,0.0,0.6,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,4.5
8,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.0,0.0,1.0,0.4,3.0,0.0,0.3,3.0,0.0,0.1,3.0,0.0,0.1,3.0,0.0,4.5
9,0.5,0.2,0.0,0.0,0.0,1.0,0.0,0.5,0.9,0.0,0.0,1.0,0.0,3.0,0.0,0.3,3.0,0.0,0.1,3.0,0.0,0.1,3.0,0.0,4.5
10,0.7,0.4,0.0,0.0,0.0,1.0,0.0,0.7,0.5,0.0,0.0,1.0,0.3,3.0,0.0,0.4,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,4.5
11,0.8,0.3,0.0,0.0,0.0,1.0,0.0,0.8,0.7,0.0,0.0,1.0,0.3,3.0,0.0,0.3,3.0,0.0,0.2,3.0,0.0,0.0,3.0,0.0,4.5
12,1.2,0.0,0.0,0.0,0.0,1.0,0.0,1.2,0.8,0.0,0.0,1.0,1.0,3.0,0.0,0.1,3.0,0.0,0.1,3.0,0.0,0.0,3.0,0.0,4.5
13,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.9,1.2,0.0,0.0,1.0,0.6,3.0,0.0,0.1,3.0,0.0,0.2,3.0,0.0,0.0,3.0,0.0,4.5
14,1.2,0.0,0.0,0.0,0.0,1.0,0.0,1.2,0.9,0.0,0.0,1.0,1.0,3.0,0.0,0.1,3.0,0.0,0.1,3.0,0.0,0.0,3.0,0.0,4.5
