t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_battery_cars_0,frac_battery_cars_1,frac_battery_cars_2,frac_battery_cars_3,frac_battery_cars_4,frac_battery_cars_5,frac_battery_cars_6,frac_battery_cars_7,frac_battery_cars_8,frac_battery_cars_9,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
0,3.4,0.919047619047619,0.25,0.4916666666666667,0.13333333333333333,0.125,3.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.65,0.9,3.0,1.0,1.8,3.0,0.5499999999999989,0.6,3.0,1.549999999999999,0.1,3.0,1.0,4.5
1,4.4,0.7285714285714285,0.35,0.5,0.049999999999999996,0.1,3.3,1.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049999999999999996,0.55,0.4,1.4,0.8,0.0,1.9,1.4,1.0,0.8,3.0,0.5499999999999989,0.3,2.6,1.0,4.5
2,3.0,0.6455555555555555,0.33333333333333337,0.5916666666666667,0.03333333333333333,0.041666666666666664,2.7,1.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.19166666666666665,0.6,0.19166666666666668,0.9,0.4,0.5499999999999989,1.0,1.2,0.0,0.9,2.5,1.0,0.2,1.7,0.5499999999999989,4.5
3,3.5,0.5828571428571429,0.3416666666666667,0.4666666666666667,0.075,0.11666666666666665,2.4,1.2,1.1,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.1,0.3416666666666667,0.4416666666666667,0.10833333333333332,1.1,1.7,1.0,1.3,0.6,0.0,0.9,2.9,1.0,0.2,1.9,1.0,4.5
4,2.2,0.7141666666666666,0.2833333333333333,0.5333333333333333,0.08333333333333333,0.1,2.1,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.2,0.4,0.26666666666666666,0.1,0.6,2.5,1.549999999999999,0.7,0.8,0.0,0.6,1.7,1.549999999999999,0.3,1.2,1.0,4.5
5,3.7,0.6083333333333333,0.3,0.2916666666666667,0.4,0.008333333333333333,2.7,1.5,0.3,0.0,0.0,0.0,0.0,0.016666666666666666,0.06666666666666667,0.225,0.3583333333333333,0.21666666666666665,0.11666666666666665,0.7,3.1,4.549999999999999,1.5,0.4,1.0,1.3,1.7,2.0,0.2,1.2,3.649999999999997,4.5
6,2.1,0.18333333333333332,0.11666666666666665,0.7,0.05833333333333333,0.125,0.6,1.5,1.5,0.0,0.0,0.0,0.0,0.016666666666666666,0.15833333333333333,0.25,0.25,0.16666666666666666,0.15833333333333333,0.5,4.4,1.0,1.0,0.6,0.0,0.5,1.9,1.0,0.1,2.1,1.549999999999999,4.5
7,2.7,0.7849999999999999,0.275,0.4083333333333333,0.29166666666666663,0.025,3.2,0.6,0.4,0.0,0.0,0.0,0.0,0.05,0.14166666666666666,0.3,0.19166666666666665,0.175,0.14166666666666666,0.7,1.3,1.0,1.1,0.8,1.0,0.7,1.8,3.0,0.2,2.6,4.0,4.5
8,2.3,0.5558333333333334,0.20833333333333334,0.5416666666666667,0.13333333333333333,0.11666666666666665,1.5,0.8,0.6,0.0,0.0,0.0,0.025,0.09999999999999999,0.11666666666666665,0.2,0.19166666666666665,0.225,0.14166666666666666,0.7,1.6,1.0,0.9,1.1,1.0,0.6,2.8,2.549999999999999,0.1,3.8,2.0,4.5
9,2.6,0.4666666666666667,0.18333333333333332,0.6083333333333334,0.11666666666666667,0.09166666666666666,1.6,1.4,0.4,0.0,0.0,0.0,0.041666666666666664,0.15,0.09166666666666666,0.19166666666666665,0.18333333333333332,0.26666666666666666,0.075,0.6,0.7,0.0,0.7,3.0,1.549999999999999,0.8,2.3,1.0,0.5,2.5,2.0,4.5
