t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
0,5.24,0.8844365079365079,0.7575,0.09333333333333332,0.14916666666666667,4.48,0.76,0.0,0.0,0.0,1.0,0.76,3.0,1.0,0.82,3.0,2.0,2.34,3.0,1.0,1.32,3.0,1.0,49.5
1,5.23,0.4791616161616162,0.7283333333333333,0.05166666666666666,0.22,2.81,2.82,0.36,0.0,0.0,1.0,0.78,0.91,1.0,0.85,5.37,2.0,2.32,0.58,0.0,1.28,1.4,1.0,49.5
2,5.26,0.3724668942168943,0.7441666666666668,0.0525,0.2033333333333333,2.98,3.33,1.77,0.0,0.0,1.0,1.0,0.33,1.0,0.84,4.78,2.0,2.22,0.54,0.0,1.2,1.12,0.0,49.5
3,5.21,0.25546736596736597,0.6166666666666667,0.3108333333333333,0.0725,2.14,4.02,2.38,0.0,0.004166666666666667,0.9958333333333332,0.93,0.62,1.0,0.73,4.82,6.0,2.27,0.37,0.04999999999999716,1.28,0.76,1.0,49.5
4,4.02,0.3641226551226551,0.795,0.06166666666666666,0.1433333333333333,2.88,2.64,2.52,0.0,0.01583333333333333,0.9841666666666667,0.67,0.7,1.0499999999999972,0.65,5.07,1.0,1.65,0.64,1.0,1.05,0.95,1.0,49.5
5,4.37,0.41766919191919194,0.755,0.13333333333333333,0.11166666666666666,2.87,2.82,1.32,0.0,0.03583333333333333,0.9641666666666667,0.79,0.92,0.04999999999999716,0.66,4.39,4.0,1.74,1.15,0.0,1.18,0.71,0.0,49.5
6,4.25,0.26280411255411257,0.7558333333333332,0.12583333333333332,0.11833333333333332,1.85,3.12,2.1,0.0,0.08166666666666667,0.9183333333333333,0.72,0.76,3.0,0.62,4.82,2.0,1.75,0.14,1.0,1.16,1.22,1.0,49.5
7,4.13,0.19798579198579197,0.7383333333333333,0.08416666666666667,0.1775,1.39,3.43,2.43,0.0,0.1525,0.8475,0.55,1.96,2.0,0.65,2.39,2.0,1.91,0.65,1.0,1.02,1.9,1.0,49.5
8,3.65,0.35463564213564214,0.8825,0.04666666666666666,0.07083333333333333,2.42,2.34,2.32,0.0,0.2683333333333333,0.7316666666666667,0.86,0.89,0.0,1.06,2.48,1.0,1.1,0.59,1.0,0.63,1.52,1.0,49.5
9,3.76,0.3686773504273504,0.8433333333333333,0.105,0.05166666666666666,2.17,2.47,1.46,0.0,0.32916666666666666,0.6708333333333333,1.08,1.07,3.0,0.79,1.67,1.0,1.11,0.62,1.0,0.78,0.38,0.0,49.5
