t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
0,2.3,0.9066666666666666,0.4833333333333333,0.06666666666666667,0.45,1.9,0.4,0.0,0.0,0.0,1.0,0.4,3.0,0.5499999999999989,0.6,3.0,1.0999999999999979,0.7,3.0,0.0,0.6,3.0,1.0,4.5
1,1.9,0.625,0.575,0.06666666666666667,0.35833333333333334,1.0,1.0,0.3,0.0,0.0,1.0,0.3,0.5,0.0,0.4,4.7,1.0,0.3,2.1,1.0,0.9,1.1,1.6499999999999968,4.5
2,3.1,0.4219047619047619,0.7666666666666667,0.075,0.15833333333333333,1.9,1.7,0.5,0.0,0.0,1.0,0.9,0.5,0.0,0.9,5.8,2.549999999999999,0.8,0.6,0.5499999999999989,0.5,0.7,0.0,4.5
3,2.1,0.40499999999999997,0.8166666666666667,0.08333333333333333,0.1,1.6,1.2,1.0,0.0,0.008333333333333333,0.9916666666666666,0.6,0.6,0.5499999999999989,0.4,2.7,0.5499999999999989,0.4,2.0,1.0,0.7,0.3,1.0,4.5
4,1.6,0.7783333333333333,0.7916666666666666,0.049999999999999996,0.15833333333333333,2.0,0.7,0.1,0.0,0.049999999999999996,0.95,0.8,0.5,0.0,0.2,1.5,1.0,0.2,1.9,1.0,0.4,1.7,0.5499999999999989,4.5
5,1.7,0.6583333333333333,0.925,0.008333333333333333,0.06666666666666667,1.2,0.7,0.5,0.0,0.11666666666666665,0.8833333333333334,0.7,0.2,0.0,0.6,2.1,0.5499999999999989,0.0,0.8,0.0,0.4,0.9,0.0,4.5
6,1.7,0.33333333333333337,0.9166666666666666,0.008333333333333333,0.075,0.9,1.0,0.5,0.0,0.18333333333333332,0.8166666666666667,0.3,0.6,0.0,0.5,1.2,0.0,0.6,0.2,0.5499999999999989,0.3,0.0,0.0,4.5
7,1.5,0.25,0.95,0.008333333333333333,0.041666666666666664,0.5,1.0,1.0,0.0,0.275,0.725,0.5,0.7,0.0,0.1,1.0,0.5499999999999989,0.2,0.2,0.0,0.7,0.0,0.0,4.5
8,1.3,0.35,0.9583333333333333,0.025,0.016666666666666666,0.7,0.8,0.8,0.0,0.425,0.575,0.5,0.9,0.5499999999999989,0.5,0.5,0.5499999999999989,0.0,0.0,0.0,0.3,0.1,0.5499999999999989,4.5
9,1.3,0.36666666666666664,0.975,0.0,0.025,0.8,0.7,0.6,0.0,0.5666666666666667,0.4333333333333334,0.6,0.5,0.0,0.3,0.4,0.0,0.2,0.0,0.0,0.2,0.2,0.0,4.5
