t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
0,4.6,0.8280952380952382,0.3416666666666667,0.0,0.6583333333333333,3.6,1.0,0.0,0.0,1.0,0.0,0.1,3.3,0.0,0.6,2.8,0.0,2.5,2.7,0.0,1.4,2.3,0.0,4.5
1,4.0,0.5966666666666667,0.36666666666666664,0.0,0.6333333333333334,2.6,1.4,1.0,0.0,1.0,0.0,0.2,2.7,0.0,0.9,5.3,0.0,1.9,1.0,0.0,1.0,1.2,0.0,4.5
2,4.7,0.3357142857142857,0.38333333333333336,0.0,0.6166666666666667,1.8,2.9,1.4,0.008333333333333333,0.9916666666666666,0.0,0.4,2.1,0.0,0.6,6.2,0.0,2.4,0.4,0.0,1.3,0.5,0.0,4.5
3,4.3,0.1651190476190476,0.325,0.0,0.675,1.2,3.4,2.6,0.05833333333333333,0.9416666666666667,0.0,0.3,2.2,0.0,0.4,6.6,0.0,2.4,0.0,0.0,1.2,0.2,0.0,4.5
4,3.6,0.08,0.26666666666666666,0.041666666666666664,0.6916666666666667,0.6,3.2,3.2,0.08333333333333333,0.9166666666666666,0.0,0.1,2.2,1.0,0.3,7.0,1.0,1.8,0.1,0.0,1.4,0.0,0.0,4.5
5,2.7,0.04523809523809523,0.18333333333333332,0.05833333333333333,0.7583333333333333,0.3,2.5,3.0,0.09166666666666666,0.8666666666666666,0.041666666666666664,0.0,2.3,1.0,0.2,7.5,1.549999999999999,1.3,0.0,0.0,1.2,0.0,0.0,4.5
6,2.3,0.05357142857142857,0.16666666666666666,0.05,0.7833333333333333,0.3,2.0,2.3,0.08333333333333333,0.8166666666666667,0.1,0.0,2.2,1.0,0.3,8.0,1.549999999999999,1.3,0.0,0.0,0.7,0.0,0.0,4.5
7,2.8,0.05714285714285714,0.13333333333333333,0.05833333333333333,0.8083333333333333,0.4,2.5,1.9,0.1,0.7583333333333334,0.14166666666666666,0.1,2.3,1.0,0.2,8.1,1.549999999999999,1.6,0.0,0.0,0.9,0.0,0.0,4.5
8,2.3,0.07619047619047618,0.16666666666666666,0.049999999999999996,0.7833333333333334,0.5,1.8,2.5,0.06666666666666667,0.7333333333333334,0.2,0.1,2.4,0.0,0.4,7.9,2.0,0.6,0.0,0.0,1.2,0.0,0.0,4.5
9,2.2,0.22142857142857145,0.2333333333333333,0.03333333333333333,0.7333333333333333,0.9,1.4,1.7,0.05833333333333333,0.7,0.24166666666666664,0.3,2.4,0.0,0.4,7.5,1.0,1.2,0.0,0.0,0.3,0.0,0.0,4.5
10,2.5,0.25666666666666665,0.3,0.03333333333333333,0.6666666666666667,1.0,1.6,1.3,0.075,0.65,0.275,0.4,1.9,0.0,0.7,7.2,1.0,0.6,0.1,0.0,0.8,0.0,0.0,4.5
11,2.5,0.2369047619047619,0.2833333333333333,0.05833333333333333,0.6583333333333333,0.9,1.7,1.4,0.09166666666666666,0.6,0.30833333333333335,0.3,2.2,0.0,0.6,7.0,1.549999999999999,0.7,0.1,0.0,0.9,0.1,0.0,4.5
12,3.7,0.33434343434343433,0.35,0.05833333333333333,0.5916666666666667,1.9,1.8,1.6,0.10833333333333332,0.525,0.36666666666666664,0.9,2.2,0.0,1.1,7.1,2.099999999999998,1.1,0.1,0.0,0.6,0.0,0.0,4.5
13,4.0,0.34345238095238095,0.39166666666666666,0.06666666666666667,0.5416666666666666,2.2,1.8,1.5,0.10833333333333332,0.4833333333333333,0.4083333333333333,0.8,2.1,0.5499999999999989,1.5,7.1,2.099999999999998,1.3,0.0,0.0,0.4,0.1,0.0,4.5
14,2.2,0.3,0.3416666666666667,0.075,0.5833333333333333,1.0,1.3,1.6,0.10833333333333332,0.45,0.4416666666666667,0.4,1.9,0.5499999999999989,0.6,6.6,2.549999999999999,0.5,0.0,0.0,0.7,0.2,0.0,4.5
15,3.1,0.4492857142857143,0.35,0.05833333333333333,0.5916666666666667,1.7,1.4,1.2,0.1,0.4166666666666667,0.4833333333333333,0.4,2.0,0.5499999999999989,1.0,6.9,1.549999999999999,0.8,0.0,0.0,0.9,0.2,0.0,4.5
16,2.8,0.4841666666666667,0.425,0.05833333333333333,0.5166666666666667,2.2,0.7,1.3,0.075,0.4,0.525,0.2,2.1,0.5499999999999989,1.6,6.6,2.099999999999998,0.7,0.0,0.0,0.3,0.0,0.0,4.5
17,2.4,0.5266666666666666,0.425,0.041666666666666664,0.5333333333333333,1.7,0.8,0.6,0.08333333333333333,0.3583333333333333,0.5583333333333333,0.5,2.3,0.5499999999999989,1.1,6.0,1.549999999999999,0.2,0.1,0.0,0.6,0.1,0.0,4.5
18,2.6,0.39785714285714285,0.4166666666666667,0.06666666666666667,0.5166666666666667,1.4,1.2,0.8,0.09166666666666666,0.325,0.5833333333333333,0.3,2.2,1.0,1.1,6.0,2.0,0.7,0.1,0.0,0.5,0.0,0.0,4.5
19,2.0,0.43666666666666665,0.425,0.06666666666666667,0.5083333333333334,1.2,0.9,1.1,0.09166666666666666,0.3,0.6083333333333333,0.3,2.0,1.0,0.7,5.6,2.0,0.8,0.1,0.5499999999999989,0.2,0.0,0.0,4.5
20,3.6,0.5016666666666667,0.4666666666666667,0.041666666666666664,0.4916666666666667,2.2,1.4,0.8,0.09166666666666666,0.26666666666666666,0.6416666666666666,0.2,2.8,1.0,1.8,5.4,1.0,1.5,0.1,0.0,0.1,0.0,0.0,4.5
21,3.3,0.4988095238095238,0.5,0.05,0.45,2.0,1.5,1.2,0.08333333333333333,0.275,0.6416666666666666,0.0,3.0,1.549999999999999,2.1,4.8,1.0,0.7,0.0,0.0,0.5,0.0,0.0,4.5
22,3.5,0.5263888888888889,0.5833333333333333,0.041666666666666664,0.375,2.3,1.3,1.4,0.05,0.29166666666666663,0.6583333333333334,0.3,3.2,1.0,2.3,3.8,0.0,0.7,0.2,1.0999999999999979,0.2,0.0,0.0,4.5
23,2.8,0.395,0.55,0.025,0.425,1.7,1.1,1.3,0.03333333333333333,0.30833333333333335,0.6583333333333333,0.2,3.6,1.0,1.5,2.9,0.0,0.7,0.4,0.5499999999999989,0.4,0.0,0.0,4.5
24,2.9,0.4066666666666666,0.5166666666666667,0.025,0.45833333333333337,1.5,1.6,0.9,0.03333333333333333,0.3083333333333333,0.6583333333333333,0.4,4.7,1.549999999999999,0.9,2.3,0.0,1.2,0.2,0.0,0.4,0.0,0.0,4.5
25,3.2,0.43726190476190474,0.525,0.025,0.45,1.9,1.5,1.3,0.05,0.30833333333333335,0.6416666666666667,0.5,5.2,1.6499999999999968,1.4,1.8,0.0,0.9,0.2,0.0,0.4,0.3,0.0,4.5
26,4.1,0.3775,0.5333333333333333,0.041666666666666664,0.425,2.0,2.3,1.3,0.06666666666666667,0.325,0.6083333333333334,0.5,5.5,2.099999999999998,2.0,1.5,0.0,1.3,0.3,0.0,0.3,0.1,0.0,4.5
27,3.5,0.27773809523809523,0.5083333333333333,0.06666666666666667,0.425,1.3,2.2,2.3,0.075,0.31666666666666665,0.6083333333333333,0.4,6.0,2.549999999999999,1.6,0.6,0.0,1.0,0.2,0.0,0.5,0.1,0.0,4.5
28,5.1,0.221984126984127,0.5166666666666667,0.06666666666666667,0.4166666666666667,1.5,4.0,1.8,0.075,0.3083333333333333,0.6166666666666667,0.8,6.4,2.0,2.5,0.1,0.0,1.1,0.4,0.0,0.7,0.1,0.0,4.5
29,3.6,0.06468253968253967,0.4416666666666667,0.06666666666666667,0.4916666666666667,0.5,3.3,3.6,0.06666666666666667,0.325,0.6083333333333334,0.2,6.4,2.549999999999999,2.2,0.0,0.0,0.8,0.3,0.0,0.4,0.2,0.0,4.5
30,3.8,0.12865800865800864,0.425,0.05,0.525,1.0,3.2,2.9,0.05,0.3416666666666667,0.6083333333333333,0.2,6.9,2.549999999999999,2.3,0.0,0.0,1.0,0.4,0.0,0.3,0.1,0.0,4.5
31,4.1,0.2892063492063492,0.4833333333333333,0.016666666666666666,0.5,2.1,2.7,2.3,0.016666666666666666,0.4083333333333333,0.575,0.8,6.8,1.0999999999999979,1.5,0.1,0.0,1.2,0.1,0.0,0.6,0.1,0.0,4.5
32,4.0,0.20575396825396824,0.525,0.016666666666666666,0.45833333333333337,1.4,2.9,2.4,0.016666666666666666,0.4416666666666667,0.5416666666666667,0.6,6.1,1.0999999999999979,2.6,0.0,0.0,0.8,0.2,0.0,0.0,0.1,0.0,4.5
33,4.2,0.15011904761904762,0.55,0.008333333333333333,0.4416666666666667,0.9,3.5,2.6,0.008333333333333333,0.4583333333333333,0.5333333333333333,0.3,5.5,0.5499999999999989,2.3,0.0,0.0,1.3,0.2,0.0,0.3,0.2,0.0,4.5
34,3.6,0.26166666666666666,0.5916666666666667,0.0,0.4083333333333333,1.6,2.5,2.8,0.0,0.5,0.5,0.4,5.1,0.0,1.9,0.1,0.0,1.1,0.2,0.0,0.2,0.1,0.0,4.5
35,4.5,0.21388888888888888,0.6083333333333333,0.0,0.3916666666666667,1.5,3.5,2.0,0.0,0.5083333333333333,0.4916666666666667,0.4,4.8,0.0,2.9,0.1,0.0,1.0,0.2,0.0,0.2,0.1,0.0,4.5
36,5.2,0.17345238095238097,0.5416666666666666,0.0,0.4583333333333333,1.0,4.7,2.9,0.0,0.55,0.45,0.1,5.2,0.0,3.6,0.0,0.0,1.0,0.3,0.0,0.5,0.2,0.0,4.5
37,4.3,0.14115190365190364,0.55,0.0,0.45,1.1,3.5,4.3,0.0,0.6,0.4,0.2,5.1,0.0,3.2,0.0,0.0,0.6,0.6,0.0,0.3,0.1,0.0,4.5
38,5.0,0.21116161616161616,0.5583333333333333,0.0,0.4416666666666667,1.6,3.5,3.2,0.0,0.65,0.35,0.5,5.4,0.0,3.0,0.1,0.0,0.8,0.8,0.0,0.7,0.2,0.0,4.5
39,6.3,0.20515484515484514,0.5666666666666667,0.0,0.4333333333333333,2.0,4.5,3.3,0.0,0.725,0.275,0.6,5.1,0.0,4.0,0.0,0.0,1.2,0.6,0.0,0.5,0.4,0.0,4.5
40,5.5,0.14402930402930403,0.525,0.0,0.475,1.4,4.7,3.8,0.008333333333333333,0.7416666666666667,0.25,0.3,5.1,0.0,3.6,0.1,0.0,1.1,0.5,0.0,0.5,0.4,0.0,4.5
41,4.9,0.14977716727716728,0.5166666666666667,0.008333333333333333,0.475,1.5,4.1,4.0,0.041666666666666664,0.75,0.20833333333333331,0.2,5.1,0.0,3.4,0.1,0.0,1.2,0.6,0.5499999999999989,0.1,0.3,0.0,4.5
42,4.0,0.1804040404040404,0.4166666666666667,0.03333333333333333,0.55,1.4,3.2,3.3,0.05833333333333333,0.7666666666666666,0.175,0.0,5.8,1.0,2.8,0.1,0.0,0.9,0.8,0.5499999999999989,0.3,0.3,0.0,4.5
43,4.2,0.20226190476190475,0.425,0.05,0.525,1.6,3.0,2.7,0.06666666666666667,0.7583333333333333,0.175,0.3,5.9,1.549999999999999,2.2,0.0,0.0,1.5,1.2,0.5499999999999989,0.2,0.4,0.0,4.5
44,4.1,0.26850649350649347,0.4083333333333333,0.05,0.5416666666666667,2.0,2.7,2.3,0.075,0.7166666666666667,0.20833333333333334,0.6,5.9,2.099999999999998,2.6,0.3,0.0,0.6,1.4,0.0,0.3,0.5,0.0,4.5
45,3.4,0.21333333333333332,0.38333333333333336,0.075,0.5416666666666667,1.3,2.7,2.0,0.075,0.6916666666666667,0.23333333333333334,0.3,6.1,2.549999999999999,2.5,0.5,0.0,0.4,1.3,0.0,0.2,0.3,0.0,4.5
46,3.8,0.2369047619047619,0.3416666666666667,0.075,0.5833333333333333,1.3,3.0,2.2,0.075,0.6333333333333333,0.2916666666666667,0.0,5.9,2.549999999999999,2.9,0.1,0.0,0.9,1.9,0.0,0.0,0.3,0.0,4.5
47,4.0,0.1819047619047619,0.23333333333333334,0.05833333333333333,0.7083333333333334,1.3,2.9,2.4,0.075,0.6,0.325,0.2,6.8,2.0,2.7,0.3,0.0,0.8,2.2,0.0,0.3,0.4,0.0,4.5
48,4.5,0.3918253968253968,0.4083333333333333,0.049999999999999996,0.5416666666666666,2.7,2.0,2.5,0.049999999999999996,0.5833333333333333,0.36666666666666664,0.7,6.6,1.549999999999999,0.6,0.1,0.0,1.8,2.7,0.0,1.4,0.3,0.0,4.5
