trial,t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars
0,23.5,5.25,0.25942125004625005,0.8333333333333334,0.07986111111111112,0.08680555555555557,2.125,4.083333333333333,3.0208333333333335,0.2847222222222222,0.2829861111111111,0.4322916666666667
1,23.5,5.25,0.27526963776963775,0.8333333333333334,0.078125,0.08854166666666667,2.1666666666666665,4.020833333333333,2.9791666666666665,0.2708333333333333,0.3506944444444444,0.37847222222222227
2,23.5,5.25,0.2471557173763056,0.8576388888888888,0.0954861111111111,0.046875,2.1041666666666665,4.0625,3.0416666666666665,0.1423611111111111,0.3819444444444444,0.4756944444444444
3,23.5,5.25,0.27547236600545427,0.8454861111111112,0.08680555555555557,0.06770833333333333,2.25,4.020833333333333,2.875,0.234375,0.359375,0.40625
4,23.5,5.25,0.27845889302690774,0.8663194444444445,0.07118055555555555,0.0625,2.3333333333333335,4.0,2.7916666666666665,0.2847222222222222,0.38715277777777773,0.328125
5,23.5,5.25,0.24652503168128168,0.7951388888888888,0.08506944444444443,0.11979166666666667,2.125,3.9375,3.0,0.1875,0.3003472222222222,0.5121527777777778
6,23.5,5.25,0.27638559357309356,0.8767361111111112,0.08680555555555557,0.036458333333333336,2.2083333333333335,4.0,2.9166666666666665,0.21180555555555555,0.3454861111111111,0.4427083333333333
7,23.5,5.25,0.25603898416398413,0.8559027777777778,0.08333333333333333,0.06076388888888889,2.1458333333333335,4.25,2.9583333333333335,0.1875,0.3819444444444444,0.4305555555555556
8,23.5,5.25,0.2713488479113479,0.8576388888888888,0.1076388888888889,0.03472222222222222,2.25,4.083333333333333,2.875,0.10590277777777778,0.3993055555555556,0.4947916666666667
9,23.5,5.25,0.28115446474821476,0.8541666666666666,0.09375,0.052083333333333336,2.2708333333333335,4.0625,2.8541666666666665,0.21180555555555555,0.3697916666666667,0.41840277777777773
