t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
0,24.6,0.3965212530703414,0.2833333333333333,0.0,0.7166666666666667,9.7,14.9,0.0,0.0,0.0,1.0,7.3,3.0,0.0,10.2,3.0,0.0,5.4,3.0,0.0,1.7,3.0,0.0,4.5
1,24.8,0.26868256052466577,0.35,0.0,0.65,10.6,17.2,11.9,0.0,0.0,1.0,7.1,4.1,0.0,10.4,3.5,0.0,4.8,2.6,0.0,2.5,1.8,0.0,4.5
2,16.5,0.3160423803425832,0.20833333333333331,0.0,0.7916666666666667,10.5,11.4,11.7,0.0,0.025,0.975,3.6,3.4,0.0,7.2,4.2,0.0,4.5,3.5,0.0,1.2,0.9,0.0,4.5
3,18.0,0.35471912967836544,0.19166666666666665,0.0,0.8083333333333333,10.3,12.0,7.1,0.0,0.08333333333333333,0.9166666666666666,4.5,2.8,0.0,7.4,2.9,0.0,4.8,5.4,0.0,1.3,0.9,0.0,4.5
4,13.2,0.38566206579250056,0.2,0.0,0.8,9.5,7.4,8.1,0.0,0.19166666666666665,0.8083333333333333,3.6,2.3,0.0,4.6,3.3,0.0,3.1,5.2,0.0,1.9,1.2,0.0,4.5
5,15.2,0.36674607850750174,0.2333333333333333,0.0,0.7666666666666667,8.0,8.6,5.6,0.0,0.3,0.7,4.6,3.0,0.0,4.6,1.3,0.0,3.7,6.9,0.0,2.3,0.8,0.0,4.5
6,18.9,0.342160076070562,0.20833333333333331,0.0,0.7916666666666666,9.2,11.5,6.2,0.008333333333333333,0.3416666666666667,0.65,8.7,3.6,0.0,3.6,1.8,0.0,4.5,5.7,0.0,2.1,0.9,0.0,4.5
7,18.0,0.3488846695519142,0.18333333333333332,0.0,0.8166666666666667,9.9,12.1,6.5,0.016666666666666666,0.4333333333333333,0.55,8.1,5.8,0.0,3.4,2.3,0.0,4.4,3.5,0.0,2.1,0.4,0.0,4.5
8,18.6,0.346147535750984,0.24166666666666664,0.0,0.7583333333333333,10.2,12.0,7.6,0.025,0.4916666666666667,0.4833333333333334,8.9,7.5,0.0,3.2,1.8,0.0,3.3,2.4,0.0,3.2,0.3,0.0,4.5
9,19.7,0.3354746787263122,0.19166666666666665,0.008333333333333333,0.8,10.2,12.5,8.3,0.06666666666666667,0.55,0.38333333333333336,9.1,10.4,0.5499999999999989,3.7,0.7,0.0,3.1,0.8,0.0,3.8,0.1,0.0,4.5
10,23.7,0.2871091140114769,0.3416666666666667,0.008333333333333333,0.65,10.2,16.8,8.8,0.18333333333333332,0.4833333333333333,0.3333333333333333,7.7,10.3,0.5499999999999989,3.7,0.8,0.0,7.1,0.7,0.0,5.2,0.2,0.0,4.5
11,22.0,0.25846944153933216,0.5,0.075,0.425,9.9,15.5,13.3,0.31666666666666665,0.475,0.20833333333333331,6.5,9.4,2.549999999999999,4.2,1.3,0.0,7.2,0.8,0.5499999999999989,4.1,0.5,0.0,4.5
12,35.8,0.2061149026339697,0.5583333333333333,0.041666666666666664,0.4,10.5,28.8,12.0,0.4083333333333333,0.375,0.21666666666666665,9.0,8.4,1.0,5.4,0.7,0.0,13.9,1.9,0.0,7.5,1.0,0.5499999999999989,4.5
13,34.5,0.1712024134746915,0.65,0.016666666666666666,0.3333333333333333,10.8,28.3,24.2,0.5,0.36666666666666664,0.13333333333333333,7.6,8.5,1.0,4.5,0.1,0.0,14.3,0.0,0.0,8.1,0.1,0.0,4.5
14,39.8,0.14995384341073362,0.6083333333333333,0.008333333333333333,0.3833333333333333,10.1,34.3,23.7,0.5916666666666667,0.26666666666666666,0.14166666666666666,8.3,4.2,0.5499999999999989,7.3,1.0,0.0,14.2,0.1,0.0,10.0,0.0,0.0,4.5
15,37.6,0.08156597295509552,0.525,0.09166666666666666,0.3833333333333333,5.8,34.1,31.9,0.6083333333333333,0.24166666666666664,0.15,7.6,4.6,2.0,6.4,1.2,0.5499999999999989,14.7,0.4,1.0,8.9,0.1,0.0,4.5
16,43.1,0.11989089962791324,0.5166666666666667,0.041666666666666664,0.4416666666666667,9.2,37.8,29.9,0.5666666666666667,0.2,0.2333333333333333,8.9,4.0,0.0,7.2,2.4,1.0,16.5,0.4,0.5499999999999989,10.5,0.1,0.5499999999999989,4.5
17,45.1,0.09311960130328446,0.4916666666666667,0.05833333333333333,0.45,7.6,40.6,34.6,0.575,0.16666666666666666,0.25833333333333336,8.3,4.4,1.0,7.5,2.7,0.5499999999999989,18.1,0.2,0.5499999999999989,11.2,0.1,0.0,4.5
18,36.8,0.11315438965098856,0.5083333333333334,0.016666666666666666,0.475,8.7,32.2,36.3,0.5333333333333333,0.16666666666666666,0.3,7.2,4.2,0.5499999999999989,6.3,2.5,0.5499999999999989,12.6,0.1,0.0,10.7,0.0,0.0,4.5
19,37.7,0.11248324247503542,0.39166666666666666,0.06666666666666667,0.5416666666666667,7.8,33.0,29.0,0.5333333333333333,0.2,0.26666666666666666,7.7,4.5,2.099999999999998,6.9,3.2,1.0,13.2,0.0,0.0,9.9,0.0,0.0,4.5
20,33.6,0.12475622084157112,0.4,0.049999999999999996,0.55,8.2,28.5,29.5,0.5,0.20833333333333334,0.29166666666666663,8.0,4.8,1.0,9.0,3.0,1.549999999999999,9.5,0.0,0.0,7.1,0.0,0.0,4.5
21,33.0,0.1348329211364696,0.325,0.1,0.575,8.3,28.7,24.3,0.45,0.225,0.325,8.2,5.6,2.549999999999999,8.5,3.2,1.0,8.4,0.1,0.5499999999999989,7.9,0.0,0.0,4.5
22,38.7,0.13685489983305227,0.3083333333333333,0.03333333333333333,0.6583333333333333,9.2,32.8,25.3,0.35833333333333334,0.225,0.4166666666666667,11.0,6.1,1.0999999999999979,10.8,2.8,1.0,9.3,0.1,0.0,7.6,0.0,0.0,4.5
23,39.7,0.12184027757610214,0.3,0.05,0.65,8.8,34.6,28.9,0.35,0.225,0.425,10.5,6.3,1.0,11.2,2.6,1.0,9.5,0.0,0.0,8.5,0.0,0.0,4.5
24,36.6,0.12662819328711905,0.25833333333333336,0.075,0.6666666666666667,8.9,31.8,30.0,0.325,0.2333333333333333,0.4416666666666667,10.3,7.0,1.549999999999999,12.9,2.4,1.0,7.2,0.0,0.0,6.2,0.0,0.0,4.5
25,37.7,0.13232818899213275,0.33333333333333337,0.05833333333333333,0.6083333333333334,9.1,32.2,27.8,0.325,0.19166666666666665,0.4833333333333333,10.7,7.2,1.549999999999999,12.8,2.1,1.0,8.1,0.0,0.0,6.1,0.0,0.0,4.5
