t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars
0,23.0,0.0,0.0,0.0,1.0
1,61.0,0.20238095238095238,0.28,0.0,0.72
2,59.0,0.48695652173913045,0.9,0.0,0.1
3,41.0,0.47560975609756095,1.0,0.0,0.0
4,54.0,0.2073170731707317,0.99,0.0,0.01
5,53.0,0.030303030303030304,1.0,0.0,0.0
6,56.0,0.0,1.0,0.0,0.0
7,51.0,0.009345794392523364,1.0,0.0,0.0
8,52.0,0.009708737864077669,1.0,0.0,0.0
9,54.0,0.2641509433962264,1.0,0.0,0.0
10,56.0,0.20202020202020202,1.0,0.0,0.0
11,49.0,0.18085106382978725,1.0,0.0,0.0
12,58.0,0.2,0.905,0.095,0.0
13,47.0,0.29896907216494845,0.775,0.18,0.045
14,55.0,0.4845360824742268,0.955,0.0,0.045
15,52.0,0.15555555555555556,0.94,0.0,0.06
16,61.0,0.35185185185185186,0.905,0.065,0.03
17,41.0,0.21739130434782608,0.94,0.025,0.035
18,49.0,0.2247191011235955,0.995,0.0,0.005
19,50.0,0.15463917525773196,1.0,0.0,0.0
20,47.0,0.30526315789473685,1.0,0.0,0.0
21,59.0,0.14583333333333334,0.99,0.0,0.01
22,63.0,0.22807017543859648,0.99,0.0,0.01
23,55.0,0.3217391304347826,0.985,0.0,0.015
24,48.0,0.3804347826086957,1.0,0.0,0.0
25,51.0,0.4157303370786517,0.965,0.015,0.02
26,33.0,0.4626865671641791,0.965,0.0,0.035
27,50.0,0.14864864864864866,0.92,0.08,0.0
28,31.0,0.2631578947368421,0.92,0.055,0.025
29,45.0,0.273972602739726,0.89,0.11,0.0
30,64.0,0.14150943396226415,0.89,0.085,0.025
31,50.0,0.1981981981981982,0.955,0.0,0.045
32,56.0,0.23300970873786409,0.88,0.085,0.035
33,37.0,0.4074074074074074,0.84,0.1,0.06
34,49.0,0.08974358974358974,0.825,0.175,0.0
35,41.0,0.28735632183908044,0.94,0.01,0.05
36,73.0,0.17757009345794392,0.725,0.26,0.015
37,65.0,0.14960629921259844,0.69,0.295,0.015
38,58.0,0.2894736842105263,0.905,0.0,0.095
39,48.0,0.1276595744680851,0.68,0.315,0.005
40,62.0,0.1308411214953271,0.64,0.355,0.005
41,59.0,0.3076923076923077,0.62,0.32,0.06
42,56.0,0.2571428571428571,0.6,0.315,0.085
43,46.0,0.2,0.59,0.39,0.02
44,53.0,0.0,0.555,0.39,0.055
45,59.0,0.13392857142857142,0.545,0.39,0.065
46,49.0,0.2803738317757009,0.455,0.36,0.185
47,62.0,0.1523809523809524,0.42,0.35,0.23
48,58.0,0.33620689655172414,0.435,0.36,0.205
49,63.0,0.102803738317757,0.365,0.385,0.25
50,58.0,0.12280701754385964,0.33,0.385,0.285
51,59.0,0.23214285714285715,0.355,0.325,0.32
52,52.0,0.07476635514018691,0.295,0.365,0.34
53,55.0,0.27358490566037735,0.26,0.215,0.525
54,77.0,0.1092436974789916,0.175,0.32,0.505
55,58.0,0.15079365079365079,0.11,0.36,0.53
56,63.0,0.06086956521739131,0.095,0.34,0.565
57,64.0,0.04,0.085,0.36,0.555
58,63.0,0.336,0.275,0.035,0.69
59,67.0,0.14678899082568808,0.43,0.0,0.57
60,60.0,0.14655172413793102,0.4,0.05,0.55
61,53.0,0.12121212121212122,0.4,0.0,0.6
62,61.0,0.125,0.16,0.255,0.585
63,66.0,0.176,0.325,0.0,0.675
64,66.0,0.12598425196850394,0.25,0.255,0.495
65,48.0,0.14545454545454545,0.305,0.14,0.555
66,55.0,0.16666666666666666,0.155,0.215,0.63
67,55.0,0.02912621359223301,0.125,0.245,0.63
68,56.0,0.22727272727272727,0.31,0.0,0.69
