t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_battery_cars_0,frac_battery_cars_1,frac_battery_cars_2,frac_battery_cars_3,frac_battery_cars_4,frac_battery_cars_5,frac_battery_cars_6,frac_battery_cars_7,frac_battery_cars_8,frac_battery_cars_9,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,trial
0,340.0,0.7705882352941177,0.10916666666666666,0.38708333333333333,0.0,0.50375,262.0,0.0,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,800.0,0.0,29.0,800.0,0.0,277.0,800.0,0.0,0.0
1,388.0,0.9149484536082474,0.16291666666666665,0.55375,0.0,0.2833333333333333,355.0,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,0.0,40.0,632.0,0.0,322.0,800.0,0.0,0.0
2,374.0,1.0,0.20375,0.5116666666666667,0.0,0.28458333333333335,374.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,167.0,0.0,33.0,600.0,0.0,302.0,592.0,0.0,0.0
3,354.0,0.864406779661017,0.21125,0.5279166666666667,0.0,0.2608333333333333,306.0,0.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,408.0,0.0,23.0,257.0,0.0,295.0,1028.0,0.0,0.0
4,360.0,0.9194444444444444,0.21666666666666667,0.5808333333333333,0.0,0.2025,331.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,711.0,0.0,22.0,219.0,0.0,304.0,417.0,0.0,0.0
5,375.0,0.848,0.19,0.6975,0.0,0.1125,318.0,0.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,498.0,0.0,29.0,271.0,0.0,312.0,182.0,0.0,0.0
6,317.0,0.29337539432176657,0.09833333333333333,0.51125,0.0,0.3904166666666667,93.0,0.0,224.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,99.0,0.0,28.0,1177.0,0.0,258.0,174.0,0.0,0.0
7,370.0,0.7891891891891892,0.18708333333333332,0.23541666666666666,0.0,0.5775,292.0,0.0,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,0.0,30.0,1507.0,0.0,309.0,255.0,0.0,0.0
8,370.0,0.9,0.17916666666666667,0.4141666666666667,0.0,0.4066666666666667,333.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,27.0,0.0,34.0,1400.0,0.0,302.0,334.0,0.0,0.0
9,372.0,0.9301075268817204,0.19208333333333333,0.4625,0.0,0.34541666666666665,346.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,59.0,0.0,26.0,960.0,0.0,313.0,256.0,0.0,0.0
