t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_battery_cars_0,frac_battery_cars_1,frac_battery_cars_2,frac_battery_cars_3,frac_battery_cars_4,frac_battery_cars_5,frac_battery_cars_6,frac_battery_cars_7,frac_battery_cars_8,frac_battery_cars_9,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,num_trip_requests_4,num_cars_region_4,num_charging_cars_region_4,num_trip_requests_5,num_cars_region_5,num_charging_cars_region_5,num_trip_requests_6,num_cars_region_6,num_charging_cars_region_6,num_trip_requests_7,num_cars_region_7,num_charging_cars_region_7,num_trip_requests_8,num_cars_region_8,num_charging_cars_region_8,num_trip_requests_9,num_cars_region_9,num_charging_cars_region_9,trial
0,67.2,0.8818954031356865,0.197,0.7493333333333333,0.0013333333333333335,0.05233333333333333,59.1,8.1,0.0,0.0,0.0,0.0,0.0,0.9463333333333332,0.05233333333333333,0.0,0.0,0.0013333333333333335,0.0,1.2,30.0,0.5499999999999989,1.0,30.0,0.5499999999999989,1.0,30.0,0.0,20.7,30.0,0.0,11.0,30.0,0.0,13.5,30.0,0.0,1.2,30.0,0.0,4.1,30.0,0.0,5.9,30.0,0.5499999999999989,7.6,30.0,0.5499999999999989,0.0
1,63.7,0.8927402495794518,0.217,0.78,0.0013333333333333335,0.0016666666666666666,63.7,7.2,0.9,0.0,0.0,0.0,0.0006666666666666668,0.9966666666666667,0.0013333333333333335,0.0,0.0,0.0013333333333333335,0.0,0.5,6.5,0.5499999999999989,0.9,6.1,0.5499999999999989,0.9,4.1,0.0,23.9,64.3,0.0,10.7,58.8,0.0,11.6,37.2,0.0,1.2,8.8,0.0,3.8,25.5,0.0,6.0,41.7,0.5499999999999989,4.2,47.0,0.5499999999999989,0.0
2,65.3,0.7740340136578504,0.30633333333333335,0.6816666666666666,0.0016666666666666666,0.010333333333333333,55.4,14.9,2.2,0.0,0.0,0.0,0.009000000000000001,0.9893333333333333,0.0,0.0,0.0003333333333333334,0.0013333333333333335,0.0,1.1,7.8,0.5499999999999989,1.0,7.2,0.5499999999999989,1.2,4.7,0.0,21.7,56.1,0.0,11.9,58.4,0.0,13.2,35.2,0.0,1.4,10.0,0.0,3.4,26.4,0.0,4.9,43.4,0.5499999999999989,5.5,50.8,1.0,0.0
3,67.6,0.9353933778413058,0.42266666666666663,0.568,0.0003333333333333334,0.009000000000000001,76.6,4.8,1.1,0.0,0.0,0.0,0.04,0.9583333333333334,0.0,0.0,0.0013333333333333335,0.0003333333333333334,0.0,0.4,8.4,0.0,0.6,7.3,0.0,0.8,4.7,0.0,22.9,57.5,0.0,12.8,63.5,0.0,12.9,35.5,0.0,0.8,10.5,0.0,2.9,27.2,0.0,5.7,39.4,0.0,7.8,46.0,0.5499999999999989,0.0
4,64.1,0.9629613633567121,0.5243333333333333,0.4573333333333333,0.0006666666666666668,0.017666666666666667,66.3,2.6,0.0,0.0,0.0,0.0,0.11000000000000001,0.8880000000000001,0.0,0.0,0.0013333333333333335,0.0006666666666666668,0.0,1.3,10.7,0.0,0.9,8.3,0.0,0.4,5.5,0.0,21.3,52.1,0.5499999999999989,11.7,67.8,0.0,9.9,36.3,0.0,1.0,10.4,0.0,3.5,28.0,0.0,6.5,36.2,0.0,7.6,44.7,0.5499999999999989,0.0
5,62.7,0.9899523668677519,0.584,0.39766666666666667,0.0003333333333333334,0.018,64.6,0.7,0.0,0.0,0.0,0.0,0.21033333333333334,0.7876666666666667,0.0,0.0,0.0016666666666666666,0.0003333333333333334,0.0,1.3,11.6,0.0,1.1,8.2,0.0,1.3,6.3,0.0,17.9,48.9,0.5499999999999989,9.9,68.9,0.0,11.4,39.7,0.0,1.2,11.5,0.0,3.5,29.0,0.0,6.4,36.9,0.0,8.7,39.0,0.0,0.0
6,65.2,0.9818606980371687,0.5469999999999999,0.4373333333333333,0.001,0.014666666666666666,64.7,1.1,0.1,0.0,0.0,0.0,0.31566666666666665,0.6816666666666666,0.0,0.0,0.0023333333333333335,0.0003333333333333334,0.0,1.7,12.0,0.0,0.6,8.6,0.0,0.9,5.0,0.0,20.5,52.4,0.5499999999999989,10.5,61.0,0.5499999999999989,11.6,38.3,0.0,1.3,11.8,0.0,4.7,30.5,0.5499999999999989,6.1,39.6,0.0,7.3,40.8,0.0,0.0
7,62.3,0.9830030674370424,0.5303333333333333,0.45266666666666666,0.0006666666666666668,0.01633333333333333,62.3,1.0,0.1,0.0,0.0,0.002,0.44800000000000006,0.5473333333333333,0.0,0.0003333333333333334,0.0023333333333333335,0.0,0.0,0.8,11.6,0.0,0.9,8.8,0.0,0.9,5.8,0.0,19.6,53.2,0.0,12.2,59.8,0.5499999999999989,10.5,32.4,0.0,1.8,13.1,0.0,3.4,32.4,0.5499999999999989,6.3,40.0,0.0,5.9,42.9,0.0,0.0
8,68.6,0.972857231962546,0.5196666666666666,0.4663333333333333,0.0006666666666666668,0.013333333333333332,67.7,1.8,0.1,0.0,0.0,0.005,0.5883333333333333,0.404,0.0,0.0003333333333333334,0.0023333333333333335,0.0,0.0,1.0,13.4,0.0,1.3,8.3,0.0,1.0,5.6,0.0,22.6,53.3,0.0,12.2,55.9,0.5499999999999989,11.6,31.0,0.0,1.3,13.2,0.0,4.4,32.5,0.5499999999999989,5.7,41.7,0.0,7.5,45.1,0.0,0.0
9,60.7,0.9578419449139048,0.5126666666666667,0.475,0.0,0.012333333333333333,59.8,2.6,0.1,0.0,0.0,0.009,0.6983333333333334,0.29,0.0,0.001,0.0016666666666666666,0.0,0.0,0.3,14.3,0.0,1.3,8.7,0.0,1.3,5.7,0.0,21.4,48.7,0.0,10.1,53.5,0.0,11.3,30.1,0.0,1.2,16.2,0.0,3.8,36.1,0.0,5.2,43.7,0.0,4.8,43.0,0.0,0.0
