t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_battery_cars_0,frac_battery_cars_1,frac_battery_cars_2,frac_battery_cars_3,frac_battery_cars_4,frac_battery_cars_5,frac_battery_cars_6,frac_battery_cars_7,frac_battery_cars_8,frac_battery_cars_9,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,trial
0,18.9,0.9110997847182057,0.2816666666666666,0.36833333333333335,0.0,0.35,16.9,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,20.0,0.0,2.7,20.0,0.0,14.5,20.0,0.0,0.0
1,18.4,0.559880767928621,0.2,0.6166666666666667,0.0,0.18333333333333332,10.0,0.0,8.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,15.9,0.0,1.5,16.8,0.0,14.6,21.4,0.0,0.0
2,16.7,0.4079057784320942,0.12,0.6266666666666667,0.0,0.2533333333333333,6.3,0.0,10.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,13.6,0.0,1.3,13.5,0.0,14.2,20.6,0.0,0.0
3,17.0,0.444555991039367,0.15833333333333333,0.6799999999999999,0.0,0.16166666666666668,7.7,0.0,9.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.1,0.0,1.5,9.8,0.0,14.5,11.9,0.0,0.0
4,18.5,0.6057142857142856,0.20833333333333334,0.6933333333333334,0.0,0.09833333333333333,11.6,0.0,6.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,19.6,0.0,1.6,11.4,0.0,15.7,11.6,0.0,0.0
5,18.7,0.7057328614361863,0.24166666666666664,0.6183333333333334,0.0,0.13999999999999999,12.9,0.0,5.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,6.8,0.0,1.5,7.3,0.0,15.1,24.3,0.0,0.0
6,17.5,0.5628580115536638,0.21000000000000002,0.64,0.0,0.15,10.1,0.0,7.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,3.3,0.0,1.5,10.6,0.0,14.8,26.0,0.0,0.0
7,24.4,0.47483838383838384,0.21666666666666665,0.51,0.0,0.2733333333333333,11.2,0.0,13.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,13.3,0.0,7.1,7.6,0.0,7.6,20.6,0.0,0.0
8,29.8,0.5456072237596009,0.29,0.5133333333333334,0.0,0.19666666666666666,16.3,0.0,13.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,21.0,0.0,9.0,6.6,0.0,10.1,11.4,0.0,0.0
9,27.0,0.3013740565614628,0.16499999999999998,0.3066666666666667,0.0,0.5283333333333333,8.6,0.0,18.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,12.9,0.0,8.0,22.6,0.0,8.2,13.1,0.0,0.0
