t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_battery_cars_0,frac_battery_cars_1,frac_battery_cars_2,frac_battery_cars_3,frac_battery_cars_4,frac_battery_cars_5,frac_battery_cars_6,frac_battery_cars_7,frac_battery_cars_8,frac_battery_cars_9,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,trial
0,18.0,0.8887922256621946,0.27666666666666667,0.44333333333333336,0.0,0.27999999999999997,15.7,0.0,2.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,20.0,0.0,2.7,20.0,0.0,13.6,19.0,0.0,0.0
1,17.8,0.9427137877602274,0.31666666666666665,0.43166666666666664,0.0,0.25166666666666665,16.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,15.0,0.0,1.5,20.6,0.0,14.0,20.4,0.0,0.0
2,16.5,0.9530598234717228,0.305,0.4533333333333333,0.0,0.24166666666666664,15.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.4,0.0,1.3,18.5,0.0,14.2,21.5,0.0,0.0
3,17.0,0.9655467720685111,0.31666666666666665,0.445,0.0,0.23833333333333334,16.3,0.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.9,0.0,1.5,18.3,0.0,14.5,19.5,0.0,0.0
4,18.5,0.8851643174432244,0.30666666666666664,0.4683333333333334,0.0,0.225,16.1,0.0,2.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,15.1,0.0,1.6,18.6,0.0,15.7,19.1,0.0,0.0
5,18.4,0.866813005834745,0.30166666666666664,0.4683333333333334,0.0,0.22999999999999998,15.7,0.0,2.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,14.0,0.0,1.5,19.3,0.0,15.1,18.6,0.0,0.0
6,17.5,0.8058689136950006,0.2783333333333333,0.4616666666666667,0.0,0.26,13.8,0.0,3.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,15.6,0.0,1.5,20.0,0.0,14.8,16.3,0.0,0.0
7,23.7,0.9557781528816012,0.42833333333333334,0.35333333333333333,0.0,0.21833333333333335,22.5,0.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.8,0.0,7.1,20.2,0.0,7.6,13.3,0.0,0.0
8,29.1,0.8653495131943408,0.4600000000000001,0.3466666666666667,0.0,0.19333333333333333,25.0,0.0,4.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,17.5,0.0,9.0,26.3,0.0,10.1,7.5,0.0,0.0
9,26.4,0.891537956296577,0.425,0.39,0.0,0.185,23.2,0.0,3.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,18.4,0.0,8.0,27.5,0.0,8.2,6.1,0.0,0.0
