t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_battery_cars_0,frac_battery_cars_1,frac_battery_cars_2,frac_battery_cars_3,frac_battery_cars_4,frac_battery_cars_5,frac_battery_cars_6,frac_battery_cars_7,frac_battery_cars_8,frac_battery_cars_9,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,trial
0,18.9,0.865487998843262,0.2733333333333333,0.41166666666666674,0.0,0.315,16.4,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,20.0,0.0,2.7,20.0,0.0,14.5,20.0,0.0,4.5
1,18.4,0.9355144081924267,0.32666666666666666,0.52,0.0,0.15333333333333335,17.3,0.0,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,7.3,0.0,1.5,11.2,0.0,14.6,22.3,0.0,4.5
2,16.7,0.8328129984051037,0.26666666666666666,0.5366666666666666,0.0,0.19666666666666666,13.5,0.0,3.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,7.3,0.0,1.3,20.0,0.0,14.2,18.3,0.0,4.5
3,17.0,0.943939393939394,0.31333333333333335,0.315,0.0,0.3716666666666667,16.1,0.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,0.0,1.5,21.2,0.0,14.5,13.6,0.0,4.5
4,18.5,0.9380609452018793,0.32666666666666666,0.51,0.0,0.16333333333333333,17.3,0.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,23.4,0.0,1.6,8.9,0.0,15.7,18.9,0.0,4.5
5,18.7,0.9367515121990826,0.3283333333333333,0.615,0.0,0.056666666666666664,17.4,0.0,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,10.9,0.0,1.5,1.4,0.0,15.1,25.8,0.0,4.5
6,17.5,0.990909090909091,0.3383333333333333,0.4833333333333333,0.0,0.17833333333333332,17.3,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,6.5,0.0,1.5,18.5,0.0,14.8,20.5,0.0,4.5
7,24.4,0.8340202020202019,0.375,0.33166666666666667,0.0,0.29333333333333333,20.2,0.0,4.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,14.1,0.0,7.1,11.0,0.0,7.6,19.7,0.0,4.5
8,29.8,0.8518258081732579,0.45666666666666667,0.3383333333333333,0.0,0.205,25.4,0.0,4.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,17.1,0.0,9.0,16.6,0.0,10.1,15.8,0.0,4.5
9,27.0,0.6379192882191382,0.315,0.53,0.0,0.155,17.1,0.0,9.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,13.3,0.0,8.0,18.8,0.0,8.2,17.3,0.0,4.5
