t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
0,7.5,0.8890476190476191,0.5833333333333333,0.0,0.4166666666666667,6.6,0.0,0.9,0.0,0.0,1.0,1.1,2.3,0.0,2.3,2.8,0.0,2.3,3.0,0.0,1.8,3.0,0.0,4.5
1,8.7,0.7570320855614974,0.5833333333333333,0.0,0.4166666666666667,6.0,0.0,2.7,0.0,0.0,1.0,0.9,2.7,0.0,2.9,2.6,0.0,2.0,2.9,0.0,2.9,2.8,0.0,4.5
2,8.3,0.6645279720279721,0.5166666666666667,0.0,0.4833333333333333,5.2,0.0,3.1,0.0,0.0,1.0,1.8,3.9,0.0,1.7,2.7,0.0,2.6,2.6,0.0,2.2,1.8,0.0,4.5
3,9.0,0.6124891774891774,0.5333333333333333,0.0,0.4666666666666667,5.4,0.0,3.6,0.0,0.0,1.0,1.5,3.6,0.0,2.9,3.7,0.0,2.1,2.1,0.0,2.5,1.6,0.0,4.5
4,8.9,0.6691017316017316,0.5666666666666667,0.0,0.4333333333333333,5.8,0.0,3.1,0.0,0.0,1.0,1.7,3.5,0.0,2.5,2.6,0.0,2.2,2.9,0.0,2.5,2.0,0.0,4.5
5,9.4,0.7197996447996449,0.625,0.0,0.375,6.5,0.0,2.9,0.0,0.0,1.0,1.7,2.8,0.0,2.5,3.4,0.0,2.1,3.2,0.0,3.1,1.6,0.0,4.5
6,8.3,0.6458333333333333,0.525,0.0,0.475,5.3,0.0,3.0,0.0,0.0,1.0,1.7,2.7,0.0,2.3,2.8,0.0,2.4,3.3,0.0,1.9,2.2,0.0,4.5
7,9.8,0.6327322677322678,0.575,0.0,0.425,5.9,0.0,3.9,0.0,0.0,1.0,1.8,1.9,0.0,1.7,2.6,0.0,2.8,3.1,0.0,3.5,3.4,0.0,4.5
8,8.5,0.6702491952491952,0.5416666666666667,0.0,0.4583333333333333,5.5,0.0,3.0,0.0,0.0,1.0,1.7,2.4,0.0,2.5,4.1,0.0,2.0,2.3,0.0,2.3,2.2,0.0,4.5
9,8.6,0.614508547008547,0.5166666666666667,0.0,0.4833333333333333,5.2,0.0,3.4,0.0,0.0,1.0,1.0,2.0,0.0,3.0,4.1,0.0,2.0,3.0,0.0,2.6,1.9,0.0,4.5
10,10.5,0.6662148962148962,0.6666666666666667,0.0,0.33333333333333337,7.0,0.0,3.5,0.0,0.0,1.0,1.1,2.9,0.0,3.1,3.0,0.0,3.3,3.0,0.0,3.0,2.1,0.0,4.5
11,7.7,0.6235497835497835,0.4666666666666667,0.0,0.5333333333333334,4.6,0.0,3.1,0.0,0.0,1.0,1.2,4.3,0.0,2.1,2.6,0.0,2.8,1.9,0.0,1.6,2.2,0.0,4.5
12,7.7,0.7364033189033189,0.55,0.0,0.45,5.6,0.0,2.1,0.0,0.0,1.0,1.2,4.6,0.0,2.4,2.4,0.0,1.8,2.1,0.0,2.3,1.9,0.0,4.5
