t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
0,9.7,0.9297979797979797,0.75,0.0,0.25,8.9,0.0,0.8,0.0,0.0,1.0,2.2,2.0,0.0,2.5,3.0,0.0,2.6,3.0,0.0,2.4,3.0,0.0,4.5
1,9.6,0.7306060606060607,0.65,0.0,0.35,6.8,0.0,2.8,0.0,0.0,1.0,1.3,5.0,0.0,2.9,2.2,0.0,2.8,2.0,0.0,2.6,1.8,0.0,4.5
2,10.6,0.46243561993562,0.4916666666666667,0.0,0.5083333333333333,4.9,0.0,5.7,0.0,0.0,1.0,1.9,7.8,0.0,2.7,1.1,0.0,3.3,1.2,0.0,2.7,0.9,0.0,4.5
3,9.7,0.5160858585858585,0.5,0.0,0.5,5.0,0.0,4.7,0.0,0.0,1.0,1.8,7.7,0.0,2.9,1.0,0.0,2.8,1.1,0.0,2.2,1.2,0.0,4.5
4,10.0,0.505595238095238,0.5166666666666666,0.0,0.4833333333333333,5.2,0.0,4.8,0.0,0.0,1.0,2.0,7.8,0.0,2.6,1.2,0.0,2.2,0.9,0.0,3.2,1.1,0.0,4.5
5,10.3,0.498992673992674,0.5,0.0,0.5,5.0,0.0,5.3,0.0,0.0,1.0,1.8,7.6,0.0,2.8,0.9,0.0,2.8,1.3,0.0,2.9,1.2,0.0,4.5
6,10.4,0.5356837606837607,0.525,0.0,0.475,5.3,0.0,5.1,0.0,0.0,1.0,2.3,7.9,0.0,2.5,1.2,0.0,3.0,1.1,0.0,2.6,0.8,0.0,4.5
7,10.2,0.5140061327561327,0.5166666666666667,0.0,0.4833333333333334,5.2,0.0,5.0,0.0,0.0,1.0,1.5,7.3,0.0,3.0,1.2,0.0,3.2,1.3,0.0,2.5,1.2,0.0,4.5
8,9.7,0.4645833333333333,0.4583333333333333,0.0,0.5416666666666667,4.5,0.0,5.2,0.0,0.0,1.0,1.9,8.4,0.0,2.3,1.0,0.0,2.9,0.9,0.0,2.6,0.7,0.0,4.5
9,10.6,0.5416083916083916,0.5583333333333333,0.0,0.4416666666666667,5.7,0.0,4.9,0.0,0.0,1.0,2.8,8.1,0.0,3.0,0.8,0.0,2.6,1.0,0.0,2.2,1.1,0.0,4.5
10,10.1,0.6071134421134421,0.5916666666666667,0.0,0.4083333333333334,6.1,0.0,4.0,0.0,0.008333333333333333,0.9916666666666666,2.3,7.1,0.0,2.5,1.5,0.0,3.0,1.2,0.0,2.3,1.2,0.0,4.5
11,10.1,0.548552836052836,0.5416666666666667,0.0,0.4583333333333333,5.5,0.0,4.6,0.0,0.15833333333333335,0.8416666666666666,2.0,7.3,0.0,3.0,1.5,0.0,2.7,1.1,0.0,2.4,1.1,0.0,4.5
12,9.8,0.4758547661488838,0.45,0.0,0.55,4.4,0.0,5.4,0.0,0.26666666666666666,0.7333333333333334,1.3,7.8,0.0,3.0,0.8,0.0,2.9,1.3,0.0,2.6,1.1,0.0,4.5
13,9.3,0.4459157509157509,0.425,0.0,0.575,4.1,0.0,5.2,0.0,0.525,0.475,1.6,8.5,0.0,2.7,0.6,0.0,2.6,0.7,0.0,2.4,1.2,0.0,4.5
14,10.7,0.368015873015873,0.4166666666666667,0.0,0.5833333333333333,4.0,0.0,6.7,0.0,0.7083333333333333,0.29166666666666663,1.4,8.4,0.0,3.3,1.1,0.0,3.1,0.5,0.0,2.9,1.0,0.0,4.5
