passenger-carry, t = 0, b = 263, origin = 1, dest = 2, val = 1.0
passenger-carry, t = 1, b = 257, origin = 1, dest = 2, val = 0.9277962239666956
passenger-carry, t = 1, b = 263, origin = 0, dest = 2, val = 1.0
passenger-carry, t = 2, b = 251, origin = 1, dest = 2, val = 0.23873862917428107
passenger-carry, t = 2, b = 257, origin = 3, dest = 2, val = 0.15630438764523322
passenger-carry, t = 2, b = 263, origin = 0, dest = 2, val = 0.5824300919720398
passenger-carry, t = 2, b = 263, origin = 3, dest = 2, val = 0.49572794142727933
passenger-carry, t = 3, b = 225, origin = 2, dest = 1, val = 0.6049569831804857
passenger-carry, t = 3, b = 231, origin = 0, dest = 2, val = 0.27526518593312627
passenger-carry, t = 3, b = 243, origin = 2, dest = 1, val = 0.15630438764523322
passenger-carry, t = 3, b = 245, origin = 1, dest = 2, val = 0.9277962239666956
passenger-carry, t = 3, b = 245, origin = 2, dest = 1, val = 0.23873862917428107
passenger-carry, t = 3, b = 251, origin = 1, dest = 2, val = 0.6613621413092754
passenger-carry, t = 3, b = 263, origin = 1, dest = 2, val = 1.1495779134745483
passenger-carry, t = 3, b = 263, origin = 3, dest = 2, val = 0.3479676709274874
passenger-carry, t = 4, b = 219, origin = 1, dest = 2, val = 0.32483690993307895
passenger-carry, t = 4, b = 237, origin = 1, dest = 2, val = 0.15630438764523322
passenger-carry, t = 5, b = 215, origin = 1, dest = 2, val = 0.13842378753081847
passenger-carry, t = 5, b = 219, origin = 1, dest = 3, val = 0.2801200732474065
passenger-carry, t = 5, b = 233, origin = 1, dest = 2, val = 0.16049154336067473
passenger-carry, t = 5, b = 263, origin = 2, dest = 2, val = 0.4339239996721438
passenger-carry, t = 6, b = 233, origin = 1, dest = 2, val = 0.19648814248861657
passenger-carry, t = 6, b = 249, origin = 2, dest = 2, val = 0.27493291010981463
passenger-carry, t = 7, b = 205, origin = 1, dest = 2, val = 0.2801200732474065
passenger-carry, t = 7, b = 219, origin = 1, dest = 2, val = 0.13583325663642926
passenger-carry, t = 7, b = 219, origin = 1, dest = 3, val = 0.4213904384353828
passenger-carry, t = 7, b = 221, origin = 1, dest = 2, val = 0.16049154336067473
passenger-carry, t = 7, b = 225, origin = 1, dest = 3, val = 0.15630438764523322
passenger-carry, t = 7, b = 239, origin = 1, dest = 2, val = 0.22774611999348493
passenger-carry, t = 7, b = 257, origin = 2, dest = 2, val = 0.22504310819849976
passenger-carry, t = 9, b = 207, origin = 1, dest = 2, val = 0.13583325663642926
passenger-carry, t = 9, b = 211, origin = 1, dest = 2, val = 0.15630438764523322
passenger-carry, t = 9, b = 263, origin = 0, dest = 0, val = 0.14458842346654333
passenger-carry, t = 10, b = 241, origin = 1, dest = 3, val = 0.27493291010981463
passenger-carry, t = 10, b = 257, origin = 0, dest = 0, val = 0.14458842346654333
passenger-carry, t = 10, b = 257, origin = 1, dest = 3, val = 0.3218231355077864
passenger-carry, t = 10, b = 263, origin = 0, dest = 0, val = 0.56623472960037
passenger-carry, t = 11, b = 149, origin = 1, dest = 2, val = 0.27526518593312627
passenger-carry, t = 11, b = 233, origin = 1, dest = 2, val = 0.23060994454680778
passenger-carry, t = 11, b = 243, origin = 1, dest = 3, val = 0.29456585206723235
passenger-carry, t = 11, b = 251, origin = 0, dest = 0, val = 0.14458842346654333
passenger-carry, t = 11, b = 255, origin = 1, dest = 3, val = 0.10867810231516661
passenger-carry, t = 12, b = 245, origin = 0, dest = 0, val = 0.14458842346654333
passenger-carry, t = 12, b = 257, origin = 0, dest = 0, val = 0.18965435711628786
passenger-carry, t = 13, b = 97, origin = 0, dest = 0, val = 0.22115156871641178
passenger-carry, t = 13, b = 209, origin = 0, dest = 0, val = 0.34844695831964767
passenger-carry, t = 13, b = 239, origin = 0, dest = 0, val = 0.14458842346654333
passenger-carry, t = 13, b = 251, origin = 0, dest = 0, val = 0.18965435711628786
passenger-carry, t = 14, b = 91, origin = 0, dest = 0, val = 0.22115156871641178
passenger-carry, t = 14, b = 163, origin = 0, dest = 0, val = 0.13583325663642926
passenger-carry, t = 14, b = 203, origin = 0, dest = 0, val = 0.1540999738989096
passenger-carry, t = 14, b = 233, origin = 0, dest = 0, val = 0.14458842346654333
passenger-carry, t = 15, b = 85, origin = 0, dest = 2, val = 0.22115156871641178
passenger-carry, t = 15, b = 197, origin = 0, dest = 2, val = 0.1540999738989096
