passenger-carry, t = 0, b = 0, origin = 0, dest = 0, val = 1.410368516254718
passenger-carry, t = 0, b = 0, origin = 0, dest = 1, val = 1.9168727973793278
passenger-carry, t = 0, b = 0, origin = 0, dest = 2, val = 21.94489742083823
passenger-carry, t = 0, b = 0, origin = 1, dest = 0, val = 1.9168707054976035
passenger-carry, t = 0, b = 0, origin = 1, dest = 1, val = 1.4103709270433211
passenger-carry, t = 0, b = 0, origin = 1, dest = 2, val = 21.94490559458738
passenger-carry, t = 0, b = 0, origin = 2, dest = 0, val = 21.103690119567286
passenger-carry, t = 0, b = 0, origin = 2, dest = 1, val = 21.10365426583246
passenger-carry, t = 0, b = 0, origin = 2, dest = 2, val = 152.60926097919702
passenger-carry, t = 1, b = 0, origin = 0, dest = 0, val = 3.2284457095516665
passenger-carry, t = 1, b = 0, origin = 0, dest = 1, val = 2.8345331150548665
passenger-carry, t = 1, b = 0, origin = 0, dest = 2, val = 16.1726687827094
passenger-carry, t = 1, b = 0, origin = 1, dest = 0, val = 2.834541984712569
passenger-carry, t = 1, b = 0, origin = 1, dest = 1, val = 3.2284406870237476
passenger-carry, t = 1, b = 0, origin = 1, dest = 2, val = 16.172635167793857
passenger-carry, t = 1, b = 0, origin = 2, dest = 0, val = 25.54703878072622
passenger-carry, t = 1, b = 0, origin = 2, dest = 1, val = 25.547023644872755
passenger-carry, t = 1, b = 0, origin = 2, dest = 2, val = 241.5807994808938
passenger-carry, t = 2, b = 0, origin = 0, dest = 0, val = 2.9139639677383036
passenger-carry, t = 2, b = 0, origin = 0, dest = 1, val = 2.851819993270495
passenger-carry, t = 2, b = 0, origin = 0, dest = 2, val = 22.425627818932142
passenger-carry, t = 2, b = 0, origin = 1, dest = 0, val = 2.8518225373902446
passenger-carry, t = 2, b = 0, origin = 1, dest = 1, val = 2.9139583789592143
passenger-carry, t = 2, b = 0, origin = 1, dest = 2, val = 22.425647458895398
passenger-carry, t = 2, b = 0, origin = 2, dest = 0, val = 26.734306476162352
passenger-carry, t = 2, b = 0, origin = 2, dest = 1, val = 26.73472967252566
passenger-carry, t = 2, b = 0, origin = 2, dest = 2, val = 186.71568683070083
passenger-carry, t = 3, b = 0, origin = 0, dest = 0, val = 2.9761742018804123
passenger-carry, t = 3, b = 0, origin = 0, dest = 1, val = 2.9692829305042703
passenger-carry, t = 3, b = 0, origin = 0, dest = 2, val = 23.76322149837668
passenger-carry, t = 3, b = 0, origin = 1, dest = 0, val = 2.9692339937613994
passenger-carry, t = 3, b = 0, origin = 1, dest = 1, val = 2.9761849884816387
passenger-carry, t = 3, b = 0, origin = 1, dest = 2, val = 23.76329380755852
passenger-carry, t = 3, b = 0, origin = 2, dest = 0, val = 32.06687820218552
passenger-carry, t = 3, b = 0, origin = 2, dest = 1, val = 32.06753153608183
passenger-carry, t = 3, b = 0, origin = 2, dest = 2, val = 256.7657359389677
passenger-carry, t = 4, b = 0, origin = 0, dest = 0, val = 2.9946648694920626
passenger-carry, t = 4, b = 0, origin = 0, dest = 1, val = 2.905543191377646
passenger-carry, t = 4, b = 0, origin = 0, dest = 2, val = 23.692178650110055
passenger-carry, t = 4, b = 0, origin = 1, dest = 0, val = 2.9055034469357643
passenger-carry, t = 4, b = 0, origin = 1, dest = 1, val = 2.9947132603106943
passenger-carry, t = 4, b = 0, origin = 1, dest = 2, val = 23.69217177225731
passenger-carry, t = 4, b = 0, origin = 2, dest = 0, val = 29.855565944231326
passenger-carry, t = 4, b = 0, origin = 2, dest = 1, val = 29.852007158235995
passenger-carry, t = 4, b = 0, origin = 2, dest = 2, val = 240.72273154961755
passenger-carry, t = 5, b = 0, origin = 0, dest = 0, val = 2.935510666049396
passenger-carry, t = 5, b = 0, origin = 0, dest = 1, val = 2.956714061010385
passenger-carry, t = 5, b = 0, origin = 0, dest = 2, val = 23.830503806386986
passenger-carry, t = 5, b = 0, origin = 1, dest = 0, val = 2.9569246774375637
passenger-carry, t = 5, b = 0, origin = 1, dest = 1, val = 2.935483939139683
passenger-carry, t = 5, b = 0, origin = 1, dest = 2, val = 23.82996538825501
passenger-carry, t = 5, b = 0, origin = 2, dest = 0, val = 29.740318107205788
passenger-carry, t = 5, b = 0, origin = 2, dest = 1, val = 29.728581168128926
passenger-carry, t = 5, b = 0, origin = 2, dest = 2, val = 240.6003951874212
passenger-carry, t = 6, b = 0, origin = 0, dest = 0, val = 3.031878383662926
passenger-carry, t = 6, b = 0, origin = 0, dest = 1, val = 3.049620064457681
passenger-carry, t = 6, b = 0, origin = 0, dest = 2, val = 24.36223825554999
passenger-carry, t = 6, b = 0, origin = 1, dest = 0, val = 3.0501745258614763
passenger-carry, t = 6, b = 0, origin = 1, dest = 1, val = 3.0315969263250846
passenger-carry, t = 6, b = 0, origin = 1, dest = 2, val = 24.361915607144766
passenger-carry, t = 6, b = 0, origin = 2, dest = 0, val = 29.84014682464289
passenger-carry, t = 6, b = 0, origin = 2, dest = 1, val = 29.8383202912011
passenger-carry, t = 6, b = 0, origin = 2, dest = 2, val = 241.12913274533432
passenger-carry, t = 7, b = 0, origin = 0, dest = 0, val = 3.0057107476349314
passenger-carry, t = 7, b = 0, origin = 0, dest = 1, val = 3.028077170702792
passenger-carry, t = 7, b = 0, origin = 0, dest = 2, val = 24.003722256017923
passenger-carry, t = 7, b = 0, origin = 1, dest = 0, val = 3.0276896091617855
passenger-carry, t = 7, b = 0, origin = 1, dest = 1, val = 3.005419026843054
passenger-carry, t = 7, b = 0, origin = 1, dest = 2, val = 24.006401337670606
passenger-carry, t = 7, b = 0, origin = 2, dest = 0, val = 29.922153739162123
passenger-carry, t = 7, b = 0, origin = 2, dest = 1, val = 29.99443086850652
passenger-carry, t = 7, b = 0, origin = 2, dest = 2, val = 240.9255927220281
